"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호4822","품목보고번호200703582241251","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명디엔에이 글로우 앰플","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","프락토올리고당","생선콜라겐","기타가공품","레드자몽농축액","오렌지농축액","자일리톨","연어이리추출물","구연산(무수)","향료제제","비타민C","향료제제","글리신","엘라스틴가수분해물","우유단백질","L-알라닌","L-발린","혼합제제","L-프롤린","","","연어 콜라겐 펩타이드","홍차추출분말(얼그레이홍차추출분말)얼그레이홍차추출분말","","","","소듐디엔에이(연어이리추출물), 연어이리추출분말","","홍차향","","자몽향","","","우유세라마이드","","","허니향",""
"2","번호4821","품목보고번호2015041512527","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명디톡칸B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"올리브유","자몽농축액","오렌지농축액","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","비타믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4820","품목보고번호20000614238271","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월(실온보관)","제품명디핀에이드 레몬","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬농축액","백설탕","분말결정포도당","구연산","비타민C","레몬향","후르츠믹스향","라임향","정제수","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,"미국산, 65brix","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4819","품목보고번호2011014911460","업소명(주)테일러팜스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명딥워터콤부차","분류식품","업체명","(주)테일러팜스","소재지","부산광역시 강서구 녹산산단261로74번길 41(송정동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","락툴로즈","기타발효음료","D-소비톨액","난소화성말토덱스트린(고시형)","서양자두농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","콤부차발효액","","","푸룬농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4818","품목보고번호20110149027242","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명딱좋아 몽모랑시타트체리콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"타트체리농축액, 터키산","베트남산","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4817","품목보고번호20110149027241","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명딱좋아 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4816","품목보고번호20110149027243","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명딱좋아ABC주스콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과채주스","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABC혼합농축액(사과농축액, 국내산 70%, 당근농축액, 국내산 20%, 레드비트농축액 독일산 10%)","베트남산","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4815","품목보고번호19970464172496","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명딸기","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"딸기농축액","기타과당","구연산","구연산삼나트륨","아라비아검(고시형)","비타민C","효소처리스테비아","펙틴","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","아카시아식이섬유","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4814","품목보고번호19960458039519","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명딸기 어린이 음료","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"딸기농축액","사과농축액","백설탕","젖산칼슘","구연산","구연산삼나트륨","비타민C","수크랄로스","산화아연","정제수","이소말토올리고당","프락토올리고당","혼합제제",NA,NA,NA,NA,NA,NA,"65Brix 이상, 이스라엘산","70Brix 이상, 칠레산","","","","","","","","","","","딸기향 SC-121142",NA,NA,NA,NA,NA,NA
"10","번호4813","품목보고번호20030614307869","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명딸기 요구르트 에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"정제수","액상과당","백설탕","샤베트믹스","혼합분유","구연산","식품첨가물혼합제제","과.채가공품","합성착향료","구연산삼나트륨","코치닐추출색소","합성착향료","수크랄로스","합성착향료","비타민C",NA,NA,NA,NA,"","","","유산균배양액베이스","스킴밀크 프리퍼레이션 에스엠피 8515","","엠아이에스(MIS)-66600","딸기농축액-엘","딸기향 엠에프-020812","","","요거트후레바","","요구르트향 엠에프-140263","",NA,NA,NA,NA
