"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호1573","품목보고번호20160521127168","업소명주식회사 제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잠백이 펌프","분류식품","업체명","주식회사 제이바이오","소재지","전라남도 장흥군 관산읍 방촌1길 44-143","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","L-아르지닌","구연산","글리세린","타우린","비타민C","합성향료","효소처리스테비아","오르니틴염산염","수박농축액","기타소금","과.채가공품","레드비트주스분말","","","함수구연산","","","","수박향","","","","히말라야핑크솔트","수박추출분말",""
"2","번호1572","품목보고번호20110084489399","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잠백이 펌프","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","L-아르지닌","구연산","글리세린","타우린","비타민C","합성향료","효소처리스테비아","수박농축액","기타소금","과.채가공품","비트루트분말",NA,"","","함수구연산","글리세롤","","","수박향","","","히말라야 핑크솔트","수박추출분말","",NA
"3","번호1571","품목보고번호20070443110412","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명잠백이프로틴","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"정제수","아세설팜칼륨","유청단백분말","수크랄로스","인산","포도향","포도향","혼합제제","L-카르니틴",NA,NA,NA,NA,"","","유청분리단백(미국산)","","","SK-J1572","SK-J1573","바이오렛칼라엔","",NA,NA,NA,NA
"4","번호1570","품목보고번호2021045109636","업소명농업회사법인 주식회사 자연이 정답이다","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명장균형1","분류식품","업체명","농업회사법인 주식회사 자연이 정답이다","소재지","충청북도 괴산군 칠성면 자연드림길 245-10","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","바나나퓌레","망고농축액","유산균혼합분말","파인애플농축액","난소화성말토덱스트린(고시형)","구아검","과.채가공품",NA,NA,NA,NA,NA,"먹는해양심층수","","망고 100%","Lactobacillus plantarum, Lactobacillus  paracasei, Lactobacillus rhamnosus","파인애플 100%","","","코코넛밀크",NA,NA,NA,NA,NA
"5","번호1569","품목보고번호2021045109637","업소명농업회사법인 주식회사 자연이 정답이다","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명장균형2","분류식품","업체명","농업회사법인 주식회사 자연이 정답이다","소재지","충청북도 괴산군 칠성면 자연드림길 245-10","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","오렌지농축액","프락토올리고당","에둘리스시계꽃농축액","유산균혼합분말","서양자두농축액","난소화성말토덱스트린(고시형)","구아검","천연오렌지향","천연파인애플향",NA,NA,NA,"먹는해양심층수","오렌지100%","","패션프루트농축액","Lactobacillus plantarum, fermentum, reuteri, rhamnosus, acidophilus","푸룬100%","","","","",NA,NA,NA
"6","번호1568","품목보고번호19890445014669","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명장뇌산삼과 고창복분자","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,"식물혼합농축액","카라멜색소","홍삼농축액","효소처리스테비아","카르복시메틸셀룰로오스나트륨","자몽종자추출액","액상과당","사철쑥농축액","복분자추출액","쌍화차향","헛개농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1567","품목보고번호201905710252","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터50일","제품명장독대명작감주","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1566","품목보고번호201905710255","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터50일","제품명장독대명작감주단호박","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","건조호박분말","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"맥아","","국산단호박가루","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1565","품목보고번호19920562023418","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명장미레몬에이드","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12",NA,"구연산(결정)","설탕","레몬농축액","염화칼륨","수크랄로스","식용색소적색제40호","장미향","라임향","레몬향","정제수","기타과당","장미꽃잎추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1564","품목보고번호2011061812157","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명장미에이드","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"설탕","액상과당","효소처리스테비아","구연산","인공장미향","자색고구마색소","효소처리루틴","장미추출액","정제수",NA,NA,NA,NA,"","f-55","","","","","","고형분 0.5 Brix","",NA,NA,NA,NA
