"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18"
"1","번호2973","품목보고번호20110445029162","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명신짱구미COCO리치","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","리치농축","설탕","과.채가공품","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","향료","향료","정제수","리치농축액","","나타드코코","","","","","","시트러스향","리치향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2972","품목보고번호20110445029161","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명신짱구미COCO오렌지","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","오렌지농축액","설탕","과.채가공품","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","메타인산나트륨","식용색소황색제5호","향료","","","나타드코코","","","","","","","","오렌지향#1","12","13","향료","정제수","오렌지향#16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2971","품목보고번호20110445029163","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명신짱구미COCO포도","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","Red grape농축액","설탕","과.채가공품","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","메타인산나트륨","식용색소적색제40호","식용색소청색제1호","적포도농축액","","나타드코코","","","","","","","","","12","13","향료","정제수","포도향#16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2970","품목보고번호201203781713","업소명에이앤지","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명신화리","분류식품","업체명","에이앤지","소재지","경기도 양평군 강하면 전의3길 90","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2969","품목보고번호202103960683","업소명세인음료식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명신화리 1000","분류식품","업체명","세인음료식품","소재지","경기도 양평군 강상면 강상로 356","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산호분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2968","품목보고번호202103960682","업소명세인음료식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명신화리 365","분류식품","업체명","세인음료식품","소재지","경기도 양평군 강상면 강상로 356","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","액상차",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","아마란스.쇠뜨기,손바닥선인장",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2967","품목보고번호202103960681","업소명세인음료식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명신화리 8.5","분류식품","업체명","세인음료식품","소재지","경기도 양평군 강상면 강상로 356","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산호분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2966","품목보고번호20110084489419","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명실크 feel아르기닌 5100","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","구연산(무수)","Red grape농축액","블루베리주스농축액","레몬농축액","효소처리스테비아","비타민C","타우린","천연향료","글루콘산아연","","","","적포도주스농축액","","","","","","천연레몬향","","12","13","혼합제제","기타가공품","","복합황금추출물","14","15","16","17","18","쌀배아추출물","누에고치단백가수분해물","기타가공품","비타민B6염산염","비타민B1염산염","쌀배아추출액","실크펩타이드","블랙마카추출물","",""
"9","번호2965","품목보고번호2016049203878","업소명주식회사 고려인삼제조","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명심마니 산양산삼 진액","분류식품","업체명","주식회사 고려인삼제조","소재지","전라북도 남원시 광치산업2길 15(용정동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출액","프락토올리고당","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2964","품목보고번호20110084489504","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명심플리커 부스터","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","프락토올리고당","구연산","라즈베리농축액","타우린","L-카르니틴","오르니틴염산염","향료","수박분말","잔탄검","","","","함수구연산","라즈베리쥬스농축액","","","","드링크향","수박추출분말","","12","13","산화아연","수크랄로스","","","14","15","16","17","18","비타민C","비타민B1염산염","비타민B2","혼합제제","혼합제제","","","","아미노산혼합제제/아미노믹스","비타민혼합제제"
