"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호3320","품목보고번호20060368214117","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명설레임호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5","정제수","백설탕","엿기름","쌀","호박가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3319","품목보고번호19710570001621","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한2년","제품명설빙 맛있는 유기농 식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","정제수","엿기름","사탕수수가루","쌀","생강","","유기농엿기름추출액15%","유기농사탕수수원당","유기농7분도쌀","유기농생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3318","품목보고번호20090242118214","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명설빙 우리쌀식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","정제수","설탕","엿기름","쌀","생강","","","국산","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3317","품목보고번호20040275056935","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명설빙 자두에이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","정제수","백설탕","프락토올리고당","자두농축액","자두향","","정백당","","","","6","7","8","9","10","구연산(무수)","효소처리스테비아","구연산삼나트륨","비타민C","비타민미네랄혼합분말","무수구연산","","","","비타민미네랄믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3316","품목보고번호20040275056878","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명설빙 청포도에이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","정제수","백설탕","프락토올리고당","청포도농축액","구연산(무수)","","정백당","","","무수구연산","6","7","8","9","10","청포도향","청포도향","구연산삼나트륨","비타민C","비타민미네랄혼합분말","","","","","비타민미네랄믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3315","품목보고번호20200401439142","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명설탕대신 스테비아 더블초코우유","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","정제수","원유","에리스리톨","코코아분말","코코아분말","","","","D-11-S","D-23-S","6","7","8","9","10","글리세린지방산에스테르","식품첨가물혼합제제","천일염","탄산칼슘","탄산수소나트륨","","밀크향","","","","11","12","13","14","젤란검","효소처리스테비아","수크랄로스","혼합제제","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3314","품목보고번호20080395120667","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명설탕대신 스테비아 더블초코우유","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","정제수","원유","에리스리톨","코코아분말","코코아분말","","","","D-11-S","D-23-S","6","7","8","9","10","글리세린지방산에스테르","식품첨가물혼합제제","천일염","탄산칼슘","탄산수소나트륨","","밀크향","","","","11","12","13","14","젤란검","효소처리스테비아","수크랄로스","혼합제제","","","","비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3313","품목보고번호2006039411282","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명성량(聲亮)","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3","4",NA,"액상차","갈대뿌리줄기추출분말","효소처리스테비아","기타가공품",NA,"SR추출물","갈대뿌리추출분말","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3312","품목보고번호202104170143","업소명성신푸드","품목유형혼합음료","유통/소비기한1년(냉동)","제품명성신 수정과","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4",NA,"정제수","설탕","계피","생강",NA,"","","(베트남산)","(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3311","품목보고번호20130415052239","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명세리 숙취브이샷","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","정제수","파인애플농축액","프락토올리고당","자일리톨","벌꿀","","","","","","6","7","8","9","10","캔디류","타우린","마름분말","파인애플향","효소처리스테비아","세리 V-솔루션","","마름엑스분말","혼합제제, 파인애플향RF08-0948","","11","12","13","14","구연산","홍삼농축액","구연산삼나트륨","황금혼합추출물","","홍삼농축액8","","복합황금추출물-2","15","16","17","18","19","20","21","22","비타민C","곡류혼합효소분말","헛개나무과병추출분말","비타민B1질산염","비타민B2","비타민B6염산염","비타민 B12 혼합분말","니코틴산아미드","","15곡발효효소분말","","","","","비타민B12혼합제제분말",""
