"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호2174","품목보고번호20110441029121","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 타우린큐","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","타우린","액상과당","구연산","비타민B1염산염","비타민B2","니코틴산아미드","수크랄로스","사카린나트륨","비타민B6염산염","안식향산나트륨","파인향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2173","품목보고번호20110441029124","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 헛개 굿모닝","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","헛개나무열매농축액","대추농축액","감초농축액","구연산","타우린","액상과당","안식향산나트륨","구연산삼나트륨","L-아스파라진","비타민B1염산염","카라멜색소","비타민B2","수입산","국산","수입산","","","","합성보존료","","","","","","13","14","15","니코틴산아미드","허브향","정제수","","합성착향료",""
"3","번호2172","품목보고번호20110441029123","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 홍삼골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","홍삼농축액","중국당귀농축물","대추농축액","액상과당","안식향산나트륨","구연산삼나트륨","구연산","수크랄로스","사카린나트륨","카라멜색소","홍삼향","정제수","국산","중국산","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2171","품목보고번호2011044102913","업소명명성제약식품","품목유형혼합음료","유통/소비기한2년","제품명오스틴복분자","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10",NA,NA,"복분자엑기스","액상과당","구연산","복분자향","사카린나트륨","안식향산나트륨","정제수","구연산삼나트륨","수크랄로스","적양배추색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2170","품목보고번호2011044102920","업소명명성제약식품","품목유형혼합음료","유통/소비기한2년","제품명오스틴불루베리","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11",NA,"불루베리농축액","액상과당","구연산","비타민B1염산염","안식향산나트륨","불루베리향","사카린나트륨","수크랄로스","타우린","정제수","레드칼라",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2169","품목보고번호201104410292","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명오스틴비타골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","구연산","비타민B2","니코틴산아미드","안식향산나트륨","파인향","사카린나트륨","정제수","수크랄로스","비타민B1염산염","타우린","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,"비타민B6염산염",NA,NA,NA,NA,NA
"7","번호2168","품목보고번호19860443015278","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오알에스 플러스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","분말결정포도당","구연산삼나트륨","천연포도향","황금혼합추출물","염화칼륨","정제소금","DL-사과산","효소처리스테비아","자일로올리고당",NA,NA,"","무수결정포도당","","","복합황금추출물","","염화나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2167","품목보고번호20170614111456","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오엠씨 망고맛","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"정제수","기타 수산물가공품","향료","효소처리스테비아","DL-사과산","수크랄로스",NA,NA,NA,NA,NA,NA,"","굴가수분해물","파인애플향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2166","품목보고번호20170614111457","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오엠씨 블루베리맛","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"정제수","기타 수산물가공품","향료","효소처리스테비아","DL-사과산","수크랄로스",NA,NA,NA,NA,NA,NA,"","굴가수분해물","블루베리향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2165","품목보고번호20170614111458","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오엠씨 파인애플맛","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"정제수","기타 수산물가공품","향료","효소처리스테비아","DL-사과산","수크랄로스",NA,NA,NA,NA,NA,NA,"","굴가수분해물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
