"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호2164","품목보고번호19810606006509","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명오엠지 카카오","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","두류가공품","곡류가공품","케일분말","곡류가공품","코코아분말","아카시아검(고시형)","아마란스분말","기타소금","브로콜리분말","현미농축액","보리농축액","흑미농축액","당류가공품","시금치분말","과.채가공품","젤란검","나한과추출물분말","계피가루","기타가공품","정제수","완두단백분말","쌀단백분말","","6종슈퍼혼합곡물분말","","","","크리스탈라인핑크소금","","현미추출물","","","비정제사탕수수당","","단호박분말","","","","유산균배양분말",""
"2","번호2163","품목보고번호2008033218034","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉동 1년","제품명오유미당 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2162","품목보고번호20050555180615","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명오자알","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,"실크알부민","미네랄혼합제제","프락토올리고당","대두배아추출물분말","식물혼합추출물","타우린","석류농축액","사과농축액","L-아르기닌(기능성원료인정제2015-19호)","자몽종자추출물","홍삼농축액","비타민C혼합제제","구연산","비타민B6염산염혼합제제","비타민B2혼합제제","비타민 B1염산염(고시형)",NA,NA,NA,NA,"고형분6.0%이상","","","대두추출분말","고형분0.4%이상","","","","","","고형분60%이상,6년근,국산,홍삼성분70mg/g이상","","","","","",NA,NA,NA,NA
"4","번호2161","품목보고번호1992047403643","업소명삽다리전통한과","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명오자차","분류식품","업체명","삽다리전통한과","소재지","충청남도 예산군 대치2길 60","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","구기자나무열매","토사자","복분자","사상자","오미자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2160","품목보고번호198804420041811","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오자허브혼합농축액","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오자농축액","액상차",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","맥문동등허브농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2159","품목보고번호200605561329","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명오케이수","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"황산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2158","품목보고번호200903751493","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일부터  24 개월","제품명오케이수(OK水)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2157","품목보고번호20060464002337","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명오크라 마시는 뷰티드링크(OKRA BEAUTY DRINK)","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","기타가공품","생선콜라겐","과.채가공품","레몬농축액","프로바이오틱스분말(고시형)","로얄젤리분말","비타민C","혼합제제","수크랄로스","천연향료(Lemon)","천연블루베리향",NA,NA,NA,NA,NA,NA,NA,"","오크라추출물","레몬트리혼합추출물","","혼합과채즙청징농축액","유기농레몬농축액","12종 혼합유산균분말","","","","","","",NA,NA,NA,NA,NA,NA,NA
"9","번호2156","품목보고번호2001043909826","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한PET, PE :1.5ℓ,1.0ℓ,0.5ℓ,0.35ℓ, 제조일로부터 12개월.","제품명오투유","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2155","품목보고번호2001043909840","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오투유 (O2U)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
