"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18"
"1","번호4862","품목보고번호20000614238419","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명동원 복숭아 황도에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","과.채가공품","설탕","구연산","비타민C","엿류","수크랄로스","아세설팜칼륨","혼합제제","정제수","황도퓨레농축액","","","","맥아엿","","","주정, 정제수, 천연향료, 합성향료, 트리아세틴, 프로필렌글리콜","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4861","품목보고번호2019041307937","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명동원 양반 복숭아식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","엿기름당화액","설탕","곡류가공품","올리고당","폴리덱스트로스","복숭아농축액","생강추출농축액","합성향료","합성향료","","","식혜농축베이스","","","국산","","복숭아향1","복숭아향2","10","11","수크랄로스","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4860","품목보고번호2019041307936","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명동원 양반 사과식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","엿기름당화액","설탕","곡류가공품","올리고당","폴리덱스트로스","사과농축액","생강추출농축액","합성향료","수크랄로스","","","식혜농축베이스","","","국산","","사과향","","10",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4859","품목보고번호2019041307938","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명동원 양반 유자식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","엿기름당화액","설탕","곡류가공품","올리고당","폴리덱스트로스","유자청징농축액","생강추출농축액","합성향료","합성향료","","","식혜농축베이스","","","국산","","유자향1","유자향2","10","11","수크랄로스","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4858","품목보고번호2019041307934","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명동원 양반 정통식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8",NA,"엿기름당화액","설탕","곡류가공품","올리고당","폴리덱스트로스","생강추출농축액","수크랄로스","정제수",NA,"","","식혜농축베이스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4857","품목보고번호19950227050142","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한1년(실온)","제품명동원꿀물","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6","7","8","9","정제수","액상과당","이소말토올리고당","벌꿀","말토덱스트린","벌꿀향","비타민C","카라멜색소혼합제제","수크랄로스","","","제품명 : 바이올리고 IS850","","제품명 : 글루시덱스-12","시리얼 : SKC5641","","시리얼 : P212","","10",NA,"구연산삼나트륨",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4856","품목보고번호19950227050143","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한1년(실온)","제품명동원알로에","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6","7","8","9","젤란검","구연산삼나트륨","백설탕","구연산","비타민C","젖산칼슘","정제수","청포도향","그린색소","모델 : 켈코겔","","","함수구연산","","","","","","10","11","알로에베라겔분말","기타과당","","모델 : 스위티스DS500","12","13","이소말토올리고당","수크랄로스","모델 : 바이올리고IS850","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4855","품목보고번호199502270507","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한2년(실온보관)","제품명동원정성껏빚은정식혜","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6","7","8","9","백설탕","엿기름","멥쌀","생강농축액","정제수","효소제제혼합제제","효소제제혼합제제","스테비올배당체","수크랄로스","","","","","","제품명: 푼가밀 800L","제품명 : 터마밀 120L","","","10",NA,"프락토올리고당",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4854","품목보고번호1989044501487","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동의기력천","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,"영지버섯","녹용","두충","참당귀","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4853","품목보고번호20190391582152","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명동의혼합액","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","정제수","식물혼합농축액","식물혼합농축액","눈꽃동충하초추출액","기타 농산가공품","배농축액","프락토올리고당","홍삼농축액","잔탄검","","LJG컴파운드305","LJG컴파운드430","","침향추출액","","","","","10","11","인산","녹용추출액","","녹용추출액 중하대","12","13","녹용추출액","기타가공품","녹용추출액 분골상대","복합황금추출물","14","15","16","17","18","기타가공품","기타가공품","기타가공품","과.채가공품","기타가공품","산삼배양근분말","오미자농축분말","산사자추출분말","복분자추출분말","복합허브추출물C"
