"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호2194","품목보고번호19960458039593","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오미자에이드","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","오미자추출농축액","구연산","혼합제제","혼합제제","비타민C","수크랄로스","식용색소적색제40호","식용색소황색제4호","","","40Brix","","오미자향 K-193186","오미자향 21910003","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2193","품목보고번호20170209425109","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오미자엑기스","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","7","8","9","10","백설탕","정제수","기타과당","소스류","소스류","DL-사과산","식품첨가물혼합제제","구연산","비타민C","식품첨가물혼합제제","","","과당55","사과농축액","오미자엑스","","오미자향","함수구연산","","에스엠레드","11","12","13","아세설팜칼륨","카라멜색소","심황색소","","","",NA,NA,NA
"3","번호2192","품목보고번호19990555093318","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터      24 개월(2년)","제품명오베리","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8",NA,NA,"식물혼합추출액","블랙커런트혼합농축액","크랜베리농축액분말","아사이베리혼합농축액","라즈베리농축액","비타민 C(고시형)","생선콜라겐펩타이드","혼합허브추출물",NA,NA,"발효오디상지추출물,(고형분 8%, 국산)","블랙커런트농축액(65Brix)","Cranberry농축액(50Brix)","23Brix","60Brix","","콜라겐펩타이드","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2191","품목보고번호200202751426","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일부터  1년일(-18℃이하 냉동보관)","제품명오별난 단호박 식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4","5",NA,NA,NA,NA,NA,"멥쌀","엿기름","단호박","백설탕","정제수",NA,NA,NA,NA,NA,"백미100%국산","겉보리100%국산","단호박100%국산,뉴질랜드산","정백당100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2190","품목보고번호2002027514213","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명오별난 옛날 그맛 수정과","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"생강","계피","설탕","정제수",NA,NA,NA,NA,NA,NA,"","","흑설탕","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2189","품목보고번호2002027514210","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터 50일","제품명오별난 전통 단호박 식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4","5",NA,NA,NA,NA,NA,"엿기름","쌀","정제수","백설탕","호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2188","품목보고번호2002027514211","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명오별난 전통식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","쌀","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2187","품목보고번호2002027514212","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일부터  1년일(-18℃이하 냉동보관)","제품명오별난수정과","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"생강","계피","설탕","정제수",NA,NA,NA,NA,NA,NA,"","","흑설탕","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2186","품목보고번호200202751424","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지 (냉동보관)","제품명오별난식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿질금","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2185","품목보고번호200703582241175","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오스떼 화이트 토마토 콜라겐 12000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","정제수","콜라겐가수분해물","석류농축액","프락토올리고당","서양자두농축액","구연산(무수)","혼합제제","토마토농축분말","기타가공품","비타민C","","콜라겐펩타이드","","","푸룬농축액","","석류향","화이트토마토농축추출분말","","","11","12","13","포도종자추출물","구연산삼나트륨","수크랄로스","포도종자추출분말","","","14","L-시스틴",""
