"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","번호22","성분 및 원료21","성분 및 원료22","비고21","비고22"
"1","번호541","품목보고번호20130358242157","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명프로틴에너지워터Q","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","액상과당","덱스트린","D-소르비톨","유청단백분말","레몬농축액","젖산칼슘","염화마그네슘","타우린","구연산(무수)","비타민C","효소처리스테비아","레몬향","구연산삼나트륨","블루베리향","자몽종자추출물","글루콘산아연","비타민B2","비타민B6염산염","비타민B1염산염","정제수","","말토덱스트린","","분리유청단백분말","열매","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","번호540","품목보고번호19810227007456","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명프로틴유","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","원액두유","정제수","덱스트린","카제인나트륨","기타가공품","구연산칼륨","채종유(유채유 또는 카놀라유)","대두식이섬유","소르비탄지방산에스테르","제이인산칼슘","염화마그네슘","구연산삼나트륨","식품첨가물혼합제제","식품첨가물혼합제제","난소화성말토덱스트린(고시형)","식염","카라기난혼합제제","식품첨가물혼합제제","수크랄로스","황산제일철","","","말토덱스트린","","볶은혼합곡물분말(오트(캐나다산),렌틸콩(캐나다산),발아현미(국산),백태(국산),퀴노아(페루산))","","채종유(호주산),d-토코페롤(혼합형)","","유화제","","","","혼합제제1(결정셀룰로스,CMC,구아검)","비타민혼합제제, 혼합제제 3","","","혼합제제2(카라기난, 덱스트로스)","볶은콩향(천연향료, 합성향료)","감미료","영양강화제",NA,NA,NA,NA,NA,NA
"3","번호539","품목보고번호19810227007450","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월(실온보관)","제품명프로틴유 쉐이크","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","유크림","유단백분말","유청단백분말","소르비탄지방산에스테르","대두식이섬유","구연산삼나트륨","구연산칼륨","수크랄로스","카제인칼슘","자일리톨","식염","카라기난혼합제제","식품첨가물혼합제제","변성전분","코코아분말","코코아분말","합성향료","합성향료","합성향료","합성향료","뉴질랜드산","분리우유단백(덴마크산)","농축유청단백(미국산)","유화제","","","","","","","","혼합제제2(카라기난,덱스트로스)","혼합제제1(결정셀룰로스,CMC,구아검)","","","","초콜릿향1","밀크향1","밀크향2","초콜릿향2","21","22","합성향료","정제수","바닐라향",""
"4","번호538","품목보고번호2022068312913","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명프로틴유 쉐이크 곡물맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","두류가공품","덱스트린","카제인나트륨","곡류가공품","구연산칼륨","두류가공품","소르비탄지방산에스테르","제이인산칼슘","염화마그네슘","혼합제제","구연산삼나트륨","정제소금","혼합제제","난소화성말토덱스트린(고시형)","카라기난","채종유(유채유 또는 카놀라유)","수크랄로스","황산제일철","향료","정제수","분리대두단백","말토덱스트린","","19곡혼합분말","","피브림 2000","","","","결정셀룰로스,CMC,구아검","","","비타프로 CEC","화이바솔-2","","","","","두유향 22088003","",NA,NA,NA,NA,NA,NA
"5","번호537","품목보고번호2022068312911","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명프로틴유 쉐이크 초콜렛맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,"분리유단백분말","카제인칼슘","유크림","유청단백분말","코코아분말","코코아분말","자일리톨","구연산칼륨","옥테닐호박산나트륨전분","구연산삼나트륨","두류가공품","소르비탄지방산에스테르","혼합제제","정제소금","혼합제제","카라기난","수크랄로스","정제수",NA,NA,"","","","농축유청단백분말","코코아파우더 500-DP-11","코코아파우더 D-11-A","","","에멀에이드","","피브림2000","","VIVAPUR MCG 611 FG","","초콜릿향 D22-07014","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호536","품목보고번호20000614238505","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴자몽","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","구연산","수크랄로스","아세설팜칼륨","유청단백분말","혼합제제","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"적자몽주스농축액","","","","유청분리단백","주정,천연향,합성향료","정제수,규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호535","품목보고번호1996044304785","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 30일","제품명프로틴코드 드링크","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,"분리대두단백","액상과당","곡류가공품","곡류가공품","아몬드페이스트","곡류가공품","곡류가공품","곡류가공품","곡류가공품","곡류가공품","곡류가공품","탄산수소나트륨","정제소금","곡류가공품","곡류가공품","카라기난","정제수","옥수수기름(옥배유)","합성향료",NA,"","","현미페이스트","갈아만든우리쌀즙","볶음백아몬드페이스트","볶음쌀가루","곡물혼합페이스트","볶음검정쌀분말","오트밀분말","퀴노아분말","홍국분말","","","곡류두류혼합농축액","씨드혼합농축액","","","옥배유","현미향",NA,NA,NA,NA,NA,NA,NA
"8","번호534","품목보고번호20160441094105","업소명유니크바이오텍(주)","품목유형혼합음료","유통/소비기한제조일부터   24개월, 실온","제품명프로폴리스 추출물","분류식품","업체명","유니크바이오텍(주)","소재지","전라북도 익산시 왕궁면 푸드폴리스로8길 69","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프로폴리스추출액","L-아르지닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호533","품목보고번호201701471555","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한24개월","제품명프로폴리스골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"액상과당","프로폴리스","스테비안45에스","구연산","구연산삼나트륨","비타민C","카라멜색소","비타민B1염산염","비타민B6염산염","니코틴산아미드","비타민B1라우릴황산염","벌꿀","레몬향","페파민트향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호532","품목보고번호201701471553","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명프로폴리스골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"액상과당","프로폴리스","스테비안45에스","구연산","구연산삼나트륨","비타민C","비타민B1라우릴황산염","카라멜색소","비타민B6염산염","니코틴산아미드","비타민B1라우릴황산염","벌꿀","레몬향","페파민트향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
