"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호2733","품목보고번호2018049104461","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스카페 복숭아아이스티","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","복숭아농축액","구연산","합성향료","홍차분말","맥아추출물분말","합성향료","비타민C","수크랄로스","","","68Brix,이스라엘산","","복숭아향","칠레산","말트익스트렉트","홍차향","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2732","품목보고번호1987055800360","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한18개월","제품명아이스카페 복숭아아이스티","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","복숭아농축액","홍차분말","정제수","백설탕","구연산","식품첨가물","식품첨가물","합성향료","합성향료","합성향료","고형분 68%이상, 이스라엘산","칠레산","","","함수구연산","수크랄로스","비타민C","복숭아향 317565","복숭아향 17459","홍차향 12002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2731","품목보고번호2018049104463","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스카페 블루레몬에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","레몬농축액","구연산","덱스트린","합성향료","구연산삼나트륨","합성향료","합성향료","수크랄로스","","","65Brix,이스라엘산","산도조절제","말토덱스트린","레몬향","산도조절제","라임향","시트러스향","감미료","11","식용색소청색제1호","착색제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2730","품목보고번호1987055800395","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한18개월","제품명아이스카페 블루레몬에이드","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","백설탕","레몬농축액","구연산","메타인산나트륨","비타민C","구연산삼나트륨","수크랄로스","합성향료","아세설팜칼륨","식용색소청색제1호","정백당","이스라엘, 65'BX","함수구연산","","","","감미료","시트러스향 (화이트클라우디)","감미료","착색료(식용색소)","11","합성향료","레몬향","12","13","14","합성향료","합성향료","정제수","믹스후르츠향","라임향",""
"5","번호2729","품목보고번호2018049104462","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스카페 블루베리에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","블루베리농축액","포도농축액","구연산","합성향료","구연산삼나트륨","합성향료","수크랄로스","식용색소적색제40호","","","67Brix,미국산","적포도농축액,68Brix,칠레산","산도조절제","블루베리향","산도조절제","포도향","감미료","착색제","11","식용색소청색제1호","착색제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2728","품목보고번호2018049104464","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스카페 자몽에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9",NA,"정제수","설탕","자몽농축액","구연산","덱스트린","합성향료","구연산삼나트륨","수크랄로스","식용색소적색제40호",NA,"","","58Brix,이스라엘산","산도조절제","말토덱스트린","자몽향","산도조절제","감미료","착색제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2727","품목보고번호2010018127951","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명아이스톡 복숭아아이스티","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","복숭아농축액","구연산","홍차추출분말","당류가공품","아세설팜칼륨","수크랄로스","복숭아향","복숭아향","","","","","","캬라멜당시럽","","","F-23002","F-21033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2726","품목보고번호20090473152466","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 복숭아아이스티","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","복숭아농축액","구연산","복숭아향","복숭아향","홍차추출분말","당류가공품","아세설팜칼륨","수크랄로스","","","","","합성착향료","합성착향료","","캬라멜당시럽","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2725","품목보고번호2010018127944","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명아이스톡 블루레몬에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","레몬농축액","구연산","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소청색제1호","라임향","시트러스향","","","","","","","","합성착색료","합성착향료","합성착향료","11","자몽향","합성착향료","12","13","14","라임농축액","덱스트린","레몬향","","",""
"10","번호2724","품목보고번호20090473152467","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명아이스톡 블루레몬에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","레몬농축액","구연산","라임향","구연산삼나트륨","시트러스향","자몽향","수크랄로스","아세설팜칼륨","","","","","합성착향료","","합성착향료","합성착향료","","","11","식용색소청색제1호","합성착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA
