"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호2454","품목보고번호20170614111461","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명얼티밋 하이드로 30 (ULTIMATE HYDRO 30)","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","덱스트린","포도당","기타과당","효소처리스테비아","구연산(무수)","DL-사과산","향료","구연산칼륨","천일염","비타민B1염산염","비타민B2","니코틴산아미드","판토텐산칼슘","","말토덱스트린","정제포도당","고과당","","","","","","","","","비타민B3","비타민B5",NA,NA,NA,NA,NA,NA
"2","번호2453","품목보고번호20170614111460","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명얼티밋 하이드로 50 (ULTIMATE HYDRO 50)","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","덱스트린","포도당","기타과당","구연산(무수)","DL-사과산","향료","효소처리스테비아","구연산칼륨","천일염","비타민B1염산염","비타민B2","니코틴산아미드","판토텐산칼슘","","말토덱스트린","정제포도당","고과당","","","","","","","","","비타민B3","비타민B5",NA,NA,NA,NA,NA,NA
"3","번호2452","품목보고번호20170614111459","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명얼티밋 하이드로 70 (ULTIMATE HYDRO 70)","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","덱스트린","포도당","기타과당","효소처리스테비아","구연산(무수)","DL-사과산","향료","구연산칼륨","천일염","비타민B1염산염","비타민B2","니코틴산아미드","판토텐산칼슘","","말토덱스트린","정제포도당","고과당","","","","레몬향","","","","","비타민B3","비타민B5",NA,NA,NA,NA,NA,NA
"4","번호2451","품목보고번호20080395120665","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명얼티브 바리스타","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","혼합음료","프락토올리고당","완두단백","현미유","야자유","칼슘혼합제제","현미단백분말","레시틴","천일염","카라기난","셀룰로오스혼합제제","향료","구연산삼나트륨","","현미액","","","","","","","대두","","","","","",NA,NA,NA,NA,NA,NA
"5","번호2450","품목보고번호2022068312923","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명얼티브 비건프로틴 초코","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","14","L-아르지닌","식품첨가물혼합제제","탄산수소나트륨","혼합제제","기타가공품","코코아분말","두류가공품","미강유(현미유)","천일염","수크랄로스","아세설팜칼륨","현미단백분말","두류가공품","향료","","","","폼제로-600F","비에프QA","","파바빈 단백분말","","","","","","완두단백분말","초코향","15","16","향료","정제수","초코향",""
"6","번호2449","품목보고번호20080395120661","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명얼티브 오리지널","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","혼합음료","프락토올리고당","완두단백","현미유","야자유","칼슘혼합제제","현미단백분말","레시틴","천일염","카라기난","구연산(무수)","향료","구연산삼나트륨","","현미액","","","","","","","대두","","","","","",NA,NA,NA,NA,NA,NA
"7","번호2448","품목보고번호19930461022292","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명얼티브 플랜트유","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","곡류가공품","백설탕","고올레산해바라기유","레시틴","천일염","아몬드향","합성향료","셀룰로오스혼합제제","카라기난","정제수","해조칼슘","치커리식이섬유","구연산","구연산삼나트륨","완두단백","","해바라기유","대두레시틴","","","곡물향","","","","해조분말","치커리뿌리추출물","","구연산NA","15",NA,"곡류가공품",NA,"현미완두발효단백",NA
"8","번호2447","품목보고번호20010515081506","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명얼티브 현미 오리지널","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","기타가공품","레시틴","현미유","야자유","완두단백","현미단백분말","카라기난","구연산삼나트륨","프락토올리고당","천일염","혼합제제","구연산","향료","정제수","현미액","대두레시틴","","정제야자유","","","","","","","액상탄산칼슘혼합제제","","오트향","",NA,NA,NA,NA,NA,NA
"9","번호2446","품목보고번호20040275056546","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엄마가 선택한 배도라지모과","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","백설탕","배농축액","올리고당","도라지농축액","모과농축액","배향","효소처리스테비아","구연산(무수)","비타민혼합제제",NA,NA,NA,NA,"","","","","","","","","","비타민믹스-솔루션-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2445","품목보고번호20120543109115","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명엄마까투리 아이편애(愛)","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"생강농축액","배농축액","딸기농축액","사과농축액","당근농축액","프락토올리고당","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"국산","국산","국산","국산","국산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
