"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고19","비고20","비고21","비고22","비고23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호4592","품목보고번호201904470372","업소명(주)메디퓨처","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리포업4X","분류식품","업체명","(주)메디퓨처","소재지","충청북도 옥천군 옥천읍 의료단지길 79(옥천의료기기 보육센터)","1","2","3","4","5","6","7","8","귤당절임","레시틴","비타민C","사양벌꿀","자일리톨","소브산칼륨","혼합제제","정제수","청귤청","","비타민C분말","","","","검믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4591","품목보고번호1997046417299","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리프레쉬","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","액상과당","수용성밀크시슬","울금추출분말","타우린","구기자농축액","비타민C","L-아스파라긴","L-아스파르트산",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","13","14","15","16","17","18","비타민B1염산염","비타민B2","비타민B6염산염","정제염","구연산","구연산삼나트륨","이노시톨","파인애플향","과라나추출물분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4590","품목보고번호20060445110774","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리픽 쓰리업 3UP 아르기닌 6000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","정제수","L-아르지닌","구연산","프락토올리고당","시클로덱스트린시럽","레몬농축액","블루베리향","블루베리농축액","","","","","","","","","9","10","11","12","13","14","15","16","17","18","효소처리스테비아","수박분말","산화아연","L-카르니틴","오르니틴염산염","맥아추출액","감귤농축액","수크랄로스","아미노산혼합분말","엽산","","수박과피추출분말","","","","맥아추출물","감귤류추출농축액","","","","19","20","21","22","23","건조효모(셀렌함유)","비타민혼합분말","타우린","비트레드","마카추출분말","(셀렌)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4589","품목보고번호20190391582135","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명릴리 딥 에센스","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","정제수","생선콜라겐","블루베리농축액","용설란시럽","비타민C","에리스리톨","타우린","인산","","피쉬콜라겐","","아가베시럽","","","","","9","10","11","12","13","14","15","16","17","18","아로니아농축액","변성전분","혼합제제","효소처리스테비아","건조효모","비타민E혼합제제","니코틴산아미드","판토텐산칼슘","히알루론산혼합제제","기타가공품","","","블루베리향","","셀렌함유","","","","","밀크세라마이드","19","20","21","22","23","엘라스틴가수분해물","비타민B12혼합제제분말","비타민B6염산염","비타민B1염산염","비타민B2","프로라스틴","비타민B12혼합제제","","","","24","25","26","27","28","29","N-아세틸글루코사민","L-시스틴","병풀추출","효모추출물","베타카로틴혼합제제","비오틴 혼합분말","","","병풀추출분말","글루타치온","","비오틴 혼합제제"
"5","번호4588","품목보고번호20020623009967","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명링커Energy","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","포도당","레몬농축액","기타과당","비타민C","구연산","타우린","구연산칼륨","정제소금","함수결정포도당","65Brix","","","","","","","9","10","11","12","13","14","15","16","17","18","L-아르지닌","구연산삼나트륨","효소처리스테비아","판토텐산칼슘","혼합제제","비타민B6염산염","덱스트린","올리고당","혼합제제","혼합제제","","","","","비타민 B12 0.1% 혼합제제","","글루시덱스","","시트러스향","레몬향","19",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4587","품목보고번호20070443110698","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한24개월","제품명링티제로 레몬라임맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","에리스리톨","향료","구연산","과.채가공품","기타소금","구연산삼나트륨","글루콘산아연","수크랄로스","","천연레몬라임향","","레몬라임농축액","히말라야암염","","","","9","10","11","12","13","14","15","16",NA,NA,"글루콘산마그네슘","니코틴산아미드","판토텐산칼슘","혼합제제","혼합제제","비타민B6염산염","혼합제제","정제수",NA,NA,"","","","비타민B12 0.1% 혼합제제","비씨에이에이","","분말비타민A아세테이트 325 혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4586","품목보고번호20100543066981","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 24개월","제품명링티제로 복숭아맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","에리스리톨","천연향료","구연산","복숭아농축액","정제소금","구연산삼나트륨","수크랄로스","","","복숭아향","","고형분 68% 이상, 이스라엘산","국산","","감미료","9","10","11","12","13","14","15","16","17",NA,"염화마그네슘","니코틴산아미드","비타민B6염산염","비타민 A 혼합제제","판토텐산칼슘","혼합제제","글루콘산아연","혼합제제","구연산칼륨",NA,"","","","비타민 A 아세테이트 혼합제제(포도당시럽분말, 옥수수전분, 아라비아검, 비타민 A 아세테이트, DL-α-토코페롤)","","비타민 B12 혼합제제(말토덱스트린, 구연산나트륨, 구연산, 비타민 B12","","L-로이신, L-발린, L-이소로이신","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4585","품목보고번호2019041307965","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명링티제로 복숭아맛","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","에리스리톨","복숭아농축액","수크랄로스","구연산","구연산삼나트륨","기타소금","니코틴산아미드","비타민B6염산염","","이스라엘산, 고형분68% 이상","","","구연산나트륨","히말라야암염","","","9","10","11","12","13","14","15","16",NA,NA,"비타민A혼합분말","판토텐산칼슘","비타민B12, 혼합제제","글루콘산아연","글루콘산마그네슘","비씨에이에이","향료","정제수",NA,NA,"","","","","","","복숭아향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4584","품목보고번호20070443110677","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한24개월","제품명링티제로 복숭아맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","에리스리톨","향료","구연산","과.채가공품","기타소금","구연산삼나트륨","글루콘산아연","수크랄로스","","천연복숭아향","","복숭아농축액","히말라야암염","","","","9","10","11","12","13","14","15","16",NA,NA,"글루콘산마그네슘","니코틴산아미드","판토텐산칼슘","혼합제제","비타민B6염산염","혼합제제","혼합제제","정제수",NA,NA,"","","","비씨에이에이","","분말비타민A아세테이트 325 혼합제제","비타민B12 0.1% 혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4583","품목보고번호19950433026729","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한24개월","제품명링티제로 복숭아맛 캔","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","에리스리톨","복숭아농축액","정제소금","구연산삼나트륨","구연산","수크랄로스","염화마그네슘","니코틴산아미드","","","","","","","","","9","10","11","12","13","14","15","16","17","18","비타민B6염산염","비타민A혼합분말","판토텐산칼슘","비타민B12, 혼합제제","글루콘산아연","비씨에이에이","구연산칼륨","천연복숭아향","천연복숭아향","정제수","","아세테이트","","","","","","HF-BA22653","SF-41263","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
