"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호3707","품목보고번호2019049821079","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비긴 아르차차","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","L-아르지닌","구연산","레몬농축액","프락토올리고당","액상과당","DL-사과산","과.채가공품","구연산삼나트륨","스테비올배당체","수크랄로스","레몬향","타우린","산화아연","감초엑기스분말","니코틴산아미드","발효홍삼농축액","비타민B12, 혼합제제","비타민B6염산염","비타민B1염산염","비타민B2","비오틴","마카추출분말","기타가공품","L-카르니틴","마늘추출물분말","혼합제제","","","함수구연산","","","","","레몬라임농축분말","","","","주정,정제수,레몬오일","","","","","","","","","","","","복합황금추출물","","","BCAA믹스"
"2","번호3706","품목보고번호20020383603206","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한24개월","제품명비너스톤콜라겐펩타이드리퀴드맥스","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상콜라겐","석류농축액","비타민C","아로니아농축액","유자과즙농축액","타히보농축액","자일리톨","액상말티톨","황금추출물","석류향","구연산","수크랄로스","비타민 B1(고시형)","비타민B2","히알루론산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","가피타히보추출농축액","","","복합황금추출물","합성향료","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3705","품목보고번호1992044300372","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명비락바나나식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"추출가공식품","백설탕","탈지분유","바나나농축액","효소처리스테비아","유화제","혼합제제","바나나향","바나나향","바나나향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름 추출액","","","","","F-50 / S570","아와컷-CP","H20006","AF9425","200151","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3704","품목보고번호199204430031","업소명(주)팔도","품목유형혼합음료","유통/소비기한12개월","제품명비락식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름추출액","백설탕","밥류","쌀당화액","생강추출액","효소처리 스테비아","시트러스추출분말","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"이론수율 66.4%","","당화밥","이론수율 69.8%","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3703","품목보고번호1992044300369","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명비락헛개식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","백설탕","헛개나무열매추출농축액","비타민 C(고시형)","정제수","생강추출액","α-아밀라아제(세균성)","α-아밀라아제","보리추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국산","","중국산","","","","반(BAN 480L)","펑가밀(Fungamyl 800L)","엿기름 추출액(고형분6.5%이상, 국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3702","품목보고번호19860443015388","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비바 콜라겐 10,000 깔라만시맛","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","생선콜라겐","구연산","합성향료","안식향산나트륨","효소처리스테비아","구연산삼나트륨","인디안구스베리추출물","혼합제제","병풀추출","필리핀레몬열매착즙액","엘라스틴가수분해물","혼합제제","비타민B1염산염","비타민B2","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","피쉬콜라겐, GT콜라겐","","칼라만씨향","","","","인디언구스레비추출물","","병풀추출물분말","깔라만시착즙액","","분말비타민 A 아세테이트 325 혼합제제","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3701","품목보고번호20030415157521","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비브리브 아르기닌 포 우먼","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산(무수)","프락토올리고당","사과농축액","자일리톨혼합제제","사과향","생선콜라겐","타우린","감귤추출물","식물혼합추출물분말","잔탄검","L-카르니틴","황금혼합추출물","히알루론산","로즈힙추출물분말","카라멜색소","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","사과농축과즙액","","","피쉬콜라겐","","","","","","복합황금추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3700","품목보고번호19860443015567","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비비온 글루타치온","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"에리스리톨","액상과당","복숭아농축액","효모추출물","합성향료","생선콜라겐","비타민C","구연산삼나트륨","황금혼합추출물","잔탄검","효소처리스테비아","엘라스틴가수분해물","비타민E혼합제제","L-시스틴","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","L-글루타치온 효모추출물 50","복숭아향","피쉬콜라겐","","","복합황금추출물","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3699","품목보고번호19860443015183","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명비비콜라겐 드링크","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","시클로덱스트린시럽","프락토올리고당","콜라겐","파인애플농축액","천연파인애플향","구연산","황금복합추출물","잔탄검","세븐베리농축액","체리농축액","아세로라농축액","알로에베라겔분말","비타민C","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","콜라겐(생선)","","천연착향료","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3698","품목보고번호19940474018702","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비상대책","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타과당","기타설탕","기타가공품","타우린","액상차","액상차","액상차","액상차","과.채가공품","구연산","펙틴","니코틴산아미드","구연산삼나트륨","향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","흑설탕","미배아대두발효추출물","","헛개나무열매농축액(brix52)","진피농축액F(65Brix)","감초농축액F(65Brix)","생강농축액F(62Brix)","배농축과즙F(69Brix)","","","","","혼합과일향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
