"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","성분 및 원료8","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11"
"1","번호1803","품목보고번호20160355538500","업소명(주)코리아푸드","품목유형혼합음료","유통/소비기한12개월","제품명이마시야 미미식혜","분류식품","업체명","(주)코리아푸드","소재지","경기도 파주시 탄현면 소리개길 214-50(1동1층,2층일부/2동)","1","2","3","4","5","6","7","정제수","음료베이스","백설탕","물엿","음료베이스","향신료조제품","효소처리스테비아","","엿기름추출액","","","멥쌀베이스","생강농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1802","품목보고번호20100543066525","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명이마트 루이보스오렌지","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","정제수","루이보스추출물","오렌지농축액","천연향료","합성향료","비타민C","기타가공품","","콜드브루루이보스추출원액(고형분1.5%이상,남아프리카공화국)","오렌지과즙으로 0.072%","천연차향","오렌지향","","복합허브추출물D(감초추출물,차추출물,폴리리신,분말결정포도당,덱스트린)","8","효소처리스테비아","천연감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1801","품목보고번호1989052801078","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일로부터12월","제품명이마트 엄마의 정성을 담은 복분자","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","복분자즙","사과즙","정제수","액상과당","백설탕","말토덱스티린","구연산",NA,NA,NA,NA,NA,NA,NA,"8","합성착향료",NA,"9","10","11","구연산삼나트륨","글리신","비타민C",NA,NA,NA
"4","번호1800","품목보고번호1989052801083","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한캔포장제품: 제조일로부터 24개월, 합성수지, 병포장제품 : 제조일로부터 12개월","제품명이마트 엄마의 정성을 담은 유자","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","유자과즙","정제수","백설탕","말토덱스트린","구연산","화이트크라우디","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","글리신",NA,"9","10","11","홍화황색소","구연산삼나트륨","유화제",NA,NA,NA
"5","번호1799","품목보고번호20100543066527","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명이마트 쟈스민 칼라만시","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","정제수","기타추출액","칼라만시퓌레","합성향료","비타민C","기타가공품","효소처리스테비아","","콜드브루 쟈스민티추출원액(고형분1.5%이상:우롱차98%,자스민꽃2%,중국산)","베트남산","쟈스민향","","복합허브추출물D(감초추출물,차추출물,폴리리신,분말결정포도당,덱스트린)","천연감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1798","품목보고번호20100543066526","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명이마트 페퍼민트 자몽","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","정제수","페퍼민트추출물","자몽농축액","합성향료","비타민C","기타가공품","효소처리스테비아","","콜드브루페퍼민트추출원액(고형분4.0%이상,수입산)","58Bx,이스라엘산(자몽과즙으로 0.064%)","자몽향","","복합허브추출물D(감초추출물,차추출물,폴리리신,분말결정포도당,덱스트린)","천연감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1797","품목보고번호202003951128","업소명(주)마음","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이뮤니프 미네랄수","분류식품","업체명","(주)마음","소재지","경기도 가평군 상면 비룡로 2217-17(가, 나동)","1","2",NA,NA,NA,NA,NA,"정제수","마그네슘(고시형)",NA,NA,NA,NA,NA,"","마그네슘볼 32%, 황동볼(KDF) 2.5%, 토르마린볼 44%, 자철광볼 16%, 게르마늄볼 5.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1796","품목보고번호2007052601413","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한1년","제품명이미라클(E미라클)","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,"지하수","염화칼륨",NA,NA,NA,NA,NA,"지하암반수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1795","품목보고번호20090242118154","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명이소당 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5",NA,NA,"정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1794","품목보고번호201905710258","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한영하18도이하냉동보관12개월","제품명이소떡식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
