"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11"
"1","번호3887","품목보고번호20110493072201","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명복숭아아이스티","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","복숭아농축액","홍차분말","구연산","비타민 C(고시형)","물엿","수크랄로스","복숭아향","홍차향","","","68Brix, 이스라엘산","칠레산","산도조절제","영양강화제","맥아당","감미료","합성향료,FCA","합성향료,FCA",NA,NA,NA
"2","번호3886","품목보고번호20050555180759","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","","","이스라엘산","함수구연산","합성향료","혼합제제","","말트익스트렉트","구연산나트륨","","11","비타민C",""
"3","번호3885","품목보고번호2017055519574","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","","","이스라엘산","함수구연산","합성향료","혼합제제","","말트익스트렉트","구연산나트륨","","11","비타민C",""
"4","번호3884","품목보고번호20000614238495","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","과.채가공품","설탕","혼합제제","구연산","비타민C","홍차추출분말","구연산삼나트륨","수크랄로스","혼합제제","정제수","백도농축액","","프로필렌글리콜, 주정, 혼합제제2(프로필렌글리콜, 합성향료, 주정), 혼합제제3(합성향료, 프로필렌글리콜, 팜유, 주정, 빙초산, 천연향료),","","","","","","규소수지, 글리세린지방산에스테르, 소르비탄지방산에스테르, 카르복시메틸셀룰로오스나트륨, 정제수","",NA,NA,NA
"5","번호3883","품목보고번호2017055519580","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","복숭아농축액","구연산","향료","향료","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","","","이스라엘산","함수구연산","복숭아향","홍차향","","말트익스트렉트","","","11","비타민C",""
"6","번호3882","품목보고번호20050555180770","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","복숭아농축액","구연산","향료","향료","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","","","이스라엘산","함수구연산","복숭아향","홍차향","칠레산","말트익스트렉트","","","11","비타민C",""
"7","번호3881","품목보고번호20180491044165","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아아이스티","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9",NA,"정제수","백설탕","복숭아향","구연산","과.채가공품","비타민C","구연산삼나트륨","홍차추출분말","수크랄로스",NA,"","","AC19200","용도:산도조절제","백도농축액(백도100%,중국산)","","용도:산도조절제","","용도:감미료",NA,NA,NA,NA
"8","번호3880","품목보고번호200306143071392","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복숭아아이스티","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9",NA,"정제수","설탕","향료","구연산","과.채가공품","비타민C","고형차","구연산삼나트륨","수크랄로스",NA,"","","복숭아향","","백도농축액","","홍차추출분말","","",NA,NA,NA,NA
"9","번호3879","품목보고번호20160518117103","업소명녹차원(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명복숭아아이스티","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","4","5","6","7","8","9","10","설탕","구연산(무수)","정제수","복숭아농축액","홍차추출분말","사과농축액","복숭아향","자몽종자추출물","비타민C","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","카르복시메틸셀룰로오스",NA
"10","번호3878","품목보고번호20130555108260","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아아이스티","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3","4","5","6","7","8","9","10","설탕","복숭아농축액","구연산","홍차분말","수크랄로스","아세설팜칼륨","복숭아향","복숭아향","홍차향","정제수","","이스라엘산","함수구연산","칠레산","","","HF-317565","HF-AF17459","HF-AF12002","",NA,NA,NA
