"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고3","비고4","비고5","비고6","번호7","번호8","성분 및 원료7","성분 및 원료8","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","번호13","번호14","번호15","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고11","비고12","비고13","비고14","비고15"
"1","번호4047","품목보고번호201804643191","업소명수피아산소수","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명17배 산소수","분류식품","업체명","수피아산소수","소재지","충청남도 공주시 유구읍 부곡산성로 338-2","1","2","지하수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4046","품목보고번호202003915377","업소명(주)한국네스트 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명배꿀배","분류식품","업체명","(주)한국네스트 제2공장","소재지","경기도 포천시 군내면 유교로 212-20","1","2","과.채가공품","사양벌꿀","배농축과즙액","","3","4","5","6","과.채가공품","타우린","비타민C","정제수","모과농축액(고형분60%이상)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4045","품목보고번호2012054310921","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명배꿀찜","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","배농축액","벌꿀",NA,NA,"3","4","5","6","생강시럽","계피농축액","모과농축액","타우린",NA,NA,NA,NA,"7","8","비타민C","대추농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4044","품목보고번호20110149027151","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명배네핏 석류 히비스커스 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","석류농축액","히비스커스분말","65 brix","","3","4","5","6","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","GT콜라겐","","","","7","8","타마린드검","카라기난","","","9","10","염화칼륨","히알루론산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4043","품목보고번호19800415004319","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한Can 2 년","제품명배도라지","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","설탕","액상과당","","","3","4","5","6","사양벌꿀","배농축액","구연산","기타가공품","","","","복합허브추출물C","7","8","도라지농축액","기타가공품","","식물혼합추출분말","9","10","수크랄로스","카라멜색소","","","11","12","13","14","15","L-아스파라진","타우린","합성향료","합성향료","정제수","","","벌꿀향","배향",""
"6","번호4042","품목보고번호19970570162364","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명배도라지 달임진액","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","정제수","사양벌꿀",NA,NA,"3","4","5","6","도라지농축액","배농축액","식물혼합농축액","대추농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4041","품목보고번호20020623009714","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명배도라지 블렌딩 티","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","액상차","레몬농축액","배도라지생강농축혼합차(69brix)","65brix, 7brix기준 2.79%","3","4","5","6","계피추출물","구연산","비타민C","액상과당","","산도조절제","영양강화제","","7","8","덱스트린","치자황색소","","","9","10","합성향료","레몬향","도라지향","합성향료","11",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"8","번호4040","품목보고번호20090242118197","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명배도라지가 그대로 담긴 튼든탄 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","정제수","올리고당","","프락토올리고당","3","4","5","6","과.채가공품","쌀","엿기름","물엿","배퓨레","","","조청쌀엿","7",NA,"기타가공품",NA,"도라지 분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4039","품목보고번호19970378043454","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명배도라지스틱","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","액상차","배농축액","도라지혼합농축액","배농축과즙F","3","4",NA,NA,"사양벌꿀","합성향료",NA,NA,"","벌꿀향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4038","품목보고번호19940474018650","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명배도라지쌍화","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","기타과당","기타설탕","","흑설탕","3","4","5","6","기타가공품","과.채가공품","기타가공품","액상차","쌍화농축액","배농축과즙F(69Brix)","도라지농축액F(65Brix)","영지농축액F(65Brix)","7","8","천궁농축액","홍삼농축액","","고려홍삼농축액","9","10","구연산","구연산삼나트륨","","","11","12","13","14",NA,"정제소금","잔탄검","합성향료","정제수",NA,"","","도라지향","",NA
