"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고7","비고8","비고9","번호10","번호11","번호12","번호13","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고10","비고11","비고12","비고13"
"1","번호4037","품목보고번호19730380010501","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     2 년","제품명배도초","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","기타가공품","배농축액","도라지농축액","사양벌꿀","기타 농산가공품","밀리타리스동충하초추출물(품목보고번호: 19730380010-498)","","","","식물혼합농축액J(품목보고번호: 20180504061-194)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4036","품목보고번호20090368428482","업소명(주)스위트코리아","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명배동동배식혜","분류식품","업체명","(주)스위트코리아","소재지","경기도 광주시 곤지암읍 내선길 210-35(1,2층)","1","2","3",NA,NA,"정제수","혼합음료","배향",NA,NA,"","배식혜진액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4035","품목보고번호19880442004663","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한18개월","제품명배랑도라지랑","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","정제수","열대과일혼합농축액","기타가공품","포도농축액","기타가공품","","열대과일농축액{사과농축액 (칠레산), 오렌지농축액 (미국산), 파인애플농축액 (필리핀산), 망고퓨레 (필리핀산), 살구퓨레 (중국산)}","배도라지발효농축액 [배도라지농축액{배농축액(고형분 10% 배:국산) 60%,도라지농축액(고형분 10% 도라지:국산) 40%}, 유산균]-제조사:디에이치바이오(D H Bio)(안성시 대덕면 소재)","","트로피칼프루츠 - 제조사:내추럴퓨어(경기도 광주시 현산로 307-1)","6","기타가공품","락토바실루스플란타룸배양액분말 - 제조사:(주)썰바이오텍(김포시 월곶면 소재)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4034","품목보고번호2021060692852","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명배럴헬스 아르기닌 5000","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5","L-아르지닌","구연산(무수)","청포도농축액","혼합분말믹스","비타민C","","","","[L페닐알라닌,L로이신,L메티오닌,L라이신염산염,필라티노스,L이소로이신,L발린,L히스티딘,L트레오닌,L트립토판]","","6","타우린","","7","8","9","L-카르니틴","기타가공품","정제수","","푸드겔(로커스트콩검,잔탄검,분말한천,타마린드검,카라기난)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4033","품목보고번호20110149027349","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명배럴헬스 아르지닌 5000","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","L-아르지닌","구연산(무수)","청포도농축액","혼합분말믹스","비타민C","","","","L페닐알라닌, L로이신,L메티오닌,L라이신염산염,팔라티노스,L이소로이신,L발린,L히스티딘,L트레오닌,L트립토판","","6","타우린","","7","8","9","로커스트콩검","잔탄검","분말한천(고시형)","","","","10","11","12","13","타마린드검","카라기난","L-카르니틴","정제수","","","",""
"6","번호4032","품목보고번호20110493072271","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명배모과유자","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","정제수","백설탕","배농축액","유자과즙","모과농축액","","","72Brix, 국산","9Brix, 국산","65Brix, 국산","6","구연산","산도조절제","7","8","9","비타민 C(고시형)","수크랄로스","카라멜색소분말","영양강화제","감미료","#8423","10",NA,NA,NA,"모과향",NA,NA,NA,"EF180405, 합성향료",NA,NA,NA
"7","번호4031","품목보고번호20110493072196","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명배모과유자블렌딩티","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","정제수","백설탕","배농축액","유자과즙","모과농축액","","","72Brix, 국산","9Brix, 국산","65Brix, 국산","6","구연산","산도조절제","7","8","9","비타민 C(고시형)","수크랄로스","카라멜색소분말","영양강화제","감미료","#8423","10",NA,NA,NA,"모과향",NA,NA,NA,"EF180405, 합성향료",NA,NA,NA
"8","번호4030","품목보고번호20140493171127","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명배모과유자블렌딩티","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","정제수","설탕","과.채가공품","과채주스","당류가공품","","","배농축액","유자과즙","모과농축액","6","구연산","","7","8","9","합성향료","비타민 C(고시형)","수크랄로스","모과향","","","10",NA,NA,NA,"식품첨가물혼합제제",NA,NA,NA,"분말카라멜색소",NA,NA,NA
"9","번호4029","품목보고번호2016036895141","업소명디저트앤","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명배식혜","분류식품","업체명","디저트앤","소재지","경기도 광주시 초월읍 도곡길 48-3","1","2","3","4","5","엿기름","쌀","백설탕","생강농축액","과.채가공품","보리100%","","","","배퓨레(배/국내산)99.95%","6","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4028","품목보고번호202208601644","업소명사천당","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명배식혜","분류식품","업체명","사천당","소재지","경상남도 사천시 사남면 진삼로 1222(102호)","1","2","3","4",NA,"엿기름","설탕","배","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
