"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","번호23","번호24","번호25","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고23","비고24","비고25","번호...87","성분 및 원료","비고"
"1","번호2883","품목보고번호2011062307333","업소명지리산마천농협가공사업소","품목유형혼합음료","유통/소비기한3개월","제품명아로니아혼합과즙","분류식품","업체명","지리산마천농협가공사업소","소재지","경상남도 함양군 마천면 천왕봉로 1162-3","1","2","3","4","아로니아추출액","아로니아농축액","백포도농축액","딸기농축액","국산,고형분2%이상","폴란드,65brix","아르헨티나,68brix","딸기, 국산, 65brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2882","품목보고번호2020040117621","업소명농업회사법인(주)더조은","품목유형혼합음료","유통/소비기한24개월","제품명아로애플","분류식품","업체명","농업회사법인(주)더조은","소재지","강원도 원주시 호저면 고산동막길 162-18(1층)","1","2","3","4","아로니아원액","사과착즙액","올리고당","백설탕",NA,NA,NA,NA,"5","6","7","비타민C","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2881","품목보고번호19880622012480","업소명참들애바이오푸드 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아로파활력흑삼드링크","분류식품","업체명","참들애바이오푸드 영농조합법인","소재지","경상남도 산청군 금서면 친환경로2605번길 63","1","2","3","4","프락토올리고당","식물혼합농축액","당류가공품","타우린","","","흑당베이스","","5","6","7","대보농축액","비타민C","흑삼농축액","","","발효흑삼농축액","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","글루콘산마그네슘","구연산","과라나추출물분말","구연산삼나트륨","맥아추출물분말","젤란검","니코틴산아미드","비타민D3혼합제제","L-카르니틴","비타민E","홍삼향","합성향료((+/-) Ethyl 2-hydroxy-2-methylbutyrate)","합성향료((+/-) Ethyl 2-hydroxy-2-methylbutyrate)","효소처리루틴","정제수","","함수구연산","","","","","","","","","","흑당향 SF-31606","흑삼향 SF-35492","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2880","품목보고번호20190391582201","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르갈랑","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","정제수","L-아르지닌","구연산(무수)","프로필렌글리콜","","","","","5","6","7","과.채가공품","효소처리스테비아","향료","콩코드 포도농축액","","포도향","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,"오르니틴염산염","과.채가공품","기타가공품","기타가공품","수크랄로스","기타가공품","타우린","기타가공품","혼합제제","혼합제제",NA,NA,NA,NA,NA,"","갈랑가추출물","복합황금추출물","수박과피추출물분말","","복합허브추출물C","","현미배아발효추출물","아미노액티브BCAA","아미노리버믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2879","품목보고번호20040275056491","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기나3800 블랙","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","정제수","L-아르지닌","오렌지농축액","구연산","","","블러드오렌지농축액","함수구연산","5","6","7","딸기농축액","프락토올리고당","히비스커스농축액","","","히비스커스쥬스농축액","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","레몬농축액","효소처리스테비아","홍삼농축액","펙틴","오렌지향","레몬향","타우린","비타민C","사양벌꿀","황금혼합추출물","글루콘산아연","비타민혼합제제","흰강낭콩추출물","프로테아제(식물성)","레몬밤잎추출분말","","스테비텐후레쉬","홍삼농축액10","펙틴JMJ","오렌지향 #15","레몬향 #6","","","","복합황금추출물","","비타민믹스-솔루션-1","흰강낭콩추출물분말","브로멜라인 비알1200 프로테아제","레몬밤추출분말","23","24","25","팥가루","글루콘산칼슘","글루코만난","팥농축분말","","",NA,NA,NA
"6","번호2878","품목보고번호201803740477","업소명이천시아로니아연구회 영농조합법인","품목유형혼합음료","유통/소비기한1","제품명아르기닌","분류식품","업체명","이천시아로니아연구회 영농조합법인","소재지","경기도 이천시 부발읍 대산로 407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","오르니틴염산염",NA
"7","번호2877","품목보고번호20130415052244","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 5000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","정제수","L-아르지닌","구연산","타우린","","","","","5","6","7","석류농축액","석류향","오르니틴염산염","","석류향TF-44458, 혼합제제","","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,"생선콜라겐","히알루론산혼합제제","토마토추출물분말","신양벚나무열매농축과즙","수크랄로스","황금혼합추출물","기타가공품","아미노산혼합제제","헛개나무열매농축액","비타민B6염산염","비타민B1질산염","니코틴산아미드",NA,NA,NA,"저분자피쉬콜라겐","","화이트토마토농축추출분말","몽모랑시타트체리농축액","","복합황금추출물-2","큐271컴플렉스","아미노브레인믹스","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2876","품목보고번호20110084489420","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","L-아르지닌","구연산","결정과당","","","함수구연산","","5","6","7","블루베리주스농축액","프락토올리고당","시클로덱스트린시럽","","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21",NA,"아로니아농축액","타우린","천연향료","기타가공품","기타가공품","비타민C","수크랄로스","글루콘산아연","비타민B1염산염","비타민B6염산염","혼합제제","기타가공품","비타민B2","엽산",NA,"","","천연블루베리향","복합황금추출물","블랙마카추출물","","","","","","","과라나추출분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2875","품목보고번호20130415052246","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 6000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","정제수","L-아르지닌","구연산","사과농축액","","","","","5","6","7","비트루트뿌리","오렌지농축액","오르니틴염산염","비트뿌리추출물","클리어 오렌지농축액","","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"타우린","허브추출물","드링크향","비타민C","사과향","스테비올배당체","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","허브추출물분말, 허브추출물분말DE","항료, 드링크향18","","향료, 사과향SK-J8980","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2874","품목보고번호2020042406534","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아르기닌 6000 리싸이클러","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","정제수","L-아르지닌","구연산(무수)","프락토올리고당","","","","","5","6","7","파인애플농축액","기타가공품","파인애플향","","MCT올리고펙틴분말","혼합제제/파인애플에센스에이-941207","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,"L-아스파트산","효소처리스테비아","비타민C","효모추출물","구연산삼나트륨","곡류가공품","L-페닐알라닌","기타 농산가공품","비타민D3혼합제제","자몽종자추출물","엽산",NA,NA,NA,NA,"","","","효모식품/프로솔 이스트 파우더 효모추출물","","맥아추출물/프루트맥스 브라운900 더블유에스","","씨트러스(감굴)추출물분말","비타민D3혼합제제분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
