"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18","번호...66","성분 및 원료","비고","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호1323","품목보고번호20110441029130","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명진매실 플러스","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","매실엑기스","사과농축액","백설탕","구연산","액상과당","구연산삼나트륨","글리신","카라멜색소","안식향산나트륨","매실향","사카린나트륨","수크랄로스","정제수","65bix국산","72bix국산","","","","","","","합성보존료","합성착향료","합성감미료","합성감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1322","품목보고번호19970464172477","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명진생강쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","생강추출분말","쌍화농축액","참당귀농축액","천궁농축액","생강농축액","계피농축액","액상과당","카라멜색소","구연산","혼합제제","잔탄검","니코틴산아미드","구연산삼나트륨","","","당귀농축액","","","","","","","비타에프엠","","","","14","15","16","17","18","정제소금","효소처리스테비아","생강향","허브향","정제수","정제염","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1321","품목보고번호2020044271657","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진생베리 콜라겐3000","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"액상차","프락토올리고당","생선콜라겐","대추농축액","과.채가공품","구연산","비타민B1염산염","비타민C","글리신","L-아스파라진","정제수",NA,NA,"증포인삼열매20%추출액","","피쉬콜라겐","","사과농축과즙액72Brix","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1320","품목보고번호200306143071111","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명진생순베리","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","인삼열매추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1319","품목보고번호19970443044374","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진생파워프리미엄골드(Ginseng Power Premium Gold)","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"홍삼농축액","정제수","기타과당","구연산","구연산삼나트륨","타우린","당류가공품","수크랄로스","비타민 C(고시형)","드링크향","허브향",NA,NA,"고형분60%이상, 홍삼성분함량 70mg/g이상","","","함수구연산","","","슈가시럽","합성감미료","","합성향료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1318","품목보고번호20090435035257","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진세노RS365","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"인삼발효액","식물혼합농축액","비타민 C(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"인삼발효추출농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1317","품목보고번호20050440004152","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명진수고","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","5","6","7","8","9","10","11","12","13","도라지뿌리","황금뿌리","민들레","인동잎","인동꽃봉오리","천문동덩이뿌리","맥문동뿌리","비파잎","칡뿌리","눈개승마순","울금덩이뿌리","작약뿌리","질경이씨앗껍질","길경(뿌리)","뿌리","포공영,전초","잎/줄기(제한적원료)","금은화 (꽃봉오리,제한적원료)","덩이뿌리(제한적원료)","뿌리(제한적원료)","비파엽(잎,제한적원료)","갈근,뿌리","순(제한적원료)","덩이뿌리(제한적원료)","뿌리(제한적원료)","씨앗껍질","14","15","16","17","18","복령균핵","옥수수수염","감초","광귤나무열매","개미취순","균핵(제한적원료)","암술대(제한적원료)","뿌리및뿌리줄기","열매(제한적원료)","순",NA,NA,NA,"19","20","21","22","23","24","구기자나무뿌리","기타설탕","올리고당","구연산","잔탄검","안식향산나트륨","지골피(뿌리)","흑당","","","",""
"8","번호1316","품목보고번호19970464172122","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","쌍화농축액","생강농축액","천궁농축액","당귀농축액","액상과당","흑설탕","말토덱스트린","잔탄검","카라멜색소","제재염","구연산","구연산삼나트륨","황금복합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16",NA,NA,"쌍화향","생강향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1315","품목보고번호19970464172471","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","쌍화농축액","액상과당","카라멜색소","구연산","구연산삼나트륨","정제수","대추농축액","생강농축액","주정","효소처리스테비아","정제소금","생강향","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1314","품목보고번호19890445014132","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명진역발산동충하초","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","누에동충하초추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
