"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","번호10","번호11","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고7","비고8","비고9","비고10","비고11"
"1","번호1493","품목보고번호202207244321","업소명썬푸드 주식회사","품목유형혼합음료","유통/소비기한해당없음.","제품명정가전통식헤","분류식품","업체명","썬푸드 주식회사","소재지","전라남도 나주시 교육길 13(스마트파크 지식산업센터 제씨동 403호 빛가람동)","1","2","3","4","5","정제수","엿기름","멥쌀","설탕","생강","국산","국산","국산","","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1492","품목보고번호200604390044","업소명(주) 속리산황토식품","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명정근속리산생칡수","분류식품","업체명","(주) 속리산황토식품","소재지","충청북도 보은군 속리산면 법주사로 58-9","1","2","3","4","5","칡 추출물","비타민C","D-소르비톨","위삼추출물","정세수",NA,NA,NA,NA,NA,"6","결정과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1491","품목보고번호2005007713121","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명정기원","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","KHP원기정추출액","마늘엑기스","액상과당","베타싸이클론덱스트린","산화아연",NA,NA,NA,NA,NA,"6","아미노믹스",NA,"7","8","9","10","11","L-아리기닌","홍삼엑기스","KHP피그태반액","상수","안식향산나트륨",NA,NA,NA,NA,NA
"4","번호1490","품목보고번호20110149027318","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명정다운 석류콜라겐 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","65 brix, 스페인산","","","","","6","타마린드검","","7","8","9",NA,NA,"카라기난","염화칼륨","히알루론산",NA,NA,"","","",NA,NA
"5","번호1489","품목보고번호2006036821410","업소명삼남매식품","품목유형혼합음료","유통/소비기한12개월","제품명정담은 식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,"정제수","백설탕","엿기름","쌀",NA,"","정백당","겉보리(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1488","품목보고번호2006036821418","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명정담은수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,"계피","건생강","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1487","품목보고번호2006036821419","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명정담은호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5","정제수","백설탕","엿기름","쌀","호박가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1486","품목보고번호2022048107944","업소명미네스팩토리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명정성 단호박식혜","분류식품","업체명","미네스팩토리","소재지","경기도 용인시 기흥구 지삼로 153(1층 지곡동)","1","2","3",NA,NA,"정제수","혼합농축액","백설탕",NA,NA,"","단호박식혜 농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1485","품목보고번호2022048107946","업소명미네스팩토리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명정성 미숫가루","분류식품","업체명","미네스팩토리","소재지","경기도 용인시 기흥구 지삼로 153(1층 지곡동)","1","2","3","4",NA,"정제수","당시럽","혼합분말믹스","정제소금",NA,"","슈가시럽","미숫가루 분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1484","품목보고번호2022048107945","업소명미네스팩토리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명정성 수정과","분류식품","업체명","미네스팩토리","소재지","경기도 용인시 기흥구 지삼로 153(1층 지곡동)","1","2",NA,NA,NA,"정제수","혼합농축액",NA,NA,NA,"","수정과 농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
