"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호3550","품목보고번호19780614001276","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명사과","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","사과청징농축액","액상과당","효소처리스테비아","구연산","구연산삼나트륨","비타민C","향료","향료","정제수","(70.0 Bx)","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3549","품목보고번호19780368002553","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명사과","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","사과청징농축액","액상과당","효소처리스테비아","구연산","구연산삼나트륨","비타민C","합성착향료","합성착향료","정제수","","","","","","","사과향1","사과향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3548","품목보고번호2018049100819","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명사과 곤약젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","구연산","에리스리톨","수크랄로스","사과향","그린칼라","구연산삼나트륨","펙틴","정제수","식품첨가물혼합제제","","","","","","","","","제이단 ES-1092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3547","품목보고번호19980449002621","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명사과 드링크","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","사과농축액","당시럽","구연산","DL-사과산","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스","그린애플향","(70°Bx)","","","","","","","","","10","11","사과향","정제수","","",NA,NA,NA
"5","번호3546","품목보고번호2014049317131","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명사과ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","과.채가공품","과.채가공품","설탕","구연산","구연산삼나트륨","DL-사과산","비타민C","수크랄로스","합성향료","사과농축액","사과퓨레","","","","","","감미료","사과향","10",NA,"정제수",NA,"",NA,NA,NA,NA
"6","번호3545","품목보고번호20140395066324","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명사과가 똑똑","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8",NA,"정제수","사과농축액","백설탕","기타과당","천연사과향","구연산","식물혼합추출액","비타민C",NA,"","(사과100%)","","액상과당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3544","품목보고번호20100543066606","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명사과드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","당시럽","사과농축액","구연산","합성향료","구연산삼나트륨","DL-사과산","비타민C","아세설팜칼륨","","","사과클리어농축액, 중국산, 배합함량:  사과100%, 사과과즙으로 환원기준 5%","","사과향","","","","감미료","10",NA,"수크랄로스",NA,"감미료",NA,NA,NA,NA
"8","번호3543","품목보고번호2020037679935","업소명안성농산물가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명사과아로니아","분류식품","업체명","안성농산물가공협동조합","소재지","경기도 안성시 보개면 보개원삼로 219(안성시농업기술센터 주10동 1층)","1","2","3","4",NA,NA,NA,NA,NA,"사과","아로니아열매","정제수","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3542","품목보고번호19730380010399","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명사과에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","정제수","설탕","과.채가공품","구연산","비타민C","카라멜색소","수크랄로스","합성향료","합성향료","","","사과농축액, 72 Brix","함수","","","감미료","사과향1","사과향2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3541","품목보고번호20050555180598","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조로부터 12개월","제품명사과에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","정제수","설탕","사과농축액","구연산","DL-사과산","비타민C","구연산삼나트륨","수크랄로스","맥아추출물분말","","","","","","","","","","10","11","사과향","사과향","사과향1","사과향2","12","시트러스향",""
