"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호1903","품목보고번호20000614238267","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명유어스 복숭아아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","복숭아농축액","홍차분말","설탕","구연산","수크랄로스","비타민C","혼합제제","혼합제제","합성향료","아세설팜칼륨","혼합제제","정제수","","홍차추출분말","","","","","프로필렌글리콜, 주정, 정제수, 합성향료, 트리아세틴, 천연향료SK-G0542","프로필렌글리콜, 주정, 합성향료, 천연향료","합성향료","","정제수, 규소수지, 소르비탄지방산에스테르, 글리세린지방산에스테르, CMC","",NA,NA,NA,NA,NA,NA
"2","번호1902","품목보고번호1987055800344","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명유어스 블루레몬에이드","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","레몬농축액","구연산","메타인산나트륨","비타민C","구연산삼나트륨","수크랄로스","합성향료","아세설팜칼륨","식용색소청색제1호","합성향료","합성향료","정백당","이스라엘, 65'BX","함수구연산","","","","감미료","시트러스향 (화이트클라우디)","감미료","착색료(식용색소)","레몬향","믹스후르츠향","13","14","합성향료","정제수","라임향",""
"3","번호1901","품목보고번호20000614238248","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명유어스 블루레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","레몬주스농축액","라임주스농축액","혼합제제","설탕","구연산","수크랄로스","아세설팜칼륨","구연산삼나트륨","비타민C","혼합제제","혼합제제","혼합제제","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정)","","","","","","","합성향료,천연향료,주정,프로필렌글리콜","주정,천연향료,합성향료","주정,정제수,합성향료","13","14","식용색소청색제1호","정제수","",""
"4","번호1900","품목보고번호20000614238223","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월(실온)","제품명유어스 블루베리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","블루베리주스농축액","설탕","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","비타민C","블루베리향","블루베리향","식용색소적색제40호","청포도향","식용색소청색제1호","블루베리농축액","","","","","","","FC-27313","21809294","","J9695","","13",NA,"정제수",NA,"",NA
"5","번호1899","품목보고번호19970368029485","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명유어스 상주둥시곶감수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"음료베이스","백설탕","기타설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,"계피곶감추출액","백설탕","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1898","품목보고번호19970368029484","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명유어스 임금님표이천쌀식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"기타 농산가공품","설탕","쌀","소스류","비타민C혼합분말","정제수",NA,NA,NA,NA,NA,NA,"엿기름추출액","","이천쌀","생생강농축액 / 생생강추출액 98.18%, 말토덱스트린 1.27%, 정제소금 0.55%","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1897","품목보고번호20000614238221","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월(실온)","제품명유어스 자몽에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","과.채가공품","설탕","구연산","수크랄로스","구연산삼나트륨","식용색소적색제40호","식용색소황색제4호","혼합제제","혼합제제","아세설팜칼륨","정제수","비타민C","적자몽주스농축액","","","","","","","주정,천연향료,합성향료","주정,천연향료,합성향료","","","",NA,NA,NA,NA,NA,NA
"8","번호1896","품목보고번호19970368029372","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명유어스 전통식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"기타 농산가공품","설탕","쌀","소스류","비타민C혼합분말","정제수",NA,NA,NA,NA,NA,NA,"엿기름추출액","","","생생강농축액 / 생생강추출액 98.18%, 말토덱스트린 1.27%, 정제소금 0.55%","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1895","품목보고번호2013062801958","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명유어스 제주플레이버워터 복숭아","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"정제수","백설탕","구연산","구연산삼나트륨","비타민C혼합제제","복숭아향","복숭아향",NA,NA,NA,NA,NA,"","","함수구연산","","","K-170707","K-170708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1894","품목보고번호2013062801959","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명유어스 제주플레이버워터 청사과","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"정제수","백설탕","구연산","구연산삼나트륨","비타민C혼합제제","청사과향","청사과향",NA,NA,NA,NA,NA,"","","함수구연산","","","K-170698","K-170699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
