"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호1994","품목보고번호20040275056823","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명원더 슬러쉬 트로피칼","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","망고퓌레","오렌지농축액","파인애플농축액","에리스리톨","감귤농축액","비타민C","구아검","리치농축","그린커피빈주정추출물(기능성원료인정제2018-6호)","자몽종자추출물","","망고농축퓨레","","파인애플주스농축액","","","","","리치농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1993","품목보고번호20040275056821","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명원더 슬러쉬 피치리치","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","복숭아농축액","프락토올리고당","에리스리톨","레몬농축액","리치농축","비타민C","구아검","그린커피빈주정추출물(기능성원료인정제2018-6호)","혼합제제","과.채가공품","","","","","","리치농축액","","","","리치향","감귤추출물","12","레몬밤추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1992","품목보고번호19970464172234","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명원쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,"액상차","액상과당","기타설탕","구연산","구연산삼나트륨","카라멜색소","잔탄검","정제수",NA,NA,NA,"쌍화농축액","","흑설탕","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1991","품목보고번호20060392223327","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명원하다 페스티오","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","정제수","프락토올리고당","서양자두주스","사과즙","D-소비톨","석류과즙","난소화성말토덱스트린(고시형)","폴리덱스트로스","락툴로즈","건조하수오","만니톨","","","푸룬과즙(13Bx)","사과과즙(10Bx)","","12Bx","","","","하수오","","12","구연산(결정)","","13","14","15","16","17","18","19","20","21","22","23","24","25","퉁퉁마디","곰솔잎","사철쑥","감초","천궁뿌리줄기","탱자","감귤껍질","참당귀","생강","익모초지상부","비타민C","자몽종자추출물","산화마그네슘","함초","솔잎","","","천궁","","진피","당귀","","익모초","","",""
"5","번호1990","품목보고번호19810227007464","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온보관)","제품명웨이 프로틴 드링크 초콜릿","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","정제수","유단백분말","유청단백분말","코코아분말","구연산칼륨","변성전분","구연산삼나트륨","합성향료","탄산수소나트륨","소르비탄지방산에스테르","L-카르니틴","","분리우유단백(덴마크산)","분리유청단백(덴마크산)","코코아파우더","","","구연산나트륨","초콜릿향 1","","유화제","","12","합성향료","초콜릿향 2","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"식품첨가물혼합제제","아세설팜칼륨","식품첨가물혼합제제","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제1(카라기난, 덱스트로스)","감미료","혼합제제2(규소주지, 유화제, CMC)","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1989","품목보고번호20070443110558","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명웨이브 오브 더 민트비치","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","우유","설탕","탈지분유","가당연유","올리고당","자당지방산에스테르","자당지방산에스테르","젤란검","식용색소황색제4호","식용색소청색제1호","혼합제제","","","","","올리고파우더","P-1670","S-570","Kelcogel HM-B[P]","","","밀크향 K-18758","12","혼합제제","민트분말향 SK-21-08673","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"천연향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"천연민트향 21054113","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1988","품목보고번호19890445014284","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명웰빙라이프산삼배양근","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,"산삼배양근추출액","칡꽃엑기스","헛개나무열매엑기스","대추엑깃","홍삼농축액","L-아스파라긴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1987","품목보고번호20110149027334","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명웰빙백과 글루타민엘라스틴","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"복숭아농축액","L-글루타민","엘라스틴가수분해물","생선콜라겐펩타이드분말","혼합제제",NA,NA,NA,NA,NA,NA,"","","","","로커스트콩검, 잔탄검, 분말한천, 타마린드검, 카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1986","품목보고번호20110149027284","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명웰빙백과 로얄홍삼스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,"홍삼농축액","홍삼당침액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,"국내산","국내산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1985","품목보고번호20110149027300","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명웰빙백과 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,"스페인산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
