"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호...57","성분 및 원료","비고"
"1","번호3697","품목보고번호2015051802395","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 망고터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에베라겔원액","액상과당","백설탕","구연산","젖산칼슘","망고향","망고향","구연산삼나트륨","망고분말","비타민C","β-카로틴","젤란검","스테비올배당체","","알로에베라겔","","","함수 구연산","","망고향 1","망고향 2","","","","","","",NA,NA,NA,NA,NA,NA
"2","번호3696","품목보고번호2015051802394","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 복숭아터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에베라겔원액","액상과당","백설탕","구연산","젖산칼슘","복숭아향","복숭아향","구연산삼나트륨","복숭아농축액","비타민C","시트러스향","젤란검","스테비올배당체","","알로에베라겔","","","함수 구연산","","복숭아향 1","복숭아향 2","","","","","","","15","코치닐추출색소","",NA,NA,NA
"3","번호3695","품목보고번호2015051802391","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 오리지널 터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","알로에베라겔원액","액상과당","설탕","구연산","젖산칼슘","알로에향","알로에향","구연산삼나트륨","비타민C","젤란검","스테비올배당체",NA,NA,"","알로에베라겔","","","함수 구연산","","알로에향 1","알로에향 2","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3694","품목보고번호2015051802393","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 유자터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"정제수","액상과당","알로에베라겔원액","백설탕","유자과즙","구연산","유자향","젖산칼슘","비타민C","구연산삼나트륨","젤란검","스테비올배당체","β-카로틴",NA,"","","알로에베라겔","","당침유자즙","함수 구연산","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"5","번호3693","품목보고번호2015051802396","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 키위터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에베라겔원액","액상과당","백설탕","구연산","키위향","젖산칼슘","키위향","구연산삼나트륨","키위농축","비타민C","젤란검","스테비올배당체","β-카로틴","","알로에베라겔","","","함수 구연산","키위향 1","","키위향 2","","키위농축분말","","","","",NA,NA,NA,NA,NA,NA
"6","번호3692","품목보고번호2015051802392","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명비스비타 알로에베라 파인애플터치","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에베라겔원액","액상과당","백설탕","구연산","젖산칼슘","파인애플향","파인애플향","구연산삼나트륨","파인애플엑기스분말","비타민C","카라멜색소","젤란검","스테비올배당체","","알로에베라겔","","","함수 구연산","","파인애플향 1","파인애플향 2","","","","","","",NA,NA,NA,NA,NA,NA
"7","번호3691","품목보고번호20020623009309","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비스비타알로에(유기농설탕)","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"알로에베라겔즙","함유절편","액상과당","설탕","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","그린칼라","치자황색소","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3690","품목보고번호201803367421","업소명(주)비씨티바이오팜","품목유형혼합음료","유통/소비기한24개월","제품명비씨티 옵티마 미네랄","분류식품","업체명","(주)비씨티바이오팜","소재지","경기도 고양시 일산서구 송산로 347(기독교대한성결교회 엠마오교회 2층 가좌동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산나트륨","염화칼륨","탄산칼륨(무수)","규소수지","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3689","품목보고번호201104921467","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명비오스","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","지하수",NA
"10","번호3688","품목보고번호2011018208510","업소명나노라이프","품목유형혼합음료","유통/소비기한1년","제품명비우미","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","용융염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
