"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호...66","성분 및 원료","비고"
"1","번호2673","품목보고번호19890445014322","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명아침마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","아침마늘추출액","액상과당","구연산","카라멜색소","안식향산나트륨","향료","카르복시메틸셀룰로오스나트륨","비타민B2","정제수","아침마늘추출액","마늘","참당귀","감초","사철쑥","영지버섯",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2672","품목보고번호20190413079110","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아침엔 라이스 (Rice milk Drink)","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"덱스트린","액상과당","쌀페이스트","백설탕","글리세린지방산에스테르","혼합제제","혼합제제","혼합제제","합성향료","카라기난","정제수",NA,NA,NA,NA,"말토덱스트린","","","","DMG95","아보카도오일유화액","현미향","현미향","쌀향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2671","품목보고번호1996045803953","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아침햇살","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"쌀추출액","현미추출액","백설탕","식물성크림","액상과당","덱스트린","자당지방산에스테르","글리세린지방산에스테르","글리세린지방산에스테르","비타민C","혼합제제","혼합제제","정제수","자몽종자추출물",NA,"고형분 9% 이상","고형분 0.2% 이상","","식물성크림W","","","","글리세린호박산지방산에스테르(Almax-5100)","Almax-1000","","현미후레바(2801128)","현미후레바(SC-130220)","","DF100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2670","품목보고번호20010515081419","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명아침햇살 미유","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","설탕","아몬드페이스트","쌀추출액","채종유(유채유 또는 카놀라유)","정제소금","자당지방산에스테르","글리세린지방산에스테르","쌀추출농축액","발아현미분말","젤란검","탄산수소나트륨","탄산칼슘","현미향",NA,"","","고형분 95%","고형분 9%","","","","","가바미강추출농축액","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2669","품목보고번호19960458039596","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명아침햇살 아몬드&땅콩","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"쌀추출액","설탕","식물성크림","곡물혼합분말","땅콩페이스트","아몬드페이스트","탄산칼슘","기타가공품","혼합제제","정제소금","글리세린지방산에스테르","합성향료","합성향료","정제수",NA,"고형분 9% 이상","","식물성크림W","","고형분 95%","고형분 95%","","시트러스식이섬유","믹스검(라르고 BS-15)","","Almax-1000","아몬드땅콩향(K19387)","아몬드땅콩향(HF-AI31129)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2668","품목보고번호19960458039663","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명아침햇살 흑미","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","쌀추출농축액","흑미농축액","현미농축액","땅콩페이스트","아몬드페이스트","설탕","식물성크림","덱스트린","자당지방산에스테르","글리세린호박산지방산에스테르","글리세린지방산에스테르","비타민C","혼합제제","향료","향료","고형분 45%","고형분 50%","고형분 48%","","","","식물성크림W","","","Almax-5100","Almax-1000","","블랙칼라-씨(M5303)","견과향(21904395)","흑미향(FAC08957)","16","17","18","자몽종자추출물","정제수","혼합제제","DF100","","폼크린",NA,NA,NA
"7","번호2667","품목보고번호19890445014744","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한9개월","제품명아침헛개허니꿀물","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"정제수","액상과당","벌꿀","헛개나무열매추출농축액","칡즙농축액","배청징농축과즙","시클로덱스트린시럽","구연산","홍차추출분말","비타민 C(고시형)","규소수지","합성착향료&#40;허니향&#41;",NA,NA,NA,"","","국산,아카시아꿀","국산","국산","배청징농축액,국산","","결정","파라과이산","","혼합제제,폼크린200","배향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2666","품목보고번호19930571069341","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아카시아 꿀물","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"사양벌꿀","대추엑기스","기타과당","효소처리스테비아","카라멜색소","허니향","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","스테비안-50","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2665","품목보고번호20020623009970","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아카시아 꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"사양벌꿀","벌꿀","대추농축액","기타과당","효소처리스테비아","아세설팜칼륨","카라멜색소","허니향","정제수",NA,NA,NA,NA,NA,NA,"","아카시아벌꿀","68brix","","감미료","감미료","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2664","품목보고번호201703665127","업소명물수","품목유형혼합음료","유통/소비기한12개월","제품명아쿠아베스트","분류식품","업체명","물수","소재지","경기도 화성시 동탄기흥로257번나길 40-8(1층 전부호)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","정제수",NA
