"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12"
"1","번호291","품목보고번호19930571069226","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명해피 골드키위","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","골드키위퓨레","백설탕","구연산","비타민C","수크랄로스","펙틴JMJ","정제수","카로틴색소","골드키위향","","","","","","","","SC-20208","HF-AF17348",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호290","품목보고번호20110445029131","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명해피 골드키위","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","정제수","백설탕","과.채가공품","향료","구연산","비타민C","천연카로틴","펙틴","수크랄로스","","","골드키위퓨레 17bx' 뉴질랜드산","골드키위향3 HF-AF17348","함수구연산","","YC-180001","JMJ","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호289","품목보고번호19930571069351","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해피 레몬녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","녹차농축액","레몬농축액","백설탕","구연산","폴리덱스트로스","구연산삼나트륨","비타민C","홍화황색소","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","레몬향","녹차향","정제수",NA,NA,NA
"4","번호288","품목보고번호20110445029126","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명해피 레몬녹차","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","정제수","백설탕","레몬농축액","구연산","녹차농축액","폴리덱스트로스","구연산삼나트륨","혼합제제","비타민C","","","65bx' 이스라엘산","함수구연산","60bx' 국산","","","레몬향6 HF-AF12524","","10","11","12","홍화황색소","혼합제제","수크랄로스","홍화황색소#1 YC-180002","녹차향7 HF-AF18685",""
"5","번호287","품목보고번호19930571069350","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해피 복숭아녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","녹차농축액","복숭아농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","덱스트린","락색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","복숭아향","녹차향","정제수",NA,NA,NA
"6","번호286","품목보고번호20110445029124","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명해피 복숭아녹차","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","정제수","백설탕","덱스트린","혼합제제","구연산","복숭아농축액","녹차농축액","혼합제제","구연산삼나트륨","","","","복숭아향14 HF-AF17459","함수구연산","68bx' 이스라엘산","60bx' 국산","녹차향7 HF-AF18685","","10","11","12","비타민C","락색소","수크랄로스","","SC-19549",""
"7","번호285","품목보고번호19930571069161","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명해피 블루베리","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","블루베리농축액","홍차분말","설탕","구연산","비타민C","수크랄로스","블루베리향","홍차향","정제수","미국산","칠레산","","함수","","","HF-AF11930","HF-12002","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호284","품목보고번호19930571069364","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해피 애플망고","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","과채퓨레 페이스트","설탕","구연산","구연산삼나트륨","비타민C","천연카로틴","수크랄로스","아세설팜칼륨","애플망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"정제수",NA,NA,NA,NA,NA
"9","번호283","품목보고번호20110445029127","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명해피 애플망고","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","정제수","백설탕","과.채가공품","구연산","혼합제제","구연산삼나트륨","비타민C","천연카로틴","수크랄로스","","","애플망고퓨레 13bx' 대만산","함수구연산","애플망고향 HF-AG14228","","","YC-180001","","10",NA,NA,"아세설팜칼륨",NA,NA,"",NA,NA
"10","번호282","품목보고번호19800415004118","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명해피매실","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8",NA,"매실과즙","말토덱스트린","백설탕","비타민C","구연산","당시럽","매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
