"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19"
"1","번호721","품목보고번호20100543066361","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET,CAN : 12개월","제품명파워에이드 아쿠아 파워 플러스","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","액상과당","구연산","구연산삼나트륨","소금","그레이프후르츠향","씨트러스향","파인애플향","염화칼륨","아라비아검","젖산칼슘","L-아스코르빈산나트륨","복합유화안정제","로진","백설탕","수크랄로스","가공유지","d-토코페롤(혼합형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호720","품목보고번호19980449002708","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명파워에이드 제로","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식품첨가물혼합제제","구연산삼나트륨","기타소금","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","PA Zero 원제 제1A부","","","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 원제 제1D부","PA Zero 원제 제3부","PA Zero 원제 제2A부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호719","품목보고번호20070443110683","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 제로","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","혼합제제","구연산삼나트륨","기타소금","혼합제제","혼합제제","혼합제제","혼합제제","타르색소제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","PA Zero 원제 제1A부","","","파워에이드 마운틴 블라스트 이온 4 원제 제1C부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 원제 제1D부","PA Zero 원제 제3부","PA Zero 원제 제2A부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호718","품목보고번호19800375002273","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한12개월(PET)","제품명파워에이드 제로","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식품첨가물혼합제제","구연산삼나트륨","기타소금","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","PA Zero 원제 제1A부(의왕시청 품목보고)","","소금(수입식품)","파워에이드 마운틴 블라스트 이온 4 원제 제1C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 원제 제1D부(의왕시청 품목보고)","PA Zero 원제 제3부(의왕시청 품목보고)","PA Zero 원제 제2A부(의왕시청 품목보고)","혼합제제V2 원제 제2B부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호717","품목보고번호19980449002614","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명파워에이드 퍼플 스톰","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","파워에이트 마운틴 블라스트 이온4 원제 제1A부","파워에이드 퍼플 시톰 원제 제1E부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이트 마운틴 블라스트 이온4 원제 제1D부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 퍼플 시톰 원제 제2부","파워에이드 마운틴 블라스트 이온4 원제 제3부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호716","품목보고번호19800375002246","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한12개월(PET)","제품명파워에이드 퍼플 스톰","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","(액상, 고형분 77%)","파워에이드 마운틴블라스트 이온4  원제 제1A부(의왕시청 품목보고)","파워에이드 퍼플 스톰 원제 제1E부(의왕시청 품목보고, 식품의 유형 : 식품첨가물 타르색소제제)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 퍼플 스톰 원제 제2부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제3부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호715","품목보고번호19970614083148","업소명코카콜라음료주식회사","품목유형혼합음료","유통/소비기한합성수지제 포장제품: 제조일로부터 12개월","제품명파워에이드 퍼플 스톰","분류식품","업체명","코카콜라음료주식회사","소재지","경상남도 양산시 충렬로 269(유산동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","액상, 고형분 77%","파워에이드 마운틴 블라스트 이온4 원제 제1A부(의왕시청 품목보고)","파워에이드 퍼플 스톰 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 퍼플 스톰 원제 제2부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제3부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호714","품목보고번호20070443110438","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 퍼플 스톰","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","과당","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 퍼플 스톰 원제 제1E부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 마운틴 블라스트 이온4 원제 제1D부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 퍼플 스톰 원제 제2부","파워에이드 마운틴 블라스트 이온4 원제 제3부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호713","품목보고번호2019041307924","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 퍼플 스톰","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","액상, 고형분 77%","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 퍼플 스톰 원제 제1E부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 마운틴 블라스트 이온4 원제 제1D부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 퍼플 스톰 원제 제2부","파워에이드 마운틴 블라스트 이온4 원제 제3부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호712","품목보고번호20100543066584","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 퍼플 스톰","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","기타과당","구연산","합성향료","정제소금","구연산삼나트륨","구연산칼륨","수크랄로스","염화마그네슘","염화칼슘","아세설팜칼륨","제삼인산칼륨","판토텐산칼슘","니코틴산아미드","천연향료","초산","식용색소적색제40호","식용색소청색제1호","","","","","오스트리아산","","","감미료","","","감미료","","","","","","착색료","착색료","19","비타민B6염산염",""
