"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","성분 및 원료19","성분 및 원료20","비고19","비고20"
"1","번호5222","품목보고번호201104950928","업소명농업회사법인 (주) 피지엠","품목유형혼합음료","유통/소비기한제조일로부터 12개월(1년)","제품명노노","분류식품","업체명","농업회사법인 (주) 피지엠","소재지","전라북도 진안군 진안읍 거북바위로 60","1","2","3","정제수","두충추출액","여주혼합추출액","국산","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5221","품목보고번호19970464172321","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명노니메이트","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","노니주스","헛개나무열매농축액","오리나무농축액","","","","4","5","6","7","8","9","칡뿌리농축액","자일리톨","황금혼합추출물","구연산","쌀배아대두발효혼합분말","정제수","갈근농축액","","복합황금추출물","","미배아대두발효추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5220","품목보고번호2013015638621","업소명엠에스글로벌바이오 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명노니메이트","분류식품","업체명","엠에스글로벌바이오 주식회사","소재지","부산광역시 기장군 일광읍 횡계길 7(기업설비지원동 B103호 해양생물산업육성센터)","1","2","3","정제수","노니주스","헛개나무열매농축액","","(6brix 이상, 남태평양 통가산)","(65brix, 중국산)","4","5","6","7","8","9","흰점박이꽃무지유충추출물","오리나무농축액","칡꽃엑기스가루","자일리톨","기타가공품","구연산","","(60brix, 국내산)","(칡(갈근)농축액(고형분30%이상) 90%, 덱스트린 10%)","","복합황금추출물, 천연보존료","함수구연산","10","기타가공품","미배아대두발효추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5219","품목보고번호2013015638626","업소명엠에스글로벌바이오 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명노니열매즙","분류식품","업체명","엠에스글로벌바이오 주식회사","소재지","부산광역시 기장군 일광읍 횡계길 7(기업설비지원동 B103호 해양생물산업육성센터)","1","2",NA,"정제수","노니원액",NA,"","남태평양 통가노니(6브릭스이상)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5218","품목보고번호2007051804152","업소명농업회사법인주식회사 고흥에프앤비","품목유형혼합음료","유통/소비기한24개월","제품명노란소쿠리 유자즙","분류식품","업체명","농업회사법인주식회사 고흥에프앤비","소재지","전라남도 고흥군 고흥읍 호산로 341-27","1","2","3","정제수","백설탕","당침유자","","","30 Brix","4","5","6",NA,NA,NA,"유자과즙","구연산","비타민C",NA,NA,NA,"9 Brix","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5217","품목보고번호20040275056499","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명노워리즈 L-아르지닌 플러스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","정제수","L-아르지닌","프락토올리고당","","","","4","5","6","7","8","9","석류농축액","히비스커스농축액","구연산(무수)","비타민C","수박추출물","펙틴","","히비스커스주스농축액","","","수박과피추출물분말","","10","효소처리스테비아","","11","12","13","14","15","16","17","18","석류향","생선콜라겐","황금혼합추출물","마카추출분말","글루콘산아연","비타민미네랄혼합분말","엽산","5종혼합유산균","석류향 #7","피쉬콜라겐","복합황금추출물","","","비타민미네랄믹스","","",NA,NA,NA,NA,NA,NA
"7","번호5216","품목보고번호20110084489431","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명녹용 아르기닌","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","정제수","L-아르지닌","프락토올리고당","","","","4","5","6","7","8","9","구연산","사과농축액","녹용추출액","쌍화농축액","효소처리스테비아","아미드펙틴","함수구연산","사과청징농축액","","","","","10","쌍화향","혼합제제","11","12","13","14","15","16","17","18","사양벌꿀","기타가공품","레몬향","기타 농산가공품","홍삼농축액","비타민B6염산염","혼합제제","마카추출분말","","복합황금추출물","천연향료","대보식물혼합농축액","","","비타민B12혼합제제","마카추출물분말","19","20","타우린","글루콘산아연","",""
"8","번호5215","품목보고번호19890445014258","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명녹용대보(수출용)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","녹용","작약","천궁",NA,NA,NA,"4","5","6","7","8","9","참당귀","복령균핵","큰꽃삽주","감초","계피","황기",NA,NA,NA,NA,NA,NA,"10","액상과당",NA,"11","12","13","14","15","16","17","18","농축사과과즙","벌꿀","구연산","더덕농축액","허브향","안식향산나트륨","잔탄검","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"19","20","비타민C","정제수",NA,NA
"9","번호5214","품목보고번호1989044501491","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명녹용동충하초골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","누에동충하초추출액","누에가루추출액","녹용추출액",NA,NA,NA,"4",NA,NA,NA,NA,NA,"아가리쿠스추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5213","품목보고번호20020623009310","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명녹용보","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","녹용혼합추출물","천궁농축액","영지농축액","","","","4","5","6","7","8","9","사과농축액","기타과당","구연산","사양벌꿀","니코틴산아미드","글리신","","","","","","","10","카라멜색소","","11","12","13","14","15",NA,NA,NA,"황금복합추출물","폴리소르베이트80","허벌에센스","생강엣센스","정제수",NA,NA,NA,"","","혼합제제(금불초꽃, 계피, 진피, 주정, 정제수)","혼합제제(오레오진생강, 식용주정, 정제수)","",NA,NA,NA,NA,NA,NA,NA,NA,NA
