"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호4582","품목보고번호20210389682149","업소명주식회사 한국고려홍삼","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마그네슘 미네랄워터","분류식품","업체명","주식회사 한국고려홍삼","소재지","경기도 양주시 백석읍 중앙로109번길 28(1,2층작업장)","1","2","글루콘산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4581","품목보고번호19970378043404","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마녀앰플 프리미엄 콜라겐10000","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","생선콜라겐펩타이드","정제수","피쉬콜라겐펩타이드(500Da)","","3","4","5","6","7","8","9","10","11","12","13","14","프락토올리고당","석류농축액","사과농축액","레드비트농축액","유자청징농축액","아사이베리혼합농축액","구연산(무수)","비타민C","유자향","사과향","수크랄로스","히알루론산","","","","레드비트100%, 레드비트쥬스농축액","","아사이혼합베리농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4580","품목보고번호20190391582112","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마녀엠플러스(M Plus)","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","정제수","생선콜라겐","","GT콜라겐","3","4","5","6","7","8","9","10","11","12","13","14","결정과당","인산","파인애플농축액","히알루론산","혼합제제","라임농축액","시클로덱스트린시럽","맥아추출액","비타민C","과.채가공품","기타가공품","수크랄로스","","","","","파인애플향","","","맥아추출물","","과일채소혼합분말","복합황금추출물","","15","16","17","엘라스틴가수분해물","효모추출물","옥수수배아","가다랑어엘라스틴펩타이드","","옥수수배아추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4579","품목보고번호20130415052234","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명마노플랜 에너지스틱","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","정제수","L-아르지닌","","","3","4","5","6","7","8","9","10","11","12","13","14","이소말토올리고당","구연산","오자농축액","에리스리톨","마카농축액","세븐베리농축액","복분자농축액","타우린","글루콘산아연","포도향","복분자향","흑마늘농축액","","","BRIX:45","","BRIX:50","","BRIX:65","","","합성향료, TT-8224","혼합제제","BRIX:65","15","16","17","구연산삼나트륨","황금혼합추출물","수크랄로스","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4578","품목보고번호19970443044404","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마누카꿀녹용진액 골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","프락토올리고당","벌꿀","프락토올리고당 F250","마누카꿀(콤비타 마누카 블렌드 허니)","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"허브추출물","구연산","녹용발효추출분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"복합허브추출물E","함수구연산","발효녹용추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4577","품목보고번호20100543066893","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마누카허니레몬에이드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11",NA,NA,NA,"레몬농축액","덱스트린","구연산","비타민C","천연향료","합성향료","벌꿀","카로틴","자몽종자추출물",NA,NA,NA,"이스라엘산, 배합함량 : 레몬 100%, 레몬과즙으로 환원기준 : 6.5%","","","영국산","레몬향","레몬향, 시트러스향","뉴질랜드산, 마누카꿀","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4576","품목보고번호19890445014432","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","마늘추출액","고형분",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,NA,NA,"액상과당","구연산","카라멜색소","섬유소글리클산나트륨","인삼향","합성착향료시트로스","천연보존료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4575","품목보고번호19950433026572","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명마더한","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","코코아분말","설탕","","정백당","3","4","5","6","7","8","9","10","11","12",NA,NA,"전지분유","당류가공품","정제소금","카라기난","탄산수소나트륨","수크랄로스","초코렛향","밀크향","코코아향","정제수",NA,NA,"","코코프리","","식품첨가물","","식품첨가물","영푸드텍","영푸드텍","영푸드텍","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4574","품목보고번호19860443015640","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명마데카 병풀 콜라겐 뷰스터 샷","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","생선콜라겐펩타이드","프락토올리고당","저분자피쉬콜라겐펩타이드","","3","4","5","6","7","8","9","10","11","12","13","14","자일리톨","망고농축액","향료","사과농축액","구연산","향료","병풀추출","DL-사과산","황금혼합추출물","비타민C","효소처리스테비아","비타민 E 혼합분말","","","망고향","","무수구연산","사과향","병풀추출복합물","","","","","","15","16","17","비오틴","엘라스틴가수분해물","히알루론산","","","","18","19","20","21","22","23","24","25","효모추출분말","우유단백","과.채가공품","오르니틴염산염","비타민 A 아세테이트 분말","식용달팽이추출물분말","히비스커스추출물","정제수","효모분말","우유단백질농축","화이트토마토추출분말","","","","",""
"10","번호4573","품목보고번호20100376046214","업소명(주)한국지네틱바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마라秀","분류식품","업체명","(주)한국지네틱바이오팜","소재지","경기도 연천군 백학면 장백로 877","1","2","배","저단선열매","","","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"미나리","설탕","생강","인삼","맥아","여주",NA,NA,NA,NA,NA,NA,"","비정제당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
