"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","성분 및 원료21","비고21"
"1","번호6057","품목보고번호19970464172251","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명Energy 골드 무카페인","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","백설탕","수크랄로스","비타민C","타우린","베타인","비타민B2인산에스테르나트륨","비타민B6염산염","니코틴산아미드","이노시톨","L-아르기닌","구연산삼나트륨","구연산","이.디.티.에이.칼슘이나트륨","드링크향","드링크향","레몬향","오렌지향","정제수","효소처리스테비아","L-카르니틴","","","","","","","","","","","","","","km00925","nr10270","삼정1603022","삼정1603129","","","",NA,NA,NA
"2","번호6056","품목보고번호19970464172250","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명Energy 골드 카페인","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","수크랄로스","효소처리스테비아","비타민C","타우린","베타인","비타민B2인산에스테르나트륨","비타민B6염산염","니코틴산아미드","이노시톨","과라나추출물분말","L-아르기닌","L-카르니틴","식품첨가물혼합제제","구연산삼나트륨","구연산","드링크향","드링크향","레몬향","오렌지향","정제수","","","","","","","","","","","","","EDTA-CaNa2","","","KM00925","NR10270","삼정1603022","삼정1603029","","21","백설탕",""
"3","번호6055","품목보고번호1996051900636","업소명주식회사 보성녹차인 1공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명FRESH ALOE(수출용)","분류식품","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에 베라","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤라검","알로에향","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6054","품목보고번호19970464172188","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명Fresh morning","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"JBB20","농축액","농축사과과즙","구연산삼나트륨","황금복합추출물","액상과당","효소처리스테비아","구연산","멘톨향","블루베리향","귤피추출물분말","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6053","품목보고번호19890445014389","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명G&K 우리흑마늘진액플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑마늘추출액","흑마늘농축액","아가베시럽","이소말토올리고당","대추농축액","폴리덱스트로스","DL-사과산","비타민C","니코틴산아미드","비타민 B1(고시형)","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호6052","품목보고번호20040275056810","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명GC녹십자웰빙 메타 아르기닌 6000 플러스 오르니틴","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,"정제수","L-아르지닌","청포도농축액","구연산","블루베리농축액","효소처리스테비아","오르니틴염산염","L-카르니틴","타우린","혼합제제","마카추출분말","과라나추출물분말","글루콘산아연","펙틴","혼합제제","자몽종자추출물","비오틴(고시형)",NA,NA,NA,"","미국산","","함수구연산","","","","","","청포도향","","","","","비타민B복합물","","",NA,NA,NA,NA,NA,NA
"7","번호6051","품목보고번호200903751497","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명GE32 게르마늄 워터","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6050","품목보고번호19970464172525","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명GINHWANG PREMIUM (진황 프리미엄)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"홍삼농축액","눈꽃동충하초분말","대추농축액","계피농축액","참당귀농축액","감초농축액","영지농축액","카라멜색소","기타과당","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","홍삼향","정제수",NA,NA,NA,NA,NA,"6년근 홍삼농축액","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6049","품목보고번호20020623009496","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명GMF 아랍어 오리지널","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","액상과당","구연산","벌꿀","젤란검","구연산삼나트륨","비타민C","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호6048","품목보고번호19890445014472","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명Good Feelling(수출용)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"결정과당","키토올리고당(고시형)","망고","구아바향","구연산","안식향산나트륨","비타민믹스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
