"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호831","품목보고번호19860443015113","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월,실온","제품명텐스 플러스 콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","나노콜라겐","결정과당","Cyclo","dextrin","cyrup","자몽농축분말","이소말토올리고당","비타민C","구연산","Grape leaf extract","황금복합추출물","DL-사과산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호830","품목보고번호19890445014706","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월(1년)","제품명토닉슬링","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"레몬농축액","호프추출물","과당옥수수시럽","백설탕","구연산","비타민C","식염","솔향","토닉향","정제수",NA,NA,NA,"수입산, Brix: 60%","","","","","","","합성착향료","","",NA,NA,NA
"3","번호829","품목보고번호19920562023382","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토레타!","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","백설탕","결정과당","과.채가공품류","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스","음료베이스","기타과당","식품첨가물혼합제제",NA,NA,NA,"","","","혼합과채즙청징농축액(21brix)","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! by 아쿠아리우스 원제 제2A부","토레타! by 아쿠아리우스 원제 제2B부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부",NA,NA,NA
"4","번호828","품목보고번호20020492106481","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한12개월","제품명토레타!","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"백설탕","과당","과.채가공품류","혼합제제류","혼합제제류","음료베이스","음료베이스","음료베이스","혼합제제류","정제수",NA,NA,NA,"","결정과당","혼합과채즙청징농축액","토레타!by아쿠아리우스 원제제1A부","토레타!by아쿠아리우스 원제제1C부","토레타!by아쿠아리우스 원제제2A부","토레타!by아쿠아리우스 원제제2B부","토레타!by아쿠아리우스 원제제3B부","네오쿠라 NO.34044(수입식품첨가물)","",NA,NA,NA
"5","번호827","품목보고번호20100543066473","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET, CAN : 제조일로부터 12개월","제품명토레타!","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","설탕","결정과당","농축과채즙(또는과채분)","혼합제제","혼합제제","음료베이스","음료베이스","기타과당","혼합제제",NA,NA,NA,"","","","혼합과채즙청징농축액(21브릭스)","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! by 아쿠아리우스 원제 제2A부","토레타! by 아쿠아리우스 원제 제2B부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부",NA,NA,NA
"6","번호826","품목보고번호201904130798","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한12 개월","제품명토레타!","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","설탕","결정과당","농축과채즙(또는과채분)","혼합제제","혼합제제","음료베이스","음료베이스","기타과당","혼합제제",NA,NA,NA,"","","","혼합과채즙청징농축액 (21브릭스)","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! by 아쿠아리우스 원제 제2A부","토레타! by 아쿠아리우스 원제 제2B부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2원제 제2B부혼합제제V2 2B부",NA,NA,NA
"7","번호825","품목보고번호19980449002557","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터  12개월까지","제품명토레타!","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"설탕","과당","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스","음료베이스","음료베이스","식품첨가물혼합제제","정제수",NA,NA,NA,"","","혼합과채즙청징농축액(21브릭스)","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! by 아쿠아리우스 원제 제2A부","토레타! by 아쿠아리우스 원제 제2B부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부","",NA,NA,NA
"8","번호824","품목보고번호20070443110249","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명토레타!","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","백설탕","결정과당","과.채가공품류","혼합제제","혼합제제","음료베이스","음료베이스","기타과당","혼합제제",NA,NA,NA,"","","","혼합과채즙청징농축액","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제 1C부","토레타! by 아쿠아리우스 원제2A부","토레타! by 아쿠아리우스 원제2B부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부",NA,NA,NA
"9","번호823","품목보고번호19800375002237","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한12개월","제품명토레타!","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","설탕","혼합농축액","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스","음료베이스","기타과당","식품첨가물혼합제제","과당",NA,NA,NA,"","백설탕","","토레타! by 아쿠아리우스 원제 제1A부(경기도 의왕시 제 1991-00001호)","토레타! by 아쿠아리우스 원제 제1C부","토레타! by 아쿠아리우스 원제 제2A부(경기도 의왕시 제3호)","토레타! by 아쿠아리우스 원제 제2B부(경기도 의왕시 제3호)","토레타! by 아쿠아리우스 원제 제3B부(경기도 의왕시 제3호)","혼합제제V2원제 제2B부(의왕시청 품목보고)","(결정과당)",NA,NA,NA
"10","번호822","품목보고번호20070443110591","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명토레타! THE 락토","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","설탕","결정과당","과.채가공품류","샤베트믹스","두류가공품","혼합제제","혼합제제","혼합제제","기타과당","혼합제제",NA,NA,"","","","혼합과채즙청징농축액","요구르트 베이스","대두다당류","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! THE 락토 원제 제2부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부",NA,NA
