"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호4942","품목보고번호20190413079160","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명덴마크 드링킹 포스트바이오틱스 샤인머스캣","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","과.채가공품","청포도농축액","DL-사과산","비타민C","구연산삼나트륨","유산균혼합분말","콜라겐","그린색소","향료","향료","정제수","","샤인머스캣혼합농축액","","","","","포스트바이오틱스3종유산균혼합분말","","","샤인머스캣향D","샤인머스캣향T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4941","품목보고번호20190413079119","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명덴마크 드링킹 포스트바이오틱스 스트로베리","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10",NA,NA,"기타과당","딸기농축액","DL-사과산","비타민C","구연산삼나트륨","유산균혼합분말","콜라겐","합성향료","합성향료","정제수",NA,NA,"","","","","","포스트바이오틱스3종유산균혼합분말","","딸기향D","딸기향J","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4940","품목보고번호20190413079118","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명덴마크 드링킹 포스트바이오틱스 피치","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10",NA,NA,"기타과당","복숭아농축액","DL-사과산","비타민C","구연산삼나트륨","유산균혼합분말","콜라겐","합성향료","합성향료","정제수",NA,NA,"","이스라엘산","","","","포스트바이오틱스3종유산균혼합분말","","복숭아향S","복숭아향F","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4939","품목보고번호2013049005118","업소명(주)동원F&B 정읍공장","품목유형혼합음료","유통/소비기한제조일로부터 20일","제품명덴마크 복숭아 녹차","분류식품","업체명","(주)동원F&B 정읍공장","소재지","전라북도 정읍시 정우면 정읍북로 763","1","2","3","4","5","6","7","8","9","10","11","12","설탕","구연산","복숭아농축액","녹차향","복숭아향","녹차농축액","구연산삼나트륨","비타민C","적양배추색소","적무색소","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4938","품목보고번호20000614238294","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명델라페 망고에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","망고농축퓌레","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","잔탄검","스테비안45S","망고향","식용색소황색제4호","식용색소황색제5호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","규소수지혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4937","품목보고번호19920624042796","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명델몬트 말랑피치","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","정제수","과.채가공품","백설탕","과.채가공품","구연산","젖산칼슘","합성향료","구연산삼나트륨","비타민C","젤란검","아세설팜칼륨","홍화황색소","","Crushed 코코넛젤리시럽(베트남산)","","복숭아청징농축액(이스라엘산:68Bx)","결정","","복숭아향 LF1421","","","","","분말산옐로우 No2","13","락색소","300P","14","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4936","품목보고번호20100543066162","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명델몬트 알로에베라 석류맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","알로에베라잎(껍질제외)","절편","알로에분말","벌꿀","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","적양배추색소",NA,"14","코치닐추출색소",NA,"15","16","17","석류향","천연착향료(Pomegranate)","정제수",NA,NA,NA
"8","번호4935","품목보고번호19960571018337","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명델몬트 오리지널 알로에","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12","알로에베라겔즙","알로에베라겔분말","액상과당","구연산","구연산삼나트륨","젖산칼슘","비타민C","젤란검","산그린LT","포도향","포도향","정제수","알로에베라겔","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4934","품목보고번호19920624042781","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명델몬트 허니레몬&배","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","설탕","과.채가공품","과.채가공품","합성향료","구연산","벌꿀","합성향료","혼합제제","구연산삼나트륨","비타민C",NA,"","","유기농배농축액(터키산:70Bx)","레몬청징농축액(이스라엘산:43.5Bx)","레몬향 R-27573","결정","","레몬향 SHIONO ES-4837","마리골드베이스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4933","품목보고번호19920624042834","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명델몬트 허니애플&시나몬","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","설탕","향신료조제품","과.채가공품","벌꿀","구연산","합성향료","구연산삼나트륨","혼합제제","수크랄로스","효소처리루틴",NA,"","","계피엑기스(베트남산)","사과청징농축액(칠레산:70bx)","","결정","시나몬향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
