"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호5572","품목보고번호20150403012181","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명공룡메카드 오렌지","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","홍삼농축액","백설탕","구연산","젖산칼슘","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","오렌지향","오렌지향","정제수","","","","","","","","","","오렌지향엠에프1","오렌지향엠에프2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5571","품목보고번호2016052105324","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명공룡메카드 오렌지","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","오렌지농축액","구연산(무수)","자일리톨","젖산칼슘","합성향료","합성향료","비타민C","홍삼농축액","수크랄로스","비타민B6염산염","","","65bx","","","","오렌지향1","오렌지향2","","고형분60%이상","","","13","비타민 B2(고시형)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5570","품목보고번호19970464172119","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명공심단액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","황칠추출액","녹용가수분해물","인삼농축액","계피농축액","산수유농축액","당귀농축액","숙지황농축액","감초농축액","구연산","구연산삼나트륨","잔탄검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","황금복합추출물",NA,"14","15","16","17","18","19","카라멜색소","L-아르기닌","효소처리스테비아","허브향","인삼향","정제수",NA,NA,NA,NA,NA,NA
"4","번호5569","품목보고번호2014061409453","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명과일 야채","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10","11","12","난소화성말토덱스트린(고시형)","이소말토올리고당","사과농축액","프락토올리고당","세븐베리농축액","블루베리농축액","젖산칼슘","구연산(무수)","비타민혼합제제","아미노산혼합제제","DL-사과산","대두레시틴(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","정제어유",NA,"14",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5568","품목보고번호2021045109645","업소명농업회사법인 주식회사 자연이 정답이다","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명과일C주스","분류식품","업체명","농업회사법인 주식회사 자연이 정답이다","소재지","충청북도 괴산군 칠성면 자연드림길 245-10","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"정제수","열대과일혼합농축액","사과즙","당근농축액","구연산(무수)","정제소금",NA,NA,NA,NA,NA,NA,"","","유기농","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5567","품목보고번호20190456640202","업소명주식회사새롬웰푸드","품목유형혼합음료","유통/소비기한12개월","제품명과일가득 비타민B음료","분류식품","업체명","주식회사새롬웰푸드","소재지","충청남도 천안시 동남구 성남면 대흥1길 153-50","1","2","3","4","5","6","7","8","9","10","11","12","정제수","과.채가공품","과.채가공품","과.채가공품","과.채가공품","과.채가공품","과.채가공품","과.채가공품","구연산","DL-사과산","구연산삼나트륨","혼합제제","","사과착즙액","딸기퓨레","사과농축액","백포도농축액","엘더베리농축액","블루베리농축액","아로니아농축액","","","","비타민B복합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5566","품목보고번호20100543066250","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명과일촌아침에매실","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"매실농축액","정제수","백설탕","합성？향료(매실향)","구연산","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5565","품목보고번호20140395066248","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명과즙팡팡 초록이 곤약젤리-사과맛","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","액상과당","에리스리톨","사과농축액","혼합제제","곤약분말","구연산(무수)","구연산삼나트륨","젖산칼슘","사과향","아세설팜칼륨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5564","품목보고번호20140395066249","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명과즙팡팡 초록이 곤약젤리-청포도맛","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","액상과당","에리스리톨","청포도농축액","혼합제제","사과농축액","곤약분말","구연산(무수)","구연산삼나트륨","젖산칼슘","청포도향","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5563","품목보고번호20100543066127","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월(실온)","제품명과홍초려","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","알로에베라잎(껍질제외)","석류홍초","액상과당","구연산","젖산칼슘","구연산삼나트륨","적양배추색소","락색소","젤란검","알로에향","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
