"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16","번호17","번호18","번호19","번호20","번호21","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호2434","품목보고번호19970464172544","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명없었던일로","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","L-아스파라진","기타과당","사양벌꿀","헛개나무농축액","사과농축액","강황추출액","타우린","구연산","구연산삼나트륨","니코틴산아미드","효소처리스테비아","레몬라임향","꿀향","정제수","","","","","","수용성 커큐민","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2433","품목보고번호1993062500618","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에너린","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"액상과당","타우린","구연산","비타민C","드링크향S","DL-사과산","구연산삼나트륨","드링크향HF-35535","수크랄로스","니코틴산아미드","비타민B6염산염","비타민B2인산에스테르나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2432","품목보고번호20110084489394","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에너제틱 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","효소처리스테비아","블루베리주스농축액","타우린","아미드펙틴","향료","혼합제제","기타가공품","비타민C","글루콘산아연","","","함수구연산","적포도주스농축액","","","","","","천연레몬향","블루베리향","복합황금추출물","","","15","16","마카추출분말","프로테아제(식물성)","마카추출물분말","브로멜라인 비알1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2431","품목보고번호20140443099384","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명에너지 볼트","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","에리스리톨","레몬농축액","복분자농축액","L-아르지닌","타우린","L-카르니틴","과라나추출물분말","구연산","레몬향","수크랄로스","구연산삼나트륨","정제소금","염화칼륨","","","","","","","","","함수구연산","","","","","","15","16","DL-사과산","젖산칼슘","","","17","18","19","20","21","염화마그네슘","비타민C","분말비타민B","레드비트분말","고형차","","","비타민B복합물","","마카분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2430","품목보고번호20030415157488","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에너지 붐","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","시클로덱스트린시럽","레몬농축액","DL-사과산","레몬향","비타민 C(고시형)","효소처리스테비아","잔탄검","산수유추출분말","비수리농축액","황금혼합추출물","글루콘산아연(고시형)","","","","","","","","","","","","야관문농축액","복합황금추출물","","15","16","눈꽃동충하초추출분말","야채혼합농축분말","눈꽃동충하초추출물분말","올로지혼합농축분말","17","18","19","20","21","오르니틴염산염","수크랄로스","아미노산혼합분말","L-로이신","타우린","L-오르니틴염산염","","","","","22","23","24","25","26","27","28","29","30","31","홍삼농축액","L-이소로이신","L-발린","비타민 B1(고시형)","제비콩씨앗","니코틴산아미드(고시형)","혼합농축액","비타민 B12(고시형)","케르세틴","엽산(고시형)","","","","비타민B1질산염","백편두추출물","","진생베리(인삼열매)녹용혼합농축액","비타민B12혼합제제","",""
"6","번호2429","품목보고번호200703582241204","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에너지 샷","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","레몬농축액","자일리톨","타우린","L-아르지닌","천연향료","구연산","DL-사과산","과.채가공품","기타가공품","과.채가공품","젖산칼슘","L-테아닌(고시형)","천연향료","","레몬추출농축액","","","","천연 레몬라임향","구연산(무수)","","복분자농축액","과라나추출물분말","라임농축액분말","","","민트향","15","16","수크랄로스","기타가공품","","쌀배아추출물분말(미배아발효추출물분말)","17","18","19","20","21","기타 농산가공품","혼합제제","산화마그네슘","비타민B6염산염","비타민B1염산염","식물혼합분말","레몬그라스향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2428","품목보고번호19860443015556","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에너지 아르기닌밤 3000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","프락토올리고당","구연산","에리스리톨","사과농축액","레몬농축액","혼합제제","효소처리스테비아","황금혼합추출물","글루콘산아연","비타민C","수크랄로스","기타가공품","","L-아르기닌, 아르기닌","","","","","","드링크향","","복합황금추출물","","","","수박과피추출물분말","15","16","타우린","비타민B6염산염","","","17","18","19","20","21","비타민B2","비타민B1염산염","L-카르니틴","혼합제제","니코틴산아미드","","","","필수아미노산8종혼합제제","","22","23",NA,NA,NA,NA,NA,NA,NA,NA,"판토텐산칼슘","L-시스틴",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2427","품목보고번호19970464172218","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에너지2000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"백설탕","타우린","이노시톨","니코틴산아미드","비타민B1염산염","비타민B2","비타민B6염산염","과라나추출물분말","구연산","효소처리스테비아","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2426","품목보고번호201006143887","업소명(주)천호엔케어","품목유형혼합음료","유통/소비기한제조일로부터12개월(실온)","제품명에너지가 필요할 땐 포도당","분류식품","업체명","(주)천호엔케어","소재지","경상남도 양산시 그린공단1길 27(매곡동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"포도당","비타민C","비타민B2","정제수","타우린","니코틴산아미드","비타민B1염산염",NA,NA,NA,NA,NA,NA,NA,"","","","","","나이아신아미드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2425","품목보고번호19710570001584","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명에너지드링크 리로드 무카페인","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"정제수","포도당","칼라만시주스","타우린","아미노산혼합제제","비타민C","천연향료",NA,NA,NA,NA,NA,NA,NA,"","","100%과즙주스","","BCAA","","레몬라임향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
