"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5592","품목보고번호20140395066251","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명곤약씬 복숭아","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","혼합제제","구연산","곤약분말","구연산삼나트륨","복숭아향","복숭아농축액","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5591","품목보고번호20140395066252","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명곤약씬 풋사과","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","혼합제제","구연산","곤약분말","구연산삼나트륨","사과향","사과농축액","수크랄로스","사과추출물분말","비타민C","","","","","","","","","(풋사과 추출분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5590","품목보고번호20140395066298","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월 (실온)","제품명곤약씬 플러스 석류","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","알룰로오스","석류농축액","구연산","곤약분말","석류향","치커리추출분말","카라기난","로커스트콩검","","","","","","","","(이눌린)","","","11","12","13","14","15","16","17","18","19","20","구연산삼나트륨","젖산칼슘","잔탄검","젤란검","아세설팜칼륨","수크랄로스","염화칼륨","비타민C","유산균","수산화칼슘","","","","","","","","","(유산균배양분말)",""
"4","번호5589","품목보고번호20140395066297","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월 (실온)","제품명곤약씬 플러스 요쿠르트","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","알룰로오스","요거트분말","구연산","곤약분말","합성향료","치커리추출분말","카라기난","로커스트빈검","","","","","","","(요쿠르트향)","(이눌린, 치커리뿌리 100%)","","","11","12","13","14","15","16","17","18","19","20","구연산삼나트륨","잔탄검","젖산칼슘","젤란검","수크랄로스","아세설팜칼륨","염화칼륨","비타민C","기타가공품","수산화칼슘","","","","","","","","","(유산균 사균체분말)",""
"5","번호5588","품목보고번호20030607967135","업소명주식회사 네스코","품목유형혼합음료","유통/소비기한12개월","제품명곤약젤리망고","분류식품","업체명","주식회사 네스코","소재지","경상남도 밀양시 삼랑진읍 사기점길 11-1","1","2","3","4","5","6","7","8","9","10","정제수","망고농축액","액상과당","프락토올리고당","백설탕","혼합제제","산도조절제","망고향","혼합제제","수크랄로스","","이스라엘산,60brix / 망고과즙으로4.6%","","","","","3원료의 합","합성향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5587","품목보고번호20030607967133","업소명주식회사 네스코","품목유형혼합음료","유통/소비기한12개월","제품명곤약젤리복숭아","분류식품","업체명","주식회사 네스코","소재지","경상남도 밀양시 삼랑진읍 사기점길 11-1","1","2","3","4","5","6","7","8","9","10","정제수","복숭아농축액","액상과당","프락토올리고당","백설탕","혼합제제","산도조절제","복숭아향","수크랄로스","혼합제제","","이스라엘산,68brix / 복숭아과즙으로9.7%","","","","","(3원료의 합)","(합성향료)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5586","품목보고번호20030607967132","업소명주식회사 네스코","품목유형혼합음료","유통/소비기한12개월","제품명곤약젤리사과","분류식품","업체명","주식회사 네스코","소재지","경상남도 밀양시 삼랑진읍 사기점길 11-1","1","2","3","4","5","6","7","8","9","10","정제수","사과농축액","액상과당","프락토올리고당","백설탕","혼합제제","사과향","산도조절제","수크랄로스","혼합제제","","72brix / 사과과즙으로7.2%)","","","","","합성향료","3원료의 합","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5585","품목보고번호20060392223110","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명골드 상쾌한변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","식물혼합추출물","자몽농축액","스킴밀크파우다","요구르트혼합분말","락툴로오스","농축사과과즙","포도농축액","석류농축액","혼합유산균알파","D-소르비톨액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13",NA,NA,NA,NA,NA,NA,NA,"구연산","폴리덱스트로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5584","품목보고번호20100543066891","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명골드유자","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","유자청징농축액","합성향료","비타민C","구연산","젖산칼슘","천연향료","구연산삼나트륨","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","국산/배합함량100%, 고형분 45%이상:유자50%,설탕50%","유자향","","","","유자향","","11","12","13","14",NA,NA,NA,NA,NA,NA,"젤란검","유화제","스테비올배당체","벌꿀",NA,NA,NA,NA,NA,NA,"","","","마누카꿀/뉴질랜드산",NA,NA,NA,NA,NA,NA
"10","번호5583","품목보고번호20100543066816","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명골드키위","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","키위농축액","구연산","젖산칼슘","합성향료","구연산삼나트륨","젤란검","비타민C","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","이탈리아산, 65Bx, 키위과즙으로 환원기준 : 5%, 배합함량 100%","","","골드키위향","","","","11","12","13","14",NA,NA,NA,NA,NA,NA,"혼합제제","자당지방산에스테르","혼합제제","천연향료",NA,NA,NA,NA,NA,NA,"글리세린, 글리세린지방산에스테르, 정제수, β-카로틴(착색료), 비타민 E","","카라멜색소, 프로필렌글리콜","천연골드키위향",NA,NA,NA,NA,NA,NA
