"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","번호36","번호37","번호38","번호39","번호40","번호41","번호42","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","성분 및 원료36","성분 및 원료37","성분 및 원료38","성분 및 원료39","성분 및 원료40","성분 및 원료41","성분 및 원료42","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","비고36","비고37","비고38","비고39","비고40","비고41","비고42"
"1","번호5082","품목보고번호20010515081385","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명단백질쉐이크 오리지널","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","카제인나트륨","분리대두단백","콩기름(대두유)","가공유지","소르비탄지방산에스테르","글리세린지방산에스테르","염화콜린","덱스트린","백설탕","혼합제제","비타민B1염산염","비타민B2","비타민B6염산염","비타민B12","비타민C","혼합제제","비타민E","비타민K1","엽산","니코틴산아미드","비오틴","판토텐산칼슘","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","산화아연","황산제일철","탄산마그네슘","염화마그네슘","염화칼륨","구연산삼나트륨","타우린","L-카르니틴","요오드칼륨","황산동","황산망간","건조효모","건조효모","건조효모","합성향료","젤란검","정제수","","","","중쇄중성지방","올맥스 3800","올맥스 1000","","말토덱스트린(15-20)","","비타민 A 혼합제제","","","","0.0000024%","","비타민 D3 혼합제제","비타민E 초산에스테르","","","","","","액상탄산칼슘혼합제제","","","","","","","","","","","","","","Se","Mo","Cr","땅콩향","",""
"2","번호5081","품목보고번호20010515081386","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명단백질쉐이크 초코","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"카제인칼슘","카제인","분리대두단백","콩기름(대두유)","소르비탄지방산에스테르","글리세린지방산에스테르","덱스트린","백설탕","혼합제제","비타민B1염산염","비타민B2","비타민B6염산염","비타민B12","비타민C","혼합제제","비타민E","혼합제제","엽산","니코틴산아미드","비오틴","판토텐산칼슘","구연산칼륨","산화아연","황산제일철","정제소금","초코향","코코아분말","카라기난","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","미셀라카제인","","","올맥스 3800","올맥스 1000","말토덱스트린(15-20)","","비타민 A 혼합제제","","","","0.00000119%","","비타민 D3 혼합제제","비타민E초산에스테르","비타민 K1 혼합제제","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5080","품목보고번호1996044304794","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명단백한 하루","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"탈지분유","기타가공품","설탕","곡류가공품","두류가공품","L-발린","L-글루타민","정제소금","탄산수소나트륨","자당지방산에스테르","자당지방산에스테르","카라기난","효소처리스테비아","합성향료","합성향료","비타민 D 혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","분리유단백분말","","15곡 혼합분말","분리대두단백","","","","","S570","P1650","","","씨리얼향","볶음콩향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5079","품목보고번호2019057102521","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명단심식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","식물복합추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조맥아","","","(청미래덩쿨뿌리,인동줄기,칡뿌리,왕느릅나무껍질,생강나무잎,둥굴레,대추,쑥잎)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5078","품목보고번호19950433026593","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명단짠한 스윗콘 한끼","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"옥수수가루","옥수수","백설탕","식염","변성전분","치킨엑기스","양파엑기스","잔탄검","옥수수향","콘향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","옥수수(콘)","","","COLFLO 67","","","KELTROL T PLUS","SF-23907","HF-AG20428","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5077","품목보고번호20120524080179","업소명농업회사법인유한회사 정 그린","품목유형혼합음료","유통/소비기한24개월","제품명단호박 식혜","분류식품","업체명","농업회사법인유한회사 정 그린","소재지","전라남도 영암군 덕진면 예향로 1916-57","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","호박","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국산","국산","단호박(국산)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5076","품목보고번호200904700438","업소명옥경식품","품목유형혼합음료","유통/소비기한50일","제품명단호박 식혜","분류식품","업체명","옥경식품","소재지","충청남도 부여군 장암면 의자로1235번길 167-7","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","단호박","설탕","엿기름","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5075","품목보고번호20090368047198","업소명주식회사 파낙스 코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명단호박 식혜","분류식품","업체명","주식회사 파낙스 코리아","소재지","경기도 광주시 옥토골길 53(태전동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","과.채가공품","엿기름","멥쌀","비타민 C(고시형)","깐생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5074","품목보고번호2007052312238","업소명울금나라","품목유형혼합음료","유통/소비기한1년","제품명단호박 전통 식혜","분류식품","업체명","울금나라","소재지","전라남도 해남군 화원면 청용길 240","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"곡류혼합추출분말","보리","쌀","백설탕","호박가루","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름고형분","국내산","국내산","","밤호박분말(국내산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5073","품목보고번호2017052811168","업소명농업법인 장성마을반찬(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명단호박식혜","분류식품","업체명","농업법인 장성마을반찬(주)","소재지","전라남도 장성군 남면 마령리 538-18","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","멥쌀","호박","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
