"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호5392","품목보고번호19970515002122","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명기순도 전통 쌀식혜","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","정제수","쌀","설탕","엿기름","감초","","(무농약쌀/국산)","","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5391","품목보고번호201901611182","업소명대자연팔공수","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명기승정","분류식품","업체명","대자연팔공수","소재지","대구광역시 동구 팔공산로 310(A동 1층 송정동)","1","2",NA,NA,NA,"정제수","혼합음료",NA,NA,NA,"지하수","파워미네랄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5390","품목보고번호19890445014251","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명기쌍화골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","쌍화농축액","액상과당","백설탕","지황포제가공한뿌리","대추농축액",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","구연산","천궁농축액","카라멜","안식향산나트륨","구연산삼나트륨","감초농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5389","품목보고번호20000614238478","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명기운 체리고 스타트 타트체리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","과.채가공품","설탕","구연산","구연산삼나트륨","비타민C","타트체리농축액","","","","","6","7","8","9","10","11",NA,"수크랄로스","아세설팜칼륨","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수",NA,"","","프로필렌글리콜,합성향료,주정,정제수,카라멜색소","","","",NA,NA,NA,NA
"5","번호5388","품목보고번호201203781717","업소명에이앤지","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명기정","분류식품","업체명","에이앤지","소재지","경기도 양평군 강하면 전의3길 90","1","2",NA,NA,NA,"정제수","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5387","품목보고번호2005007713120","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명기정원","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","마늘엑기스","액상과당","베타싸이클론덱스트린","포피란","돼지태반추출물",NA,NA,NA,NA,NA,"6","7","8","9","10",NA,NA,"아미노믹스","L-아르기닌","홍삼엑기스","상수","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5386","품목보고번호2000045807011","업소명민속식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명기천보","분류식품","업체명","민속식품","소재지","충청남도 공주시 마티길 238-6","1","2","3",NA,NA,"헛개나무열매","오가피","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5385","품목보고번호1999061119310","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명기풍당당 동충하초","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","누에동충하초추출액","감초추출액","타우린0","액상과당","구연산",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","카라멜","스테비안","비타민C","삭카린나트륨","버섯향","계피향","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,"13","정제수",NA
"9","번호5384","품목보고번호202006032817","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명기풍당당동충하초","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","눈꽃동충하초추출액","대추추출액","감초추출액","계피추출액","백설탕",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","구연산","구연산삼나트륨","타우린","아스파탐","아세설팜칼륨","안식향산나트륨","카라멜색소",NA,NA,NA,NA,NA,NA,NA,"13","정제수",NA
"10","번호5383","품목보고번호20110441029140","업소명명성제약식품","품목유형혼합음료","유통/소비기한해당없음.","제품명기풍천하동충하초","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","눈꽃동충하초농축액","참당귀농축액","천궁농축액","기타과당","구연산","국산","국산","중국산","","","6","7","8","9","10","11",NA,"안식향산나트륨","사카린나트륨","카라멜색소","허브향","정제수","글리신",NA,"보존료","합성감미료","","","","",NA,NA,NA,NA
