"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호231","품목보고번호202006032811","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개골드365","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","헛개나무추출액","헛개나무열매추출액","대추추출액","천궁추출액","갈근숙지황혼합추출 농축액","사철쑥추출액","구연산","구연산삼나트륨","안식향산나트륨","정제수","액상과당","참당귀추출고형분","카라멜색소","감초추출액","고형분2%이상,헛개(국산)","고형분2%이상,헛개나무열매(중국산)","고형분2%이상,(국산)","고형분2%이상,(수입산)","고형분2%이상,(국산)","고형분2%이상,(국산)","산도조절제","산도조절제","합성보존료","","","고형분2%이상,(수입산)","","고형분2%이상(수입산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호230","품목보고번호19920624042528","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개꿀D","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"백설탕","사양벌꿀","합성향료","카라멜색소비에이","구연산","합성향료","합성향료","정제수","사과농축액","헛개나무열매추출농축액",NA,NA,NA,NA,"","","헛개향 SJ-A 1112232","","","허니후레바 SJ 2203198","허니후레바 SC 20372","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호229","품목보고번호19930571069219","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명헛개꿀물","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"헛개열매혼합추출물","사양벌꿀","기타과당","사과농축액","칡즙농축액","구연산","허니향","정제수",NA,NA,NA,NA,NA,NA,"","","","","","함수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호228","품목보고번호19800415004199","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한24개월","제품명헛개꿀물","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"백설탕","액상과당","사양벌꿀","트레할로스","당시럽","안식향산","구연산","수크랄로스","기타가공품","벌꿀향","헛개향","정제수",NA,NA,"","","","","","","","","헛개나무열매추출농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호227","품목보고번호20020623009667","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명헛개꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"사양벌꿀","기타과당","구연산","정제수","헛개나무열매농축액","대추농축액","정제소금","폴리소르베이트80","수크랄로스","카라멜색소","합성향료","혼합제제",NA,NA,"","","함수, 산도조절제","","","","","","","","허니향","헛개향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호226","품목보고번호20140368660337","업소명(주)자임에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명헛개나무 칡즙","분류식품","업체명","(주)자임에프앤비","소재지","경기도 이천시 사음로 11(1동 사음동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","칡즙","설탕","카라멜색소 Ⅲ","혼합제제","헛개나무농축액","자몽종자추출물","정제소금","혼합제제",NA,NA,NA,NA,NA,"","","","","칡향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호225","품목보고번호2001046701327","업소명금산고려홍삼 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개나무추출액","분류식품","업체명","금산고려홍삼 주식회사","소재지","충청남도 금산군 복수면 오곡동길 48-4","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"헛개","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호224","품목보고번호2020044271649","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개닥터모닝","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","헛개나무열매추출농축액","기타가공품","대추농축액","L-아스파라진","기타과당","타우린","구연산","구연산삼나트륨","비타민 B1라우릴황산염(고시형)","니코틴산아미드","카라멜색소","안식향산나트륨","허브향","정제수","","갈근(칡)농축액","","","고과당","","","","","","","보존료","2296(합성향료)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호223","품목보고번호20020623009303","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명헛개땡큐골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","헛개나무열매농축액","오리나무농축액","밀크시슬추출액","기타가공품","효모추출물제품","효소처리스테비아","사양벌꿀","농축사과과즙","액상과당","구연산","타우린","비타민C","정제소금","비타민B1염산염","고형분20%","오리나무농축액F","","미배아대두발효추출물","하이치온 YH8","스테비안50","","사과농축과즙(72Brix)","","산도조절제","영양강화제","","","영양강화제","15","16","17","18","19","20","21","22","23","비타민B2","니코틴산아미드","L-아스파라긴","황금복합추출물","폴리소르베이트80","혼합제제","혼합제제","혼합제제","정제수","영양강화제","영양강화제","영양강화제","","","솔향","벌꿀향","오렌지향",""
"10","번호222","품목보고번호1999061119333","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개원","제품명헛개맥문동 맑은아침","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","헛개나무추출액","맥문동추출물","감초추출액","대추추출액","설탕","액상과당","정제수","구연산","구연산삼나트륨","타우린","DL-사과산","니코틴산아미드(고시형)","비타민C","허브향","","","","","정백당","","","함수구연산","","향미증진제","","","","","15","16",NA,NA,NA,NA,NA,NA,NA,"안식향산나트륨","카라멜향",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
