"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호4642","품목보고번호20040275056511","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리네젠","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","포도농축액","구연산(무수)","히비스커스추출분말","에리스리톨","딸기농축액","포도향","펙틴","효소처리스테비아","황금혼합추출물","비타민C","마카추출분말","글루콘산아연","5종혼합유산균","","","적포도농축액","","히비스커스추출분말SR-25987","","","포도향#14","","","복합황금추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4641","품목보고번호20130415052259","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명리뉴콜라겐 부스터 앰플 15000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐","프락토올리고당","석류농축액","결정과당","석류향","구연산","히알루론산","효소처리스테비아","비타민C","엘라스틴가수분해물","구연산삼나트륨","황금혼합추출물","니코틴산아미드","산화아연","","초 저분자 마린 피쉬콜라겐 펩타이드","프락토올리고당F250","","","향료, 석류향F-21135","","","","","프로라스틴","","복합황금추출물-2","","","16","17","18","우유단백질","비타민B6염산염","분말비타민A혼합제제","밀크세라마이드","","분말비타민A아세테이트325혼합제제"
"3","번호4640","품목보고번호20040275056672","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명리뉴콜라겐 저분자 피쉬콜라겐 펩타이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐펩타이드","프락토올리고당","석류농축액","레몬농축액","비타민C","구연산","석류향","건조효모(셀렌함유)","효소처리스테비아","펙틴","혼합제제","산화아연","황금혼합추출물","비타민B2","","저분자 피쉬콜라겐 펩타이드(Fish Collagen Peptides)","","","","","함수구연산","혼합제제","","","펙틴JMJ","MSX-1MF","","복합황금추출물","","16",NA,NA,"비오틴",NA,NA,"",NA,NA
"4","번호4639","품목보고번호20130415052255","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리뉴콜라겐 플러스","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐","프락토올리고당","석류농축액","결정과당","석류향","구연산","히알루론산","비타민C","엘라스틴가수분해물","구연산삼나트륨","효소처리스테비아","황금혼합추출물","우유단백질","분말비타민A혼합제제","","초 저분자 마린 피쉬콜라겐 펩타이드","프락토올리고당F250","","","향료, 석류향F-21135","","","","프로라스틴","","","복합황금추출물-2","밀크세라마이드","분말비타민A아세테이트325혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4638","품목보고번호20080181270136","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 12개월(1년)","제품명리듬통통","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"액상과당","발효식초","자몽농축액","분말결정포도당","염화칼슘","비타민C혼합분말","구연산삼나트륨","글루콘산마그네슘","구연산(무수)","젖산칼슘","자몽향","정제수",NA,NA,NA,"","","","함수","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4637","품목보고번호20110493072333","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리몽","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"체리농축액","생선콜라겐","열대과일농축액","포도과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"타트체리농축주스(터키산), 65brix","피쉬콜라겐펩타이드,베트남산","(오렌지농축액, 망고농축액, 패션후르트농축액, 구아바농축액, 바나나퓨레) [이스라엘산, 65 brix]","포도즙(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4636","품목보고번호19940474018506","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한24개월","제품명리바이브 리커버리 드링크","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"비타민C","타우린","구연산","드링크향","수크랄로스","니코틴산아미드","이노시톨","L-글루타민","비타민B2","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4635","품목보고번호2017014715515","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명리버골드프리미엄","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","액상과당","타우린","구연산","구기자농축액","비타민 C(고시형)","레몬향","허브향","밀크씨슬추출물","합성사과향","구연산삼나트륨","L-아스파라긴","과라나추출농축분말","이노시톨","정제소금","비타민 B1염산염(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","18","비타민B6염산염혼합제제","비타민 B2(고시형)","정제수",NA,NA,NA
"9","번호4634","품목보고번호1989044501497","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명리베라","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오리나무추출액","헛개나무열매추출액","칡꽃추출농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4633","품목보고번호2009037514932","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명리본 워터(Re:Born Water)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
