"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","번호32","성분 및 원료32","비고32"
"1","번호391","품목보고번호20060445110612","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명12000 하이 콜라겐","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","생선콜라겐","프락토올리고당","구연산","석류농축액","석류향","맥아추출액","효소처리스테비아","비타민C","히알루론산혼합제제","엘라스틴가수분해물","우유단백질","","피쉬콜라겐","","","","","맥아추출물","","","","","우유단백농축분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호390","품목보고번호2020040143968","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이 프로틴 22 식물성","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리대두단백","백설탕","분리완두단백","귀리페이스트","현미추출액","탄산칼슘","땅콩 또는 견과류가공품","쌀단백분말","탄산수소나트륨","대두레시틴(고시형)","천연향료","","","","","","","","견과혼합페이스트","","","","천연바닐라추출물","13","14","15","16","17","18","19","20","21","정제소금","혼합제제","기타 농산가공품","혼합제제","혼합제제","산화아연","혼합제제","젤란검","기타가공품","","마론향","검은깨페이스트","비타민E 아세테이트 혼합제제","비타민B믹스DS","","비타민A 아세테이트 혼합제제","","상엽황칠나무혼합농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호389","품목보고번호20080395120578","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이 프로틴 22 식물성","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리대두단백","백설탕","분리완두단백","귀리페이스트","현미추출액","탄산칼슘","땅콩 또는 견과류가공품","쌀단백분말","탄산수소나트륨","대두레시틴(고시형)","천연향료","","","","","","","","견과혼합페이스트","","","","천연바닐라추출물","13","14","15","16","17","18","19","20","21","정제소금","혼합제제","기타 농산가공품","혼합제제","혼합제제","산화아연","혼합제제","젤란검","기타가공품","","마론향","검은깨페이스트","비타민E 아세테이트 혼합제제","비타민B믹스DS","","비타민A 아세테이트 혼합제제","","상엽황칠나무혼합농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호388","품목보고번호2019008436414","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명하이 플러스 칼슘","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","패각분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호387","품목보고번호200605561324","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명하이마임","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호386","품목보고번호20180491044120","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명하이뮨 프로틴 밸런스","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","우유","백설탕","덱스트린","카제인칼슘","분리대두단백","채종유(유채유 또는 카놀라유)","프락토올리고당","전지분유","제삼인산칼슘","탄산칼슘","L-로이신","수용성비타민혼합제제","원유","","말토덱스트린","","","","","산양혼합전지분유","","","","수용성비타민프리믹스ID2","13","14","15","16","17","18","19","20","21","콜라겐","수산화마그네슘","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","두류가공품","땅콩향","바닐라향","제이인산칼륨","비타민C","피시콜라겐","수산화Ma","Almax-1000","파노단165","검은콩농축액J","AI-F-0166","TF-33336","","","22","23","24","25","26","27","28","29","30","31","정제소금","아미노산혼합제제","인산철","비타민E혼합제제분말","산화아연","비타민D3혼합제제분말","비타민B6염산염","분말비타민A혼합제제","비타민B1염산염","정제수","","아미노믹스","","","","","","","","",NA,NA,NA
"7","번호385","품목보고번호20080395120534","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이뮨 프로틴 밸런스","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","원유","백설탕","덱스트린","카제인칼슘","채종유(유채유 또는 카놀라유)","분리대두단백","분리대두단백분말","프락토올리고당","두류가공품","탄산칼슘","비타민미네랄혼합제제","산양유분말","","","말토덱스트린","","카놀라유","","","프락토올리고당 분말","검은콩농축액","","수용성비타민프리믹스ID2","산양혼합전지분유","13","14","15","16","17","18","19","20","21","글리세린디아세틸주석산지방산에스테르","수산화마그네슘","글리세린지방산에스테르","합성향료","비타민C","정제소금","합성향료","아미노산혼합제제","탄산수소나트륨","","","","귀리향","","","땅콩향","BCAA믹스","","22","23","24","25","26","27","28","29","30","31","비타민E혼합제제","산화아연","젤란검","비타민D3혼합제제","분말비타민A혼합제제","비타민B1염산염","비타민B6염산염","L-로이신","인산철","정제수","","","","","","","","","","",NA,NA,NA
"8","번호384","품목보고번호20070464094477","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명하이뮨 프로틴 밸런스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","우유","백설탕","덱스트린","카제인칼슘","분리대두단백","채종유(유채유 또는 카놀라유)","프락토올리고당","전지분유","제삼인산칼슘","탄산칼슘","L-로이신","수용성비타민혼합제제","원유","","말토덱스트린 DE 10-15","","","","","산양혼합전지분유","","","","","13","14","15","16","17","18","19","20","21","콜라겐","수산화마그네슘","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","두류가공품","땅콩향","바닐라향","제이인산칼륨","비타민C","GT콜라겐","","","파노단165","검은콩 농축액J","","","","","22","23","24","25","26","27","28","29","30","31","정제소금","아미노산혼합제제","인산철","비타민E혼합제제분말","산화아연","비타민D3혼합제제분말","비타민B6염산염","분말비타민A혼합제제","비타민B1염산염","정제수","","아미노믹스","","","","","","","","","32","덱스트린","말토덱스트린 DE 15-20"
"9","번호383","품목보고번호2020040143950","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이뮨 프로틴 밸런스","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","원유","백설탕","덱스트린","카제인칼슘","채종유(유채유 또는 카놀라유)","분리대두단백","분리대두단백분말","프락토올리고당(고시형)","두류가공품","탄산칼슘","비타민미네랄혼합제제","산양유분말","","","말토덱스트린","","카놀라유","","","프락토올리고당 분말","검은콩농축액","","수용성비타민프리믹스ID2","산양혼합전지분유","13","14","15","16","17","18","19","20","21","글리세린디아세틸주석산지방산에스테르","수산화마그네슘","글리세린지방산에스테르","합성향료","비타민C","정제소금","합성향료","아미노산혼합제제","탄산수소나트륨","","","","귀리향","","","땅콩향","BCAA믹스","","22","23","24","25","26","27","28","29","30","31","비타민E혼합제제","산화아연","젤란검","비타민D3혼합제제","분말비타민A혼합제제","비타민B1염산염","비타민B6염산염","L-로이신","인산철","정제수","","","","","","","","","","",NA,NA,NA
"10","번호382","품목보고번호20200401439116","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명하이뮨 프로틴 밸런스 액티브","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","농축유단백질","탈지분유","유크림","산양유분말","혼합제제","탄산칼륨(무수)","자당지방산에스테르","아세설팜칼륨","L-카르니틴","글리세린디아세틸주석산지방산에스테르","카라기난","수크랄로스","농축유단백분말","","","산양혼합전지분유","비타민프리믹스","","","","","","","","13","14","15","16","17","18","19","20","21","아미노산혼합제제","알룰로오스","혼합제제","산화아연","수산화마그네슘","인산철","정제소금","합성향료","혼합제제","BCAA믹스","액상","정제수, 에탄올, 코코넛에센스, 오렌지껍질추출물, 말토덱스트린, 감마-노날락톤, 프로필렌글리콜","","","","","밀크향","가공유지, 합성향료, 프로필렌글리콜","22","23","24",NA,NA,NA,NA,NA,NA,NA,"천연향료","고구마분말","정제수",NA,NA,NA,NA,NA,NA,NA,"천연바닐라향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
