"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고16","비고17","비고18","비고19","비고20"
"1","번호5472","품목보고번호2001038392382","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운내친구뽀로로열대과일맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","백설탕","액상과당","구연산","젖산칼슘","비타민D3","구연산삼나트륨","탈지분유","열대과일혼합농축액","대두다당류","효소처리스테비아","기타올리고당","유화제","열대과일향","시트러스믹스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5471","품목보고번호2019057102514","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터50일","제품명귀족식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조맥아","설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5470","품목보고번호20060512128420","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명그라클레스 황제스틱","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","L-아르지닌","구연산","타우린","블루베리농축액","효소처리스테비아","포도농축액","혼합제제","아로니아농축액","혼합제제","글루콘산아연","레몬농축액","자몽종자추출물","혼합제제",NA,"","","","","","","적포도농축액","블루베리향","","레몬향","","","","아미노믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5469","품목보고번호2013062801993","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명그랜드 조선","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5468","품목보고번호20100543066108","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명그레이스 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"알로에베라겔함유절편","알로에분말","액상과당","벌꿀","백설탕","구연산","구연산삼나트륨","젤란검","젖산칼슘","합성착향료","천연착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5467","품목보고번호20010445002750","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명그레이스랩 마시는 글루타치온","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","레몬농축액","용설란시럽","올리고당","효모추출물","기타가공품","레몬향","L-시스틴","비타민C","기타가공품","자몽종자추출물","효소처리스테비아","토마토추출물","기타가공품","","","","아가베시럽","뉴오리고","","피쉬콜라겐(300Da)","","","","병풀추출분말","","","화이트토마토농축추출분말","밀크세라마이드","16","17","18","19","20","잔탄검","추출가공식품","엘라스틴가수분해물","히알루론산","비오틴","","달팽이추출분말","","","비오틴분말"
"7","번호5466","품목보고번호20070464094340","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명그린 알로에","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"정제수","기타과당","알로에베라겔크러쉬","알로에베라분말","설탕","구연산","구연산삼나트륨","올리고당","사양벌꿀","젖산칼슘","젤란검","합성향료",NA,NA,NA,"","","","","","함수구연산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5465","품목보고번호19760263004111","업소명(주)동원F&B수원공장","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명그린덴마크 귀리","분류식품","업체명","(주)동원F&B수원공장","소재지","경기도 수원시 장안구 천천로210번길 21-15(이목동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"귀리추출액","정제소금","설탕","젤란검","탄산칼슘","제삼인산칼슘","채종유(유채유 또는 카놀라유)","기타가공품","기타가공품","합성향료","정제수",NA,NA,NA,NA,"","","","","","","카놀라유","꽃이끼추출물","포스트바이오틱스3종유산균혼합분말","귀리향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5464","품목보고번호20010515081477","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명그린덴마크 귀리","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"혼합음료","정제소금","설탕","젤란검","탄산칼슘","제삼인산칼슘","유채유","꽃이끼","기타가공품","혼합제제","정제수",NA,NA,NA,NA,"귀리추출액","","","","","","","꽃이끼추출물","포스트바이오틱스","귀리향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5463","품목보고번호19760263004110","업소명(주)동원F&B수원공장","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명그린덴마크 아몬드","분류식품","업체명","(주)동원F&B수원공장","소재지","경기도 수원시 장안구 천천로210번길 21-15(이목동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","아몬드추출물","정제소금","설탕","젤란검","탄산칼슘","구연산칼륨","레시틴","볶은아몬드향","볶은아몬드향","볶은아몬드향","수크랄로스","과.채가공품","기타가공품","기타가공품","정제수","","","","","","","해바라기레시틴","볶은아몬드향 75","볶은아몬드향 76","볶은아몬드향 77","","몽크후르츠농축과즙","꽃이끼추출물","포스트바이오틱스3종혼합분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
