"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3997","품목보고번호202307321145","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명벚꽃에이드","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2","벚나무꽃추출액","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3996","품목보고번호2017055519582","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명벚꽃캔디에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12","13","14","덱스트린","구연산","합성향료","사과농축액","구연산삼나트륨","합성향료","혼합제제","수크랄로스","벚나무꽃추출분말","메타인산나트륨","식용색소적색제40호","식용색소황색제4호","말토덱스트린","함수구연산","벚꽃향","칠레산","","사과향","시트러스향(글리세린, 정제수, 아라비아검, D-소비톨액, 자당지산산에스테르, 정제가공유지,  주정, 천연향료)","","국산","","",""
"3","번호3995","품목보고번호20050555180775","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명벚꽃캔디에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12","13","14","덱스트린","구연산","합성향료","사과농축액","구연산삼나트륨","합성향료","혼합제제","수크랄로스","벚나무꽃추출분말","메타인산나트륨","식용색소적색제40호","식용색소황색제4호","말토덱스트린","함수구연산","벚꽃향","칠레산","","사과향","시트러스향(글리세린, 정제수, 아라비아검, D-소비톨액, 자당지산산에스테르, 정제가공유지,  주정, 천연향료)","","국산","","",""
"4","번호3994","품목보고번호20100543066327","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라 슈가프리 딸기맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","알로에분말",NA,NA,"3","4","5","6","7","8","9","10","11",NA,NA,NA,"구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","적양배추색소","착색료(적색40호)","착향료(딸기향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3993","품목보고번호20100543066329","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라 슈가프리 망고맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","알로에분말",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,"구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","베타카로틴(고시형)","색소","합성착색료","착향료(망고향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3992","품목보고번호20100543066330","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라 슈가프리 석류맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","알로에분말",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,"구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","베타카로틴(고시형)","색소","합성착색료","착향료(석류향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3991","품목보고번호20100543066328","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라 슈가프리 파인애플맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","알로에분말",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,"구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","베타카로틴(고시형)","색소","합성착색료","착향료(파인애플향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3990","품목보고번호20100543066206","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명베라 알로에 딸기","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","액상과당",NA,NA,"3","4","5","6","7","8","9","10","11",NA,NA,NA,"구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","적양배추색소","강력드라이이스트골드","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3989","품목보고번호20100543066204","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명베라 알로에 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","액상과당",NA,NA,"3","4","5","6","7","8","9","10","11",NA,NA,NA,"구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","베타카로틴(고시형)","식용색소황색5호","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3988","품목보고번호20100543066202","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명베라 알로에 석류","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라겔절편","액상과당",NA,NA,"3","4","5","6","7","8","9","10","11",NA,NA,NA,"구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","적양배추색소","강력드라이이스트골드","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
