"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호917","품목보고번호19890445014658","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월(실온)","제품명타우리스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","농축사과과즙","액상과당","스테비텐라이트","구연산","구연산삼나트륨","비타민C","니코틴산아미드","비타민B2","파인애플향","DL-사과산","오렌지농축액","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호916","품목보고번호19970464172191","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명타우린 프라임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"타우린","백설탕","효소처리스테비아","구연산","비타민B1염산염","비타민B2","비타민B6염산염","니코틴산아미드","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호915","품목보고번호19890445014263","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명타우린1000","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"타우린","액상과당","니코틴산아미드","비타민 B1(고시형)","구연산","글리신","안식향산나트륨","스테비올배당체","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호914","품목보고번호19960308010519","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한24개월","제품명타우린2000","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","기타과당","타우린","드링크향","구연산","농축사과과즙","재제소금(재제조소금)","효소처리스테비아","이노시톨","구연산삼나트륨","펙틴","L-카르니틴","용성비타민P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","17","18","19","20","비타민B1질산염","비타민B6염산염","오렌지추출물","감초추출물","비타민B2","과라나추출물분말","덱스트린",NA,NA,NA,NA,NA,NA,NA
"5","번호913","품목보고번호19890445014659","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월(실온)","제품명타우린D","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","농축사과과즙","액상과당","스테비텐라이트","구연산","구연산삼나트륨","비타민C","니코틴산아미드","비타민B2","파인애플향","타우린","DL-사과산","오렌지농축액","자몽조자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호912","품목보고번호1999061119327","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명타우린F","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11","12","13","사과과증농축액","타우린0","액상과당","구연산","DL-사과산","구연산삼나트륨","니코틴산아미드","아스파탐","비타민C","착향료(파인애플향)","안식향산나트륨","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호911","품목보고번호19940543023184","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명타우린골드","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12",NA,"타우린","기타과당","구연산","글리신","스테비올배당체","안식향산나트륨","니코틴산아미드","비타민B1혼합제제","비타민B2혼합제제","비타민B6혼합제제","합성착향료용액","정제수",NA,"","","","","","","","","","","파인애플향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호910","품목보고번호201406076143","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명타우린에프","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","타우린","액상과당","구연산","구연산삼나트륨","착향료(파인애플향)","안식향산나트륨","사카린산나트륨","스테비텐","정제수","니코틴산아미드","비타민B2혼합제제","DL-사과산","비타민C혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,"농축사과과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호909","품목보고번호20030563012106","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명타우린파워100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"액상과당","구연산","구연산삼나트륨","타우린","효소처리스테비아","안식향산나트륨","삭카린나트륨","비타민B2","파인애플향","사과과즙농축액","정제수",NA,NA,"","함수","","","","합성보존료","합성감미료","","합성착향료","72Brix,국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호908","품목보고번호20110441029133","업소명명성제약식품","품목유형혼합음료","유통/소비기한2년","제품명타우린플러스","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12",NA,"타우린","액상과당","구연산","비타민B1염산염","비타민B2","비타민B6염산염","사카린나트륨","수크랄로스","니코틴산아미드","안식향산나트륨","파인애플향","정제수",NA,"","","","","","","합성감미료","합성감미료","","합성보존료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
