"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호3340","품목보고번호20170209425105","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명석류엑기스","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","정제수","기타과당","소스류","소스류","구연산","DL-사과산","식품첨가물혼합제제","비타민C","카라멜색소","아세설팜칼륨","식품첨가물혼합제제","","","과당","석류엑스","사과농축액","함수구연산","DL-사과산","석류향","","카라멜색소","","에스엠레드",NA,NA,NA
"2","번호3339","품목보고번호201406076145","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명석류와 사랑에 빠진날","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11",NA,"석류농축액","액상과당","사과농축액","구연산","착향료(석류향)","안식향산나트륨","구연산삼나트륨","천연색소","사카린나트륨","스테비텐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3338","품목보고번호2017014715511","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명석류와미인","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11",NA,"석류농축액","액상과당","사과농축액","구연산","석류향","안식향산나트륨","구연산삼나트륨","레드칼라","사카린나트륨","STEVIOSIDE 스테비오사이드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3337","품목보고번호1999061119328","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명석류와사랑을고백하는날","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11",NA,"석류농축액","농축사과과즙","액상과당","구연산","DL-사과산","구연산삼나트륨","L-글루타민산","아스파담","안식향산나트륨","강력드라이이스트골드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3336","품목보고번호2005007713126","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명석류원","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11","12","석류추출액","자일리톨","L-아르기닌","과라나추출물","올리고당","감초엑기스","피리톡신","시아민","산화아연","구연산","글리신","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","상수",NA
"6","번호3335","품목보고번호19980355336323","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한24개월","제품명석류진액","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8","9","10",NA,NA,"석류추출액","정제수","이소알토올리고당","석류향","구연산","적양배추색소","효소처리스테비아","안식향산나트륭","DL-사과산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3334","품목보고번호20030347111196","업소명삼성바이오헬스케어(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류콜라겐","분류식품","업체명","삼성바이오헬스케어(주)","소재지","경기도 용인시 처인구 백암면 삼백로 854-7","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"석류농축액","프락토올리고당","사과농축액","덱스트린","비타민C","생선콜라겐",NA,NA,NA,NA,NA,NA,"석류농축액(12Brix, 이란산)","프락토올리고당","사과농축액(국내산)","덱스트린","비타민C","피쉬콜라겐(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3333","품목보고번호2015036041855","업소명케이에프한국자연농산(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류콜라겐","분류식품","업체명","케이에프한국자연농산(주)","소재지","경기도 안성시 죽산면 걸미로 658-37","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"석류과즙","생선콜라겐","사과농축액","덱스트린","비타민C","프락토올리고당","정제수",NA,NA,NA,NA,NA,"석류과즙[석류과즙농축액(65Brix) 18.46%]","피쉬콜라겐[피쉬젤라틴 (100%)]","사과농축액","덱스트린","비타민C","프락토올리고당","정제수 11.4%",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3332","품목보고번호2020044271631","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류콜라겐","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"아로니아농축액","석류농축액","생선콜라겐","구연산","포도당","석류향","정제수",NA,NA,NA,NA,NA,"","","피쉬콜라겐","","","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3331","품목보고번호1999055518599","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명석류콜라겐1000","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"과일혼합농축액","생선콜라겐","올리고당","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
