"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호3220","품목보고번호201706230881","업소명주식회사 수경","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명수 수소수","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","지하수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3219","품목보고번호19710570001501","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명수) 알로에 -중국","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","알로에베라겔즙","알로에베라겔분말","","","3","4","5","6","7","8","9","정제수","당시럽류","백설탕","구연산삼나트륨","구연산","펙틴","합성착향료","","","","","","","청포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3218","품목보고번호19710570001500","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명수) 알로에드링크-이란,중국","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","알로에베라겔즙","알로에파우다",NA,NA,"3","4","5","6","7",NA,NA,"정제수","구연산","펙틴","합성착향료","당시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3217","품목보고번호2003025701128","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명수가수","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","정제수","L-카르니틴",NA,NA,"3",NA,NA,NA,NA,NA,NA,"산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3216","품목보고번호19970464172542","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명수리팍","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","L-아스파라진","L-아스파트산","","","3","4","5","6","7","8","9","기타과당","사양벌꿀","헛개나무열매농축액","강황추출액","밀크씨슬추출물","효모추출분말","L-글루타민","","","","수용성 커큐민","","","","10","11","12","13","14","15","16","17","18","19","20","21","타우린","구연산","구연산삼나트륨","비타민B1염산염","비타민B2","비타민B6염산염","니코틴산아미드","비타민C","효소처리스테비아","사과향","파인애플향","정제수","","","","","","","","","","","",""
"6","번호3215","품목보고번호20060392223321","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명수미평안","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","정제수","배농축액","","69Brix","3","4","5","6","7","8","9","비파잎","볶은율무","복령균핵","맥문동뿌리","차즈기","감귤껍질","도라지","비파엽","의이인","백복령","맥문동","자소엽","진피","길경","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"원지뿌리","감초","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,"원지","구감초","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3214","품목보고번호2014049317127","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명수박ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","정제수","설탕","","","3","4","5","6","7","8","9","과채주스","식품첨가물혼합제제","사양벌꿀","DL-사과산","식품첨가물혼합제제","아세설팜칼륨","수크랄로스","HPP수박주스","혼합제제(프로필렌글리콜,주정,합성향료,정제수,천연향료,트리아세틴)","","","혼합제제(글리세린,정제수,아라비아검,D-소비톨액,자당지방산에스테르,정제가공유지,주정,천연향료)","감미료","감미료","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식용색소적색제40호","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"착색료","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3213","품목보고번호20030614307968","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명수박레몬에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","정제수","액상과당","","","3","4","5","6","7","8","9","백설탕","수박농축액","레몬주스농축액","식품첨가물혼합제제","식품첨가물혼합제제","구연산","식품첨가물혼합제제","","","","수박향 엠에프-171114","화이트 크라우디","","레몬향 엠에프-120547","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"적양배추색소","락색소","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"적양배추색소-엠","락색소-엘에이","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3212","품목보고번호20180491044167","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명수박바 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","과.채가공품","수박향","시트러스향","구연산","수크랄로스","수박향","자색고구마색소","수박과즙농축액(수박함유량:97.5%,미국산,65Br)","#7","#1","구연산(결정)/산도조절제","용도:감미료","#8","용도:착색료","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"용도:착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3211","품목보고번호20000614238501","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명수박바 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","과.채가공품","수박향","시트러스향","구연산","수크랄로스","수박향","자색고구마색소","수박과즙농축액(수박함유량:97.5%,미국산,65br","#7","#1","구연산(결정)/산도조절제","감미료","#8","착색료","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
