"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호4294","품목보고번호20040275056793","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명몬스터킹","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","프락토올리고당","구연산","사양벌꿀","복분자농축액","식물혼합농축액","효소처리스테비아","도라지농축액","타우린","글루콘산아연","펙틴","황금혼합추출물","오자농축액","비수리분말","복분자향","기타가공품","과라나추출물분말","","L-아르기닌","","함수구연산","","복분자100%","식물혼합농축액HR-2646","스테비텐후레쉬","","","","펙틴jmj","복합황금추출물","BRIX: 50","비수리농축분말SR-23877","혼합제제","블랙마카추출물(블랙마카추출물분말 100%)","과라나추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4293","품목보고번호201305730531","업소명울진군산림조합","품목유형혼합음료","유통/소비기한12개월","제품명몸애솔잎순추출액","분류식품","업체명","울진군산림조합","소재지","경상북도 울진군 울진읍 울진북로 779-23","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"솔잎순","오미자효소액","매실효소액","대추","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4292","품목보고번호2011061204775","업소명영농조합법인 푸른초장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명몸애수호어린이홍삼배도라지","분류식품","업체명","영농조합법인 푸른초장","소재지","경상남도 거제시 거제면 옥산금성길 23(나동 외 3필지)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"도라지혼합추출액","프락토올리고당","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","고형분60%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4291","품목보고번호20080395120468","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명몸에 좋은 프로단백질","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","원유","설탕","분리대두단백","카제인나트륨","덱스트린","구연산칼륨","제이인산칼륨","혼합제제","과.채가공품류","자당지방산에스테르","현미유","비타민혼합제제","땅콩 또는 견과류가공품","카라기난","정제소금","레시틴","혼합제제","","","","","","말토덱스트린","","","탄산칼슘 혼합제제","오곡추출농축액(볶은현미, 볶은보리, 볶은차조, 볶은수수, 볶은 율무)","","","","호두혼합견과페이스트(땅콩, 아몬드, 호두, 잣)","","","대두레시틴","소포제(정제수, 규소수지, 유화제, CMC나트륨)","19","20","21","22","23","24","25","26","수크랄로스","비타민E혼합제제","산화아연","분말비타민A혼합제제","비타민D3혼합제제","합성향료","합성향료","합성향료","","","","","","두유향","초콜릿향","밀크크림향"
"5","번호4290","품목보고번호19980449002577","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명몸에좋은 산수유","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"산수유농축액","비수리농축액","당시럽","구연산","말토덱스트린혼합제제","구연산삼나트륨","카라멜색소","산수유향","정제수","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","말토덱스트린","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4289","품목보고번호20020623009837","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명몸에좋은꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"사양벌꿀","당시럽","대추농축액","L-아스파라긴","비타민C","카라멜색소","스테비텐후레쉬","수크랄로스","허니향","허니향","허니향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4288","품목보고번호19980449002183","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일부터12개월까지","제품명몸에좋은꿀물","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"사양벌꿀","당시럽","대추농축액","L-아스파라긴","비타민C","카라멜색소","스테비텐후레쉬","수크랄로스","허니향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4287","품목보고번호20020623009835","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명몸에좋은배숙","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"배과즙","도라지추출농축액","생강추출농축액","보리추출농축액","당시럽","구연산","사양벌꿀","구연산삼나트륨","루틴","생강향","PEAR FLAVOUR NATURAL ESSENCE","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","","","스테비텐루틴","천연생강향","배향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4286","품목보고번호19980449002484","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한실온 12개월","제품명몸에좋은배숙","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"배즙","도라지추출농축액","생강추출농축액","보리추출농축액","당시럽","구연산","사양벌꿀","생강향","구연산삼나트륨","효소처리루틴","천연향료","배향","정제수",NA,NA,NA,NA,NA,"","","","","","","","","","","생강향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4285","품목보고번호20020623009836","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명몸에좋은산수유","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"산수유추출액","비수리농축액","당시럽","구연산","덱스트린","구연산삼나트륨","비타민C","카라멜색소","산수유향","산수유향","산수유향","정제수",NA,NA,NA,NA,NA,NA,"산수유추출농축액","비수리추출농축액","","","말토덱스트린","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
