"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호2084","품목보고번호20070464034183","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명와이넛 7종가득","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","땅콩 또는 견과류가공품","설탕","해바라기유","기타가공품","천일염","정제수","혼합견과액","유기농밝은갈색설탕","고올레산해바라기유","해조분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2083","품목보고번호20070464034181","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명와이넛 아몬드 캐슈넛","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4",NA,NA,"땅콩 또는 견과류가공품","설탕","기타가공품","천일염",NA,NA,"아몬드캐슈넛액","유기농밝은갈색설탕","해조분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2082","품목보고번호20070464034182","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명와이넛 카카오","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","땅콩 또는 견과류가공품","설탕","코코아분말","기타가공품","천일염","정제수","아몬드캐슈넛액","유기농밝은갈색설탕","","해조분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2081","품목보고번호20080181270211","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명와이니","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","정제수","액상과당","레드자몽농축액","레몬밤추출물","파인애플추출분말","버드나무추출물분말","","","클리어레드자몽농축액","","","","7","8","9","10","11","12","13","14","15","16","17","인동꽃추출물분말","오르니틴염산염","L-알라닌","타우린","비타민B1염산염","니코틴산아미드","비타민C","구연산(무수)","합성향료","벌꿀향","블랙당근농축액","금은화추출물분말","","","","","","","","자몽허니블랙티향","","흑당근농축분말"
"5","번호2080","품목보고번호20130555108166","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명와일드깔라레몬","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3","4","5","6","필리핀레몬열매","레몬밤분말","망고분말","에리스리톨","구연산","수크랄로스","(깔라만시)(베트남)","레몬밤추출분말(중국산)","와일드망고추출분말(중국산)","","","","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"안식향산나트륨","L-아르지닌","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2079","품목보고번호201503387391","업소명운해이엔씨(주)","품목유형혼합음료","유통/소비기한12개월","제품명와즈라","분류식품","업체명","운해이엔씨(주)","소재지","경기도 시흥시 수인로2216번길 34-8(1층 조남동, 일부)","1","2",NA,NA,NA,NA,"정제수","분말결정포도당",NA,NA,NA,NA,"수도물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2078","품목보고번호201503387394","업소명운해이엔씨(주)","품목유형혼합음료","유통/소비기한12개월","제품명와즈라파워","분류식품","업체명","운해이엔씨(주)","소재지","경기도 시흥시 수인로2216번길 34-8(1층 조남동, 일부)","1","2",NA,NA,NA,NA,"정제수","L-아르지닌",NA,NA,NA,NA,"수도물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2077","품목보고번호201106144093","업소명(주)미리내","품목유형혼합음료","유통/소비기한제조일로부터24개월(실온)","제품명완도톳진액","분류식품","업체명","(주)미리내","소재지","경상남도 양산시 명곡음지마을길 95(명곡동)","1","2","3",NA,NA,NA,"톳추출액","흑마늘추출액","저감미당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2076","품목보고번호19980308080358","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일부터 8개월","제품명완전아몬드","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","아몬드","백설탕","액상과당","정제소금","탄산칼슘","과.채가공품","아몬드유, 고형분2.1%이상","","","","","코코넛 밀크 분말","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"레시틴","혼합제제","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,"대두레시틴","아몬드향","볶은아몬드향","",NA,NA,NA,NA,NA,NA,NA
"10","번호2075","품목보고번호20020623009208","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명왕(WANG)알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","알로에베라겔즙","함유절편","액상과당","구연산","벌꿀","비타민C",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,NA,NA,NA,NA,NA,"구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
