"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호...24","성분 및 원료","비고","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고18","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호121","품목보고번호2013044306135","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한냉장 28일","제품명홍차 밀크 티","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","홍차추출액","우유","당시럽류","벌꿀","유기농(국내산)","유기농(국내산)","유기농 메이플시럽(캐나다)","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호120","품목보고번호19970464172245","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명홍화로","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","기타가공품","홍화씨칼슘복합추출물(고형분2%이상)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호119","품목보고번호2006039411272","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명화명(和明)골드","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3",NA,"정제수","기타가공품","갈대뿌리줄기추출분말",NA,"","표(식물혼합추출물분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호118","품목보고번호19970464172537","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명화엔미 花엔美","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","회화나무열매추출물","석류농축액","생선콜라겐분말","히알루론산","수용성 회화나무열매 추출물","","저분자피쉬콜라겐","",NA,NA,NA,"5","6","7","8","9","10","11","12","13","비타민C","정제수","시클로덱스트린시럽","구연산","DL-사과산","결정과당","판토텐산칼슘","정제소금","청포도향","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호117","품목보고번호2008056307422","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명화이바골드","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","폴리텍스트로스","액상과당","농축사과과즙","DL-사과산",NA,NA,NA,NA,NA,NA,NA,"5","6","7","8","9","10","11",NA,NA,"구연산","레드칼라500L","구연산삼나트륨","효소처리스테비아","안식향산나트륨","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호116","품목보고번호20030563012108","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명화이바러브100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","사과농축액","액상과당","구연산","구연산삼나트륨","국산, 72Brix","","함수","",NA,NA,NA,"5","6","7","8","9","10","11","12",NA,"효소처리스테비아","폴리덱스트로스","말토덱스트린혼합제제","안식향산나트륨","삭카린나트륨","혼합과일향","레드칼라","정제수",NA,"","","","합성보존료","합성감미료","합성착향료","L-1500","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호115","품목보고번호201406076141","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명화이바뷰티","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","폴리덱스트로스","액상과당","사과즙","구연산",NA,NA,NA,NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13","착향료(혼합과일향","안식향산나트륨","합성보존료","구연산삼나트륨","합성착향료(살구향)","천연색소","레드칼라L","비타민b3","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","17","비타민B2","사카린산나트륨","스테비텐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호114","품목보고번호20110441029129","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명화이바플러스","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","사과농축액","액상과당","폴리덱스트로스","구연산","72bix국산","","","",NA,NA,NA,"5","6","7","8","9","10","11",NA,NA,"구연산삼나트륨","스테비올배당체","레드칼라","안식향산나트륨","오렌지향","수크랄로스","정제수",NA,NA,"","","","합성보존료","합성착향료","합성감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호113","품목보고번호19860443015591","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명화이트 글루타치온 140","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","정제수","기타과당","석류농축액","시클로덱스트린시럽","","","","시클로덱스트린시럽(분말)",NA,NA,NA,"5","6","7","8","9","10","11","12","13","효모추출분말","혼합제제","구연산","황금혼합추출물","비타민C","엘라스틴가수분해물","히알루론산","허니부쉬추출발효분말(기능성원료인정제2017-3호)","효소처리스테비아","효모분말(글루타치온)","석류향","","복합황금추출물","","","","","","14","15","16","17","혼합제제","수크랄로스","L-시스테인염산염","콜라겐","비타민E혼합제제분말","","","저분자피쉬콜라겐","18","19","20","21","22","23","24","기타가공품","과.채가공품","우유단백질","비타민B2","비타민B6염산염","니코틴산","건조효모","수용성밀크씨슬","화이트토마토추출분말","우유단백질농축","","","","뉴트라피스트 에이치에스와이 2000"
"10","번호112","품목보고번호19860443015577","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명화이트 글루타치온 250","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","정제수","기타과당","석류농축액","시클로덱스트린시럽","","","","시클로덱스트린시럽(분말)",NA,NA,NA,"5","6","7","8","9","10","11","12","13","효모추출분말","혼합제제","구연산","황금혼합추출물","비타민C","엘라스틴가수분해물","히알루론산","허니부쉬추출발효분말(기능성원료인정제2017-3호)","효소처리스테비아","효모분말(글루타치온)","석류향","","복합황금추출물","","","","","","14","15","16","17","혼합제제","수크랄로스","L-시스테인염산염","콜라겐","비타민E혼합제제분말","","","저분자피쉬콜라겐","18","19","20","21","22","23","24","기타가공품","과.채가공품","우유단백질","비타민B2","비타민B6염산염","니코틴산","건조효모","수용성밀크씨슬","화이트토마토추출분말","우유단백질농축","","","","뉴트라피스트 에이치에스와이 2000"
