"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호2484","품목보고번호20190413079105","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명양반유자","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","녹차추출액","사과농축액","액상차","수크랄로스","아세설팜칼륨","아스파탐","비타민C","구연산","DL-사과산","구연산삼나트륨","합성향료","합성향료","합성향료","나린진","과.채가공품","","국산, 72Brix이상","유자원액, 국내산","","","","","","","","유자향1","유자향2","혼합과일향","","몽크후르츠농축과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2483","품목보고번호20180504025154","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명양배추 릴렉스 주스","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"액상차","프락토올리고당","사과농축액","사양벌꿀","프락토올리고당(고시형)","건조상추","유산균","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,"양배추혼합추출액(유기농양배추90%,유기농브로콜리10%)100%","","청사과농축액(70brix, 칠레산)","사양벌꿀(국내산)","포센스 피95 프락토올리고당과립(인도)","","프리미엄 생유산균 19종 분말(국내산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2482","품목보고번호2019008436423","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명양자 미네랄 이온칼슘","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2481","품목보고번호20020623009764","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명양재진 울금꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","사양벌꿀","울금추출물","기타가공품","과.채가공품","기타가공품","칡농축액","밀크씨슬추출물","효모추출물제품","액상과당","구연산","L-아스파라긴","비타민B1염산염","비타민B2","비타민B6염산염","타우린","","5brix","수용성 커큐민","복합허브추출물","미배아복합발효추출액","","","효모추출물 하이치온 와이에이치-8","","산도조절제","","","","","","16","17","18","19","20","21","펙틴","제이인산칼륨","합성향료","허니향","드링크향","정제수","","","허브믹스향","합성향료","합성향료",""
"5","번호2480","품목보고번호19890445014433","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명양파진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"양파추출액","액상과당","이소말토올리고당","벌꿀","구연산","카르복시메틸셀룰로오스나트륨","카라멜색소","대추향","시트로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2479","품목보고번호201001501442","업소명(주)제이알지코리아","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명어고(A,GO)","분류식품","업체명","(주)제이알지코리아","소재지","부산광역시 동래구 아시아드대로255번길 9(5층 온천동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","진주수용액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2478","품목보고번호201001501443","업소명(주)제이알지코리아","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명어고골드","분류식품","업체명","(주)제이알지코리아","소재지","부산광역시 동래구 아시아드대로255번길 9(5층 온천동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식용진주수용액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2477","품목보고번호2020040143993","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명어른오트 호두아몬드","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","혼합음료","프락토올리고당","정제수","곡류가공품","채종유(유채유 또는 카놀라유)","땅콩 또는 견과류가공품","폴리덱스트로스","땅콩버터","땅콩 또는 견과류가공품","제이인산칼륨","글리세린지방산에스테르","정제소금","땅콩 또는 견과류가공품","향료","탄산수소나트륨","오트액","","","21곡혼합분말","","땅콩페이스트","","","호두혼합견과페이스트","","","","아몬드페이스트","","","16","17","18","19","20","21","향료","카라기난","향료","젤란검","기타가공품","수크랄로스","","","","","",""
"9","번호2476","품목보고번호19860443015105","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명어린이음료","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","녹용추출분말","젖산칼슘","알로에베라잎(껍질제외)","딸기시럽","프락토올리고당","시클로덱스트린","폴리인산나트륨","구연산","구연산삼나트륨","잔탄검","황금복합추출물","비타민 혼합제제","혼합제제","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2475","품목보고번호20000441043302","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명어메이징 오트 바리스타","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"곡류가공품","정제수","프락토올리고당","폴리덱스트로스","채종유(유채유 또는 카놀라유)","탄산칼슘","제이인산칼륨","식염","레시틴",NA,NA,NA,NA,NA,NA,"오트원액(오트 고형분 10% 이상)","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
