"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호2983","품목보고번호20020623009325","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명신선한 알로에(수출용)","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","스테비텐라이트","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2982","품목보고번호20020623009249","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명신선한알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","스테비올배당체","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2981","품목보고번호19960571018581","업소명우일음료","품목유형혼합음료","유통/소비기한1) 합성수지재(PET) 포장 제품 : 제조일로부터 1년             2) 병 포장제품 : 제조일로부터 1년","제품명신선함을 그대로 알로에","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","알로에베라겔크러쉬","덱스트린","구연산","합성향료","합성향료","합성향료","젖산칼슘","알로에베라겔농축분말","","","알로에 베라겔 즙액 함유 절편","","","드링크에센스","화이트그레이프에센스","청포도향","","알로에 베라겔 파우더(100:1)(멕시코산)","11","12","13","14","15","탄산칼슘","젤란검","비타민C","구연산삼나트륨","그린칼라","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2980","품목보고번호19960458039546","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명신선함을 그대로 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","알로에베라겔즙","덱스트린","구연산","젖산칼슘","알로에베라겔농축분말","탄산칼슘","젤란검","비타민C","","","","","","","100:1 (알로에베라겔로 2%)","","","","11","12","13","14","15","구연산삼나트륨","혼합제제","합성향료","혼합제제","혼합제제","","그린칼라 K-3526/C","드링크에센스 K-70188","청포도향 FAC-04041","화이트그레이프에센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2979","품목보고번호20190575042174","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명신선함을 그대로 알로에","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","알로에베라겔즙","덱스트린","구연산","합성향료","식품첨가물혼합제제","식품첨가물혼합제제","젖산칼슘","알로에베라겔건조분말","","","함유절편","","","드링크에센스","화이트그레이프에센스","청포도향","","","11","12","13","14","15","탄산칼슘","젤란검","비타민C","구연산삼나트륨","식용색소녹색제3호","","","","","그린칼라",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2978","품목보고번호20070464034226","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명신아유","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5",NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","설탕","기타가공품","천일염","정제수",NA,NA,NA,NA,NA,"새싹땅콩견과액(고형분7.5%)","유기농밝은갈색설탕","해조칼슘","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2977","품목보고번호20070464034179","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명신아유땅콩새싹","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4",NA,NA,NA,NA,NA,NA,"땅콩어린싹","설탕","기타가공품","천일염",NA,NA,NA,NA,NA,NA,"새싹땅콩유","유기농 밝은 갈색 설탕","해조분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2976","품목보고번호20070464034227","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명신아유스위트","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5",NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","설탕","기타가공품","천일염","정제수",NA,NA,NA,NA,NA,"새싹땅콩견과액(고형분6.0%)","유기농밝은갈색설탕","해조칼슘","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2975","품목보고번호2019026365053","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명신의선물","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","4","5","6","7","8","9","10","아연(고시형)","망간(고시형)","정제수","닥풀잎","흰목이버섯추출액","기타설탕","용설란시럽","D-말티톨","대나무농축액","대추농축액","","","","금화규농축액","","재거리","아가베시럽","","대나무잎농축액","","11","12","13","14","15","비트루트농축액","사과농축액","배농축액","매실추출액","타우린","","","","","","16","17","18","19","20","21","22","23","곤약분말","이산화규소","체리추출물","구연산","잔탄검","자몽종자추출물","효소처리스테비아","아세설팜칼륨","","거품제거제","타트체리추출물","","","","",""
"10","번호2974","품목보고번호20050440004151","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명신진정원","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","5","6","7","8","9","10","사철쑥지상부","복령균핵","맥문동뿌리","천문동덩이뿌리","몰약고무수지","인동잎","삼백초지상부","꿀풀순","민들레","큰노랑용담","사철쑥(인진)(지상부)","균핵(제한적원료)","뿌리(제한적원료)","덩이뿌리(제한적원료)","고무수지","잎/줄기(제한적원료)","전체(제한적원료)","순/잎","포공영,전초","겐티아나(뿌리및뿌리줄기)","11","12","13","14","15","황금뿌리","치자","단삼뿌리","산조씨앗","작약뿌리","뿌리","열매(제한적원료)","뿌리(제한적원료)","산대추씨앗(제한적원료)","뿌리(제한적원료)","16","17","18","19","20","21","22","23","기타설탕","올리고당","구연산","잔탄검","안식향산나트륨","지황","지황뿌리","구기자나무뿌리","흑당","","","","","숙지황(포제가공한뿌리,제한적원료)","생지황(뿌리,제한적원료)","지골피(뿌리)"
