"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호1623","품목보고번호20080614259466","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한12개월","제품명자연생각 애플망고 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","망고퓌레","과.채가공품","구연산","망고향","젤란검","수크랄로스","심황색소","","","","애플망고퓨레","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1622","품목보고번호20080614259449","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연생각 청포도 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","백포도농축액","구연산","라임농축액","포도향","구연산삼나트륨","비타민 C(고시형)","라임향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1621","품목보고번호2019057102512","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명자연애 전통식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1620","품목보고번호20180491044156","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연에온 포스틴","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","우유","백설탕","분리대두단백","카제인칼슘","채종유(유채유 또는 카놀라유)","덱스트린","프락토올리고당","전지분유","기타가공품","","","","","","말토덱스트린DE10-15","","","포스트바이오틱스 프롤린","10","11","12","제삼인산칼슘","탄산칼슘","산화아연","주용도:영양강화제","탄산Ca,주용도:영양강화제","주용도:영양강화제","13","14","15","16","17","18","19","20","21","22","23","24","25","제이인산칼륨","수산화마그네슘","혼합제제","혼합제제","생선콜라겐","자당지방산에스테르","자당지방산에스테르","정제소금","혼합제제","식품첨가물혼합제제","땅콩향","바닐라향","정제수","주용도:영양강화제","수산화Mg,주용도:영양강화제","비타프로CEC","수용성비타민프리믹스ID2","","S-570","P-1670","","아미노믹스2","폼크린200","#8(FC-128809)","#7(FC-80707)",""
"5","번호1619","품목보고번호20100543066171","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명자연은 내사랑 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","알로에베라겔분말","알로에베라겔즙액함유절편","정제수","백설탕","덱스트린","구연산","합성착향료","젖산칼슘","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","구연산삼나트륨","탄산칼슘","젤란검",NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자그린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1618","품목보고번호20070443110673","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명자연은 더말린 복숭아","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","정제수","식물혼합추출액","에리스리톨","향료제제","향료","향료","구연산","비타민C","구연산삼나트륨","","건조과일혼합추출액(고형분 0.08% 이상)","","복숭아향 -62","복숭아향 -90","천연복숭아향 -53","","","","10","11","12","수크랄로스","아세설팜칼륨","혼합제제","","","베타카로틴","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스테비올배당체","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","100억 유산균배양분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1617","품목보고번호20070443110674","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명자연은 더말린 애플망고","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","정제수","식물혼합추출액","에리스리톨","향료","향료","향료","구연산","비타민C","구연산삼나트륨","","건조과일혼합추출액(고형분 0.08% 이상)","","애플망고향 -82","애플망고향 -57","천연애플망고향 -29","","","","10","11","12","혼합제제","수크랄로스","아세설팜칼륨","베타카로틴","","","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스테비올배당체","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","베리주스","100억 유산균배양분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1616","품목보고번호20070443110675","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명자연은 더말린 자몽","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","정제수","식물혼합추출액","에리스리톨","구연산","향료","천연향료","비타민C","과.채가공품","자주색고구마색소","","건조과일혼합추출액(고형분 0.08% 이상)","","","자몽향 -43","천연자몽향 T-","","베리주스","","10","11","12","구연산삼나트륨","수크랄로스","아세설팜칼륨","","","","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스테비올배당체","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","100억 유산균배양분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1615","품목보고번호19960458039284","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 복분자","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","정제수","백설탕","복분자농축액","구연산","혼합제제류","혼합제제류","혼합제제류","DL-사과산","비타민C","","","국산, 50Brix","","복분자 후레바 #2","복분자 후레바 SC-60862","복분자후레바(2803071)","","","10","11",NA,"혼합제제류","혼합제제류",NA,"에스와이 레드 칼라 K-3567","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1614","품목보고번호19960458039598","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 샤인머스캣","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","정제수","설탕","알로에베라겔즙","백포도농축액","혼합제제","혼합제제","천연향료","구연산","젖산칼슘","","","알로에베라겔절편 45% 함유","68Brix","샤인머스캣향(K-201213)","샤인머스캣향(220042530","샤인머스캣향(K-201214)","","","10","11","12","젤란검","비타민C","구연산삼나트륨","","","","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자그린-비에스엘","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
