"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13"
"1","번호1197","품목보고번호202104170142","업소명성신푸드","품목유형혼합음료","유통/소비기한1년","제품명철원오대쌀 식혜","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4","정제수","설탕","엿기름","멥쌀","","","(국내산)","(철원유기농쌀)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1196","품목보고번호200703720229","업소명숭인내추럴팜 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명청간액A","분류식품","업체명","숭인내추럴팜 주식회사","소재지","경기도 포천시 일동면 영일로764번길 57","1","2","3","4","황산마그네슘","배농축액","프락토올리고당","스테비올배당체",NA,NA,NA,NA,"5","6","7","8","9","10","11","락튜로스","구연산","자몽농축액","안식향산","레몬향","호두추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1195","품목보고번호20000614238402","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청귤캐모마일에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","과.채가공품","캐모마일추출물분말","설탕","구연산","청귤농축액","","","","5","6","7","8","9","10","11","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","합성향료","합성향료","엿류","","","","","청귤향SK-20-06821","캐모마일향SK-21-00196","맥아엿","12","13","식용색소황색제4호","정제수","",""
"4","번호1194","품목보고번호2008033218035","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명청년식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,"쌀","설탕","맥아농축액",NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1193","품목보고번호2021020626555","업소명메이드푸드 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명청담식혜","분류식품","업체명","메이드푸드 주식회사","소재지","인천광역시 부평구 부평대로 337(부평 제이타워3차 지식산업센터 4층 429,430호 청천동)","1","2","3","4","쌀","맥아","기타설탕","혼합제제","","","자일로스설탕,씨제이제일제당","설탕대신,바이오믹스테크","5","6",NA,NA,NA,NA,NA,"퀴노아가루","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1192","품목보고번호2007055507117","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명청록매실 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","액상과당","매실엑기스","스테비텐","구연산",NA,NA,NA,NA,"5","6","7","8","9","10",NA,"안식향산나트륨","매실향","카라멜","구연산소다","삭카린나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1191","품목보고번호201005540703","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일로부터 2년(실온)","제품명청비원","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3",NA,"정제수","식물혼합추출액","기타가공품",NA,"","","제품명:복합황금추출물, 제조사:(주)비에스티",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1190","품목보고번호201005540704","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일로부터 2년(실온)","제품명청비원-A","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3","4","정제수","식물혼합추출액","황금복합추출물","식물혼합추출액",NA,NA,NA,NA,"5","6",NA,NA,NA,NA,NA,"황금복합추출물","황금농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1189","품목보고번호20190413079101","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명청수연 레몬녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","백설탕","구연산","레몬농축액","녹차농축액","","","이스라엘산, 고형분65이상","","5","6","7","8","9","10","11","합성향료","합성향료","구연산삼나트륨","비타민C","혼합제제","수크랄로스","정제수","녹차향","레몬향","","","YellowSK150","","",NA,NA,NA,NA,NA,NA
"10","번호1188","품목보고번호20190413079100","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명청수연 복숭아녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","백설탕","구연산","복숭아농축액","녹차농축액","","","이스라엘산 고형분68이상","","5","6","7","8","9","10","11","합성향료","합성향료","구연산삼나트륨","비타민C","적양배추색소","적무색소","수크랄로스","녹차향","복숭아향","","","Red RC 100L","","","12",NA,"정제수",NA,"",NA
