"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13"
"1","번호5452","품목보고번호201005430661079","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","알로에베라겔즙","과.채가공품","합성향료","구연산","젖산칼슘","구연산삼나트륨","젤란검","유화제","천연향료","","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","사과퓨레/국산","청사과향","","","","","","청사과향",NA,NA,NA,NA,NA,NA
"2","번호5451","품목보고번호201804442708","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 복숭아아이스티","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고형차","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"","복숭아홍차플러스(복숭아아이스티)","보존료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5450","품목보고번호2019048889126","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 복숭아아이스티","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","복숭아농축액","구연산","구연산삼나트륨","잔탄검","합성향료","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소적색제40호","","","68brix, 이스라엘산","산도조절제","산도조절제","","복숭아향","감미료","산도조절제","착색료","착색료",NA,NA,NA,NA,NA,NA
"4","번호5449","품목보고번호2018044427016","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명그린팜스토리 복숭아에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10","11","정제수","복숭아농축액","백설탕","구연산","구연산삼나트륨","잔탄검","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소적색제40호","복숭아향","","68 Brix, 이스라엘산","","","","","","","","","","12","안식향산나트륨","",NA,NA,NA
"5","번호5448","품목보고번호2018044427015","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 블루레몬에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","레몬농축액","구연산","안식향산나트륨","구연산삼나트륨","시트러스향","라임향","레몬향","수크랄로스","메타인산나트륨","","","이스라엘산","","","","","","","","","12","식용색소청색제1호","",NA,NA,NA
"6","번호5447","품목보고번호2019048889127","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 블루레몬에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","레몬농축액","구연산","안식향산나트륨","구연산삼나트륨","합성향료","합성향료","합성향료","합성향료","수크랄로스","","","이스라엘,65brix","산도조절제","보존료","산도조절제","레몬향#1,FC-24127","레몬향(레몬후레바#71)","라임향#1,FC-37128","시트러스향","감미료","12","메타인산나트륨","산도조절제","13","식용색소청색제1호","착색료"
"7","번호5446","품목보고번호2019048889128","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 블루베리에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","블루베리농축액","포도농축액","구연산","합성향료","구연산삼나트륨","안식향산나트륨","합성향료","수크랄로스","식용색소적색제40호","","","미국산,67brix","칠레산,68brix","산도조절제","블루베리향#4,FC-27405","산도조절제","보존료","적포도향#3,FC-12315","감미료","착색료","12","식용색소청색제1호","착색료",NA,NA,NA
"8","번호5445","품목보고번호201804442705","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리 사과에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","백설탕","사과농축액","구연산","사과향","구연산삼나트륨","안식향산나트륨","비타민C","카라멜색소비에이","수크랄로스",NA,"","","70Brix","","합성착향료","산도조절제","보존료","","","",NA,NA,NA,NA,NA,NA,NA
"9","번호5444","품목보고번호2019048889129","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린팜스토리 석류에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","석류농축액","구연산","합성향료","구연산삼나트륨","안식향산나트륨","수크랄로스","식용색소적색제40호",NA,NA,"","","터키산,65brix","산도조절제","석류향#7,FC-18705","산도조절제","보존료","감미료","착색료",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5443","품목보고번호201804442704","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명그린팜스토리 자몽에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","백설탕","자몽농축액","구연산","덱스트린","자몽향","구연산삼나트륨","안식향산나트륨","수크랄로스","식용색소적색제40호",NA,"","","58Brix","","","합성착향료","산도조절제","보존료","합성감미료","착색료",NA,NA,NA,NA,NA,NA,NA
