"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","성분 및 원료22","비고22"
"1","번호561","품목보고번호20030554188195","업소명(주)비트로시스농업회사법인","품목유형혼합음료","유통/소비기한제조일부터 3년까지","제품명프로사포닌","분류식품","업체명","(주)비트로시스농업회사법인","소재지","경상북도 영주시 풍기읍 죽령로1371번길 17(외1필지)","1","2","3","액상차","자몽종자추출물","정제수","산홍삼플러스농축액120","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호560","품목보고번호20030554188201","업소명(주)비트로시스농업회사법인","품목유형혼합음료","유통/소비기한제조일로부터 3년까지","제품명프로사포닌","분류식품","업체명","(주)비트로시스농업회사법인","소재지","경상북도 영주시 풍기읍 죽령로1371번길 17(외1필지)","1","2","3","정제수","액상차","자몽종자추출물","","프리미엄산삼배양근150, 고형분 80%이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호559","품목보고번호2021045702811","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴 리저브","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","정제수","유청단백분말","설탕","","","유기농설탕","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","카제인나트륨","카제인칼슘","고올레산해바라기유","결정셀룰로스","밀크향","구연산칼륨","혼합제제","변성전분","탄산수소나트륨","염화칼륨","요구르트향","염화칼슘","스테비아추출물","카라기난혼합제제","정제소금","혼합제제","건조효모(비타민D)","아미노산혼합제제","","","","","","","아와컷CP","","","","","","","","","젤란DS","","",NA,NA,NA
"4","번호558","품목보고번호20070443110418","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴 에이드 포도맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","정제수","아세설팜칼륨","유청단백분말","","","유청분리단백","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스","인산","포도향","포도향","L-카르니틴","천연향료","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","천연포도향#1","바이오렛칼라엔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호557","품목보고번호20150518023102","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한356일(12개월, 1년)","제품명프로틴 워터 틴 오렌지","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","정제수","오렌지농축액","결정과당","","","","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"유청단백분말","알룰로오스","천연오렌지향","구연산","식물혼합추출물분말","효모추출물","글리세린지방산에스테르","비타민C","스테비올배당체","자몽종자추출물","비타민B12, 혼합제제","비타민D3","비타민B6염산염",NA,NA,NA,NA,NA,"분리유청단백질","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호556","품목보고번호2015051802397","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한356일(12개월, 1년)","제품명프로틴 워터 틴 청포도","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","정제수","청포도농축액","결정과당","","","","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"유청단백분말","알룰로오스","천연청포도향","구연산","식물혼합추출물분말","효모추출물","글리세린지방산에스테르","비타민C","스테비올배당체","자몽종자추출물","비타민B12, 혼합제제","비타민D3","비타민B6염산염",NA,NA,NA,NA,NA,"분리유청단백질","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호555","품목보고번호20070443110613","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명프로틴 이온 워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","유청단백분말","혼합제제","판토텐산칼슘","Probev 90","아이비씨에이에이","","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"염화칼륨","염화마그네슘","정제소금","자일리톨","효소처리스테비아","수크랄로스","구연산","혼합제제","과.채가공품류","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","열대과일향 HF-BB10064","칼라만시농축액 SR-25185","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호554","품목보고번호19960458039604","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴 코어밸런스","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","정제수","설탕","분리대두단백","","","","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","분리유단백","탈지분유","카제인칼슘","식용유지류","땅콩페이스트","탄산칼슘","혼합제제","혼합제제","탄산수소나트륨","곡물혼합분말","글리세린지방산에스테르","혼합제제","정제소금","혼합제제","혼합제제","혼합제제","구연산철암모늄","산화아연","","","","카놀라유","고형분 95%","","현미향 K-211006","현미향 HF-BA56957","","","Almax-1000","믹스검(라르고 BS-15)","","비타프로 CEC","분말 비타민D3 혼합제제","비타민B복합물","","","22","혼합제제","비타민A 아세테이트 혼합제제"
"9","번호553","품목보고번호20070464094497","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴 파워쉐이크 아이스 초코맛","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","코코아분말","유청단백분말","두류가공품","","","대두분리단백","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,"우유","탄산수소나트륨","카라기난","초코렛향","수크랄로스","아세설팜칼륨","정제소금","혼합제제","자당지방산에스테르","자당지방산에스테르","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","폼크린200","S-570","P-1570","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호552","품목보고번호20000614238461","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴 파워쉐이크 포도맛","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","청포도농축액","유청단백분말","청포도향","","유청분리단백","합성향료","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스","아세설팜칼륨","혼합제제","식용색소적색제40호","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","정제수,규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
