"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호...54","성분 및 원료","비고"
"1","번호3737","품목보고번호1999046705042","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한24개월","제품명블루베리","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","블루베리농축액","액상과당","적포도농축액","백설탕","구연산","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","안식향산나트륨","블루베리향","카라멜액","그레이프색소","DL-사과산","아세설팜칼륨","정제수","배합함량60%,미국산","","배합함량6%,칠레산","정백당","(산도조절제)","(산도조절제)","증점제","(보존료)","합성향료","액상카라멜","그레이프칼라","","감미료","",NA,NA,NA
"2","번호3736","품목보고번호19890445014564","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명블루베리","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"블루베리과즙","액상과당","구연산","비타민C","섬유소글리콜산-Na","레드칼라","스테비올배당체","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3735","품목보고번호201406076142","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명블루베리","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"블루베리농축액","액상과당","사과농축액","구연산","착향료(블루베리향)","안식향산나트륨","구연산삼나트륨","천연색소","삭카린나트륨","스테비텐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3734","품목보고번호19880442004929","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명블루베리","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","블루베리농축액","포도농축액","라즈베리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3733","품목보고번호201106144091","업소명(주)미리내","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명블루베리 진액골드","분류식품","업체명","(주)미리내","소재지","경상남도 양산시 명곡음지마을길 95(명곡동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"블루베리추출액","포도농축액","배농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3732","품목보고번호20110149027341","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루베리 콜라겐 젤리","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"블루베리농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,"미국산","베트남산","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3731","품목보고번호19890445014533","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명블루베리100","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","GW블루베리혼합액",NA
"8","번호3730","품목보고번호20030563012104","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명블루베리100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"블루베리농축액","액상과당","포도농축액","구연산","블루베리향","안식향산나트륨","구연산삼나트륨","천연색소","타우린","효소처리스테비아","정제수",NA,NA,NA,"미국산, 65Brix","","수입산, 72Brix","함수","합성착향료","합성보존료","","천연레드RCL","","","",NA,NA,NA,NA,NA,NA
"9","번호3729","품목보고번호19970464172474","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명블루베리골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"블루베리농축액","기타과당","비타민 C(고시형)","구연산","구연산삼나트륨","효소처리스테비아","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3728","품목보고번호2007055507151","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한2년","제품명블루베리골드 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"블루베리농축액","포도농축액","액상과당","구연산","구연산삼나트륨","효소처리스테비아","블루베리향","안식향산나트륨","정제수","백설탕","삭카린나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
