"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12"
"1","번호5142","품목보고번호2003054113817","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80산수유","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8","9","10","산수유","복분자","오미자","느릅나무껍질","DL-사과산","사과농축액","비타민C","구연산","딸기향","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5141","품목보고번호2003054113811","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80선인장","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8",NA,NA,"선인장","액상과당","DL-사과산","이소말토올리고당","사과농축액","비타민","구연산","후르츠향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5140","품목보고번호200305411384","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80어니언후레쉬","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8","9",NA,"양파","비트","액상과당","DL-사과산","이소말토올리고당","사과농축액","비타민C","구연산","후르츠향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5139","품목보고번호200305411386","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80오가피","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8","9","10","오가피","소나무잎","액상과당","DL-사과산","칡","사과농축액","비타민","구연산","솔향","두충",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5138","품목보고번호2017052000112","업소명힐링푸드농업회사법인 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명능주골 수제식혜","분류식품","업체명","힐링푸드농업회사법인 주식회사","소재지","전라남도 화순군 능주면 죽수길 51","1","2","3","4","5","6",NA,NA,NA,NA,"엿기름","정제수","기타과당","안식향산나트륨","멥쌀","생강",NA,NA,NA,NA,"국산","국산","","보존료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5137","품목보고번호200802553472","업소명(주)대명바이오","품목유형혼합음료","유통/소비기한1년","제품명니나(NINA)","분류식품","업체명","(주)대명바이오","소재지","울산광역시 울주군 운문로 38-13","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5136","품목보고번호2019008436415","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명다나 칼슘","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","산호분말","필리핀레몬열매농축액","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5135","품목보고번호2016046718120","업소명한국고려홍삼공사(삼차원)","품목유형혼합음료","유통/소비기한제조일로부터 36개월 이내","제품명다나라튼튼","분류식품","업체명","한국고려홍삼공사(삼차원)","소재지","충청남도 금산군 금산읍 비단로 281","1","2","3","4","5","6","7","8","9",NA,"정제수","칼슘혼합액","미네랄혼합제제","로즈힙추출물분말","난각","가시여지열매","황기","글루콘산아연","천연향료(Pepper, black)",NA,"75ml","2.4g","복합미네랄 547mg","로즈힙추출분말 500mg","난각막추출물 500mg","그라비올라추출물 500mg","황기추출물 500mg","50mg","흑후추추출물 3mg",NA,NA,NA,NA,NA,NA,NA
"9","번호5134","품목보고번호20050555180776","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명다래ADE","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","다래주스","구연산","덱스트린","향료","잔탄검","구연산삼나트륨","수크랄로스","메타인산나트륨","","","다래추출농축액","함수구연산","말토덱스트린","키위향","","","","","11","12","식용색소황색제5호","식용색소청색제1호","",""
"10","번호5133","품목보고번호2005027515519","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 국화 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6",NA,NA,NA,NA,"멥쌀","찹쌀","엿기름","백설탕","국화꽃추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
