"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16"
"1","번호977","품목보고번호2015044907461","업소명에스에스바이오팜주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명콜라겐플러스","분류식품","업체명","에스에스바이오팜주식회사","소재지","충청남도 천안시 서북구 입장면 홍천당곡길 56-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","옥수수수염추출액","생선콜라겐","석류농축액","대추농축액","타우린","프락토올리고당","누에고치단백가수분해물분말","마카농축액분말","비타민C","석류향","효소처리스테비아","히알루론산","비타민A혼합분말","비타민D3혼합제제","비오틴 혼합분말","암술대","고형분 27.727%","65Brix","65Brix","","","실크펩타이드","마카뿌리","","","","","","","",NA,NA,NA
"2","번호976","품목보고번호2022016760111","업소명콩과두부","품목유형혼합음료","유통/소비기한15일","제품명콩과두부 시원달콤 배식혜","분류식품","업체명","콩과두부","소재지","부산광역시 동래구 차밭골로 19(1층 온천동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","정제수","배","갈색설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호975","품목보고번호2021041701451","업소명성신푸드","품목유형혼합음료","유통/소비기한1년(냉동)","제품명콩밭 수정과","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","계피","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","(베트남산)","(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호974","품목보고번호2021041701450","업소명성신푸드","품목유형혼합음료","유통/소비기한1년(냉동)","제품명콩밭 철원오대쌀식혜","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호973","품목보고번호2015044526310","업소명주식회사 농업회사법인 콩아저씨 두부가게","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명콩아저씨 식혜","분류식품","업체명","주식회사 농업회사법인 콩아저씨 두부가게","소재지","충청북도 음성군 금왕읍 백야로 100","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호972","품목보고번호202105210657","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명쾌안초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"꾸지뽕가루","결명자분말","유산군발효쥐눈이콩분말","감초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호971","품목보고번호19970464172348","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명쾌활강선생","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"포도당","프락토올리고당","헛개나무열매농축액","산겨릅나무추출액","노니농축액","효모추출분말","허브향","벌꿀향","구연산","DL-사과산","타우린","비타민B6염산염","정제수",NA,NA,"함수포도당","","","벌나무농축액","","","","","","","","","",NA,NA,NA,NA,NA
"8","번호970","품목보고번호20020623009433","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명쿨 모히또","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","레몬농축액","레몬라임농축액","기타 농산가공품","아세로라농축분말","백설탕","구연산","비타민C","펙틴","수크랄로스","정재소금","홍화황색소","시트러스향","레몬라임향","민트향","사과향","","","애플민트 추출물","","","","","","","","","","","","","16","정제수",""
"9","번호969","품목보고번호20020623009840","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨 모히또 레몬&애플민트","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"정제수","레몬농축액","기타가공품","아세로라농축분말","백설탕","구연산","비타민C","펙틴","수크랄로스","합성향료","합성향료","합성향료",NA,NA,NA,"","65Brix","애플민트추출물(2Brix)","","","","","","합성감미료","시트러스향","레몬라임향","레몬향",NA,NA,NA,NA,NA,NA
"10","번호968","품목보고번호20020623009794","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨 모히또 멜론","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","멜론농축액","아세로라농축분말","백설탕","구연산","비타민C","펙틴","수크랄로스","정제소금","치자황색소","효소처리루틴","합성향료","합성향료","합성향료",NA,"","50Brix","","","","","","합성감미료","","","","시트러스향","멜론향","밀크향",NA,NA,NA,NA
