"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호3767","품목보고번호201104410709","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명블루 스카이","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2","지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3766","품목보고번호19890445014710","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명블루라군","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","백포도농축과즙","호프추출물","Brix:65%, 이스라엘산","고형분 0.2%, 수입산","3","4","5","6","7","8","9","10","과당옥수수시럽","백설탕","구연산","식염","식용색소청색제1호","청포도향","럼향","정제수","","","","","합성착색소","합성착향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3765","품목보고번호198506140552164","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루라임에이드","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","라임농축액","백설탕","","","3","4","5","6","7","8","9","10","말토덱스트린","구연산","DL-사과산","구연산삼나트륨","화이트크라우디","수크랄로스","메타인산나트륨","혼합제제","","","","","","","","후르츠믹스향","11","12","13","혼합제제","정제수","식용색소청색제1호","라임향","","",NA,NA,NA
"4","번호3764","품목보고번호2017055519542","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","설탕","구연산","","","3","4","5","6","7","8","9","10","덱스트린","레몬농축액","레몬향","구연산삼나트륨","라임향","시트러스향","수크랄로스","메타인산나트륨","말토덱스트린","","혼합제제A(주정, 정제수, 레몬오일)","","혼합제제B(주정, 정제수, 라임오일, 자몽오일, 오렌지오일, 합성향료, 빙초산)","혼합제제C(글리세린, 정제수, 아라비아검, D-소르비톨액, 자당지방산에스테르, 정제가공유지, 주정, 천연향료)","","","11","12",NA,"식용색소청색제1호","정제수",NA,"","",NA,NA,NA,NA
"5","번호3763","품목보고번호20000449035758","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬 에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","설탕","과.채가공품","","레몬농축액 65Brix","3","4","5","6","7","8","9","10","DL-사과산","구연산(무수)","구연산삼나트륨","혼합제제","수크랄로스","식용색소청색제1호","천연향료","혼합제제","","","","시트러스향","","","레몬향","레몬향","11",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA
"6","번호3762","품목보고번호20000614238327","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","레몬주스농축액","라임농축액",NA,NA,"3","4","5","6","7","8","9","10","설탕","구연산","수크랄로스","아세설팜칼륨","구연산삼나트륨","비타민C","레몬향","자몽향",NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","후르츠믹스향","라임향","식용색소청색제1호",NA,NA,NA,"14","정제수",NA
"7","번호3761","품목보고번호2022068312529","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","레몬농축액","설탕","","","3","4","5","6","7","8","9","10","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","혼합제제","향료","향료","","","","","","시트러스향","레몬향","라임향","11",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA
"8","번호3760","품목보고번호20070464094518","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","레몬농축액","설탕","","","3","4","5","6","7","8","9","10","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","레몬향","레몬향","시트러스향","함수구연산","","","","","레몬향1","레몬향2","","11",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA
"9","번호3759","품목보고번호2018044427014","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","10","레몬농축액","구연산","자몽향","시트러스향","구연산삼나트륨","라임향","수크랄로스","아세설팜칼륨","(이탈리아산, 65 brix)","","","","","","","","11",NA,NA,"식용색소청색제1호",NA,NA,"",NA,NA,NA,NA,NA
"10","번호3758","품목보고번호2017055519576","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루레몬에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","구연산","덱스트린","레몬농축액","레몬향","구연산삼나트륨","라임향","시트러스향","수크랄로스","","말토덱스트린","","혼합제제A","","혼합제제B","혼합제제C","","11","12",NA,"메타인산나트륨","식용색소청색제1호",NA,"","",NA,NA,NA,NA
