"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호3897","품목보고번호2017055519513","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복숭아 아이스티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","이스라엘산","함수구연산","합성향료","혼합제제","칠레산","말트익스트렉트","구연산나트륨","","",NA,NA,NA
"2","번호3896","품목보고번호20050555180646","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아 아이스티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","이스라엘산","함수구연산","합성향료","혼합제제","칠레산","말트익스트렉트","구연산나트륨","","",NA,NA,NA
"3","번호3895","품목보고번호201005430661014","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아 아이스티 제로","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","홍차추출분말","복숭아농축액","구연산","혼합제제","혼합제제","혼합제제","구연산삼나트륨","비타민C","수크랄로스","","","칠레산/고형분 함량 97.7%","이스라엘산/배합함량:복숭아100%","","합성향료,천연향료,레몬오일,프로필렌글리콜,주정,트리아세틴","주정,천연향료,합성향료,글리세린","합성향료,천연향료","","","감미료","12","스테비올배당체",""
"4","번호3894","품목보고번호1987055800388","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명복숭아 아이스티 커피","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10",NA,"설탕","에스프레소커피추출액","복숭아농축액","구연산","홍차분말","수크랄로스","아세설팜칼륨","혼합제제","합성향료","정제수",NA,"","고형분 41%이상","고형분 68% 이상, 이스라엘산","함수구연산","","","","복숭아향 HF-317565","커피향 SF-34692","",NA,NA,NA,NA
"5","번호3893","품목보고번호20040275056482","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아 워터젤리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","젖산칼슘","복숭아향","복숭아농축액","검 베이스 혼합제제","구연산(무수)","효소처리스테비아","비타민C",NA,NA,"","정백당","","","","","","","",NA,NA,NA,NA,NA
"6","번호3892","품목보고번호19950611073137","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명복숭아가족","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","10","11","복숭아농축액","기타과당","설탕","비타민 C(고시형)","탈지분유","구연산","복숭아향","젤란검","구연산삼나트륨","탈지대두","식품첨가물혼합제제","복숭아100%","","","","","","","LT-100","","대두다당류","비타민B1라우릴황산염, 덱스트린","12","정제수",""
"7","번호3891","품목보고번호2011044502969","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명복숭아녹차","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10",NA,"백설탕","복숭아농축액","녹차농축액","구연산","비타민C","수크랄로스","코치닐추출색소","복숭아향","녹차향","정제수",NA,"","(68'bx)","(20'bx)","함수구연산","","","","","","",NA,NA,NA,NA
"8","번호3890","품목보고번호20190413079121","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아녹차제로","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","에리스리톨","복숭아농축액","녹차농축액","구연산","비타민C","락색소","스테비올배당체","수크랄로스","합성향료","합성향료","정제수","","이스라엘산","","","","","","","복숭아향","녹차향","",NA,NA,NA
"9","번호3889","품목보고번호2019048889124","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","과.채가공품류","구연산","합성향료","홍차추출분말","합성향료","합성향료","수크랄로스","아세설팜칼륨",NA,"","","복숭아농축액,이스라엘산","산도조절제","복숭아향3","","복숭아향14","홍차향","감미료","",NA,NA,NA,NA
"10","번호3888","품목보고번호2019048889137","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명복숭아아이스티","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9","10",NA,"복숭아농축액","홍차분말","설탕","맥아추출물분말","구연산","비타민C","합성향료","합성향료","수크랄로스","정제수",NA,"68brix,이스라엘산","칠레산","","말트익스트렉트","산도조절제","영양강화제","복숭아향#5","홍차향#2","감미료","",NA,NA,NA,NA
