"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고20","비고21","비고22"
"1","번호3310","품목보고번호20130415052225","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명세리 화이바 샷 알로에","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","D-소비톨액","폴리덱스트로스","프락토올리고당","난소화성말토덱스트린(고시형)","백포도농축액","알로에향","타우린","벌꿀","동결건조키위분말","구연산","아라비아검(고시형)","구연산삼나트륨","황금혼합추출물","알로에추출물분말","곡류혼합효소분말","비타민B2","비타민B6염산염","비타민B1질산염","","","","","화이바솔-2","","합성향료","","아카시아꿀","악타진그린키위동결건조분말","","아카시아식이섬유","","복합황금추출물-2","알로에베라추출물분말","15곡발효효소분말","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3309","품목보고번호20130415052226","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명세리 화이바 샷 푸룬","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","D-소비톨액","덱스트린","폴리덱스트로스","프락토올리고당","난소화성말토덱스트린(고시형)","서양자두농축액","타우린","벌꿀","자두향","동결건조키위분말","구연산","아라비아검(고시형)","구연산삼나트륨","황금혼합추출물","곡류혼합효소분말","비타민B2","비타민B6염산염","비타민B1질산염","","","말토덱스트린","폴리덱스트로스P","","화이바솔-2","푸룬농축액","","아카시아꿀","SK-20-05622","악타진그린키위동결건조분말","","아카시아식이섬유","","복합황금추출물-2","15곡발효효소분말","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3308","품목보고번호1991044303583","업소명(주)푸른들식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명세리안 당로티","분류식품","업체명","(주)푸른들식품","소재지","충청북도 진천군 장수로 369","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","맥아추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3307","품목보고번호19930461022261","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명세브란스 케어 활력단백질","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","원유","분리대두단백","탈지분유","기타가공품","팔라티노스","프락토올리고당","당류가공품","곡류가공품","난소화성말토덱스트린(고시형)","카라기난","레시틴","정제소금","제이인산칼륨","혼합제제","염화칼륨","합성향료","기타가공품","탄산칼슘","기타가공품","","","","식물성단백분말","","","프락토화이버","19곡분말","화이바솔-2","","","","","비타민니메랄혼합제제ys12","","시리얼향","저분자피쉬콜라겐Y","","진득찰(희첨)추출분말","20","21","22","당류가공품","기타가공품","정제수","곡물믹스시럽","농축우유단백",""
"5","번호3306","품목보고번호19970464172331","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명세븐비타","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,"기타과당","니코틴산아미드","비타민C","비타민 B1염산염(고시형)","비타민B2","비타민B6염산염","판토텐산칼슘","엽산","아미노산혼합제제","타우린","마카추출분말","수크랄로스","구연산삼나트륨","블루베리향","파인애플향","정제수",NA,NA,NA,"","","","","","","","","L-로이신, L-이소로이신, L-발린","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3305","품목보고번호20020623009316","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명세비아 딸기 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","수크랄로스","레드칼라","시트러스향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3304","품목보고번호20020623009576","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명세비아 트로피칼알로에 슈거프리","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","구연산","구연산삼나트륨","젖산칼슘","젤란검","비타민C","수크랄로스","제재염","포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3303","품목보고번호20020623009313","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명세비아 파인애플맛 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","수크랄로스","식용색소황색제4호","시트러스향","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3302","품목보고번호20020623009549","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명세비아알로에 슈거프리","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","구연산","구연산삼나트륨","젖산칼슘","젤란검","비타민C","수크랄로스","제재소금","포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3301","품목보고번호20190326100177","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명세우스 아르기닌","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","L-아르지닌","L-아스파트산","효소처리스테비아","수크랄로스","프락토올리고당","과.채가공품","합성향료","천연향료","타우린","구연산","테아닌","혼합제제","과라나추출물분말","비타민C","글루콘산아연","비타민B1염산염","비타민B2","비타민B6염산염","비타민미네랄혼합분말","","","","","","포도농축액","포도향","천연레몬향","","","","","","","","","","","","20","21","22","고형차","잔탄검","정제수","블랙마카분말","",""
