"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18"
"1","번호5907","품목보고번호20100543066689","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명SUNKIST 네버스탑","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","당시럽","합성향료","구연산","정제소금","구연산삼나트륨","염화칼륨","젖산칼슘","L-글루탐산나트륨","염화마그네슘","비타민C","","","자몽향, 시트러스향","","국산","","","","향미증진제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5906","품목보고번호20030473071325","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명SUNKIST 네버스탑","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10","11","당시럽","구연산","구연산삼나트륨","염화칼륨","젖산칼슘","염화마그네슘","정제소금","식품첨가물혼합제제","L-카르니틴","비타민C","시트러스향","","결정 구연산","구연산나트륨","","","","","L-글루타민산나트륨","","","시트러스향","12","13","자몽향","정제수","자몽향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5905","품목보고번호19860443015315","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명Sarco-berry(사코베리)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","기타과당","시클로덱스트린시럽","포도농축액","오미자농축액","합성향료","합성향료","수크랄로스","아미노산혼합제제",NA,NA,"","","","","","청포도향","오미자향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5904","품목보고번호20070464094239","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sodam Aloe Drink Original (수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10",NA,"알로에베라겔크러쉬","액상과당","알로에분말","수크랄로스","구연산","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,"","","","","함수구연산","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5903","품목보고번호19980449002422","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지 / (실온)","제품명Sunkist  머스캣","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","청포도과즙농축액","구연산","DL-사과산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","시트러스향","청포도향","정제수","당시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5902","품목보고번호20100543066611","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist  제주감귤","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","당시럽","구연산","감귤농축액","합성향료","비타민C","카로틴베이스 35468","수크랄로스","아세설팜칼륨",NA,NA,"","","","제주도산, 배합함량: 감귤 100%, 감귤과즙으로 환원기준 1%","오렌지향","","정제수,아라비아검,유화제,가공유지,베타카로틴(착색료),비타민C","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5901","품목보고번호19980449002410","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지 (실온)","제품명Sunkist  훼미리 알로에","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔주스","알로에베라겔분말","당시럽","설탕","비타민C","젤란검","구연산삼나트륨","젖산칼슘","구연산","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5900","품목보고번호20100543066754","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월(CAN)","제품명Sunkist 꿀물","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","당시럽","대추농축액","사양벌꿀","합성향료","정제소금","비타민C","효소처리스테비아","카라멜색소","수크랄로스",NA,"","","국산","국산","허니향","국산","","","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5899","품목보고번호20010515081382","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 꿀물","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","사양벌꿀","당시럽","대추농축액","비타민C","카라멜색소","스테비텐후레쉬","수크랄로스","허니향","허니향","정제소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5898","품목보고번호19980449002685","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명Sunkist 딸기","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","딸기농축액","요구르트 혼합","에리스리톨","구연산","난소화성말토덱스트린(고시형)","비타민B1염산염","펙틴","구연산삼나트륨","당시럽","효소처리스테비아","수크랄로스","","요구르트베이스","","","","","","","","스테비텐후레쉬","","12","13","아세설팜칼륨","정제소금","","","14","15","16","17","18","효소처리루틴","혼합제제","자당지방산에스테르","딸기향","정제수","","시트러스향","모노에스테르-P","",""
