"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10"
"1","번호1633","품목보고번호2002056303849","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명자연메이드바나나","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8","9","10","바나나퓌레","백설탕","구연산","구연산삼나트륨","비타민C","잔탄검","치자황색소","합성착","향료(바나나향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1632","품목보고번호2002056303850","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명자연메이드연잎식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8",NA,NA,"연잎추출액","백설탕","엿기름","멥쌀","DL-사과산","혼합제제","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1631","품목보고번호20110527046136","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명자연본가 유기농 식혜(냉장)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,"유기농엿기름분말,국산","유기농","유기농,국산","",NA,NA,NA,NA,NA,NA
"4","번호1630","품목보고번호20110527046143","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명자연본가 유기농 식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,"유기농엿기름분말,국산","유기농","유기농,국산","",NA,NA,NA,NA,NA,NA
"5","번호1629","품목보고번호20110527046127","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명자연본가 호박식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","호박가루","정제수",NA,NA,NA,NA,NA,"국산","","유기농,국산","단호박분말,국내산","",NA,NA,NA,NA,NA
"6","번호1628","품목보고번호20110527046108","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터60일까지(냉장)","제품명자연본가유기농냉식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,"유기농,국산","유기농","유기농,국산","",NA,NA,NA,NA,NA,NA
"7","번호1627","품목보고번호20110527046138","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명자연본가찰보리식혜(냉장)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"설탕","엿기름","찰보리쌀","정제수",NA,NA,NA,NA,NA,NA,"","엿기름분말,국산","국산","",NA,NA,NA,NA,NA,NA
"8","번호1626","품목보고번호20110527046142","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명자연본가찰보리식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"설탕","엿기름","찰보리쌀","정제수",NA,NA,NA,NA,NA,NA,"","엿기름분말,국산","국산","",NA,NA,NA,NA,NA,NA
"9","번호1625","품목보고번호20040445073176","업소명(주)대일","품목유형혼합음료","유통/소비기한36개월(실온)","제품명자연사랑홍삼","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9",NA,"홍삼농축액","대추농축액","구연산","효소처리스테비아","카라멜색소","홍삼향","액상과당","정제수","식물혼합농축액Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1624","품목보고번호20080614259465","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한12개월","제품명자연생각 복숭아 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9",NA,"정제수","설탕","복숭아농축액","구연산","복숭아향","복숭아홍차분말","카라멜색소","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
