"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호2314","품목보고번호20140395066199","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명엠뉴 히비스커스 시크릿 드링크","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","정제수","히비스커스농축액","프락토올리고당","비타민C","구연산","구연산삼나트륨","히비스커스향","효소처리스테비아","","","","","(함수구연산)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2313","품목보고번호20090473152305","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월 까지","제품명엠뉴 히비스커스 시크릿드링크","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","기타가공품","프락토올리고당","효소처리스테비아","구연산","구연산삼나트륨","비타민 C(고시형)","식품첨가물혼합제제","정제수","히비스커스농축액","","","구연산(결정)","구연산나트륨","","히비스커스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2312","품목보고번호2017014715560","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엠제이바이오아르기닌7000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","L-아르지닌","수크랄로스","사과농축액","구연산(무수)","판토텐산칼슘","타우린","비타민C","비타민B1염산염","L- 아르기닌","","","무수구연산","","","","비타민B1","9","10","11","12","13","비타민B2","비타민B6염산염","비타민B1라우릴황산염","드링크향","정제수","","비타민B6","비타FM","","",NA,NA,NA
"4","번호2311","품목보고번호2017014715542","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한2년","제품명엠제이저분자피쉬콜라겐5000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","생선콜라겐분말","L-아르지닌","시클로덱스트린시럽","DL-사과산","비타민C","구연산","히알루론산","판토텐산칼슘","저분자피쉬콜라겐","","","","","","","","9","10","11","12","13","석류농축액","정제염수","복숭아향","정제수","결정과당","","","","","",NA,NA,NA
"5","번호2310","품목보고번호2000060752853","업소명태평양실업","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명엠포유 107","분류식품","업체명","태평양실업","소재지","경상남도 김해시 상동면 장척로 607","1","2",NA,NA,NA,NA,NA,NA,"영지버섯 추출물","정제염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2309","품목보고번호2000060752852","업소명태평양실업","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명엠포유101","분류식품","업체명","태평양실업","소재지","경상남도 김해시 상동면 장척로 607","1","2","3","4",NA,NA,NA,NA,"상황버섯추출액","석이버섯추출액","목이버섯추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2308","품목보고번호1993062500649","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명엣지","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","폴리덱스트로스","결정과당","액상과당","구연산","콜롬비아 2013 COE","옐로우no-500","구연산삼나트륨","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12",NA,"DL-사과산","DL-알라닌","씨트러스추출물블렌드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2307","품목보고번호19970464172528","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명여신 콜라겐(파인애플맛)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","파인애플향","저분자피쉬콜라겐","","","","","","","","9","10","11","12","13","정제수","히알루론산","L-아르지닌","베타인","락토바실러스 아시도필루스 사균체 혼합분말","","","","","사균수 10억개/g 이상",NA,NA,NA
"9","번호2306","품목보고번호19970464172519","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명여신 콜라겐(패션후르츠맛)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","사과향","저분자피쉬콜라겐","","","","","","","","9","10","11","12","13","정제수","히알루론산","L-아르지닌","베타인","락토바실러스 아시도필루스 사균체 혼합분말","","","","","사균수 10억개/g 이상","14","패션후르츠향",""
"10","번호2305","품목보고번호20060445110618","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명여에스더 세인트존스워트 플러스","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","정제수","열대과일혼합농축액","이소말토올리고당","서양고추나물추출분말","혼합과일향","패션후르츠맛농축액","L-트립토판","구연산","","열대혼합과일농축액","","세인트존스워트추출분말","","패션후르츠농축액","","함수구연산","9","10","11","12","13","합성향료(4-Aminobutyric acid)","구연산삼나트륨","건조효모","체리농축분말","감귤추출물","가바","","건조효모분말","타트체리농축분말","감귤류추출물","14","수크랄로스",""
