"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5042","품목보고번호19930571069488","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명달콤상큼톡톡 해피애플망고","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","설탕","과채퓨레 페이스트","구연산","구연산삼나트륨","비타민C","천연카로틴","수크랄로스","아세설팜칼륨","애플망고향","정제수","","애플망고퓨레","함수","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5041","품목보고번호200306143071352","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명달콤전통 식혜","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6",NA,NA,NA,NA,"정제수","설탕","곡류가공품","곡류가공품","곡류가공품","효소처리스테비아",NA,NA,NA,NA,"","","식혜농축베이스","쌀추출액","엿기름추출농축액","효소처리스테비아-에스지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5040","품목보고번호2008033218039","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명달콤한 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5039","품목보고번호2013049416625","업소명완주로컬푸드영농조합법인꿈드림","품목유형혼합음료","유통/소비기한6개월","제품명담소담은 식혜","분류식품","업체명","완주로컬푸드영농조합법인꿈드림","소재지","전라북도 완주군 하이1길 52-5","1","2","3","4","5",NA,NA,NA,NA,NA,"엿기름","단호박","멥쌀","정제수","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5038","품목보고번호19970464172360","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명당(糖)통청수","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","해당화잎","사철쑥농축액","귤껍질농축액","감초농축액","모창출추출액","계피농축액","매실농축액","생강농축액","배농축액","구연산","해당화잎추출물","인진쑥농축액","진피농축액","","창출농축액","","","","","","11","12","13","14","15","16","17","18","19","20","구연산삼나트륨","l-멘톨","효소처리스테비아","멘톨향","레몬라임향","L-카르니틴","아티초크추출분말","프로폴리스추출액","주정","정제수","","","","","","","","","",""
"6","번호5037","품목보고번호2016046718121","업소명한국고려홍삼공사(삼차원)","품목유형혼합음료","유통/소비기한제조일로부터 36개월 이내","제품명당나라","분류식품","업체명","한국고려홍삼공사(삼차원)","소재지","충청남도 금산군 금산읍 비단로 281","1","2","3","4","5","6","7","8","9","10","정제수","난소화성말토덱스트린(고시형)","노니","가시여지열매","황기","바나바잎추출물","글루콘산아연","레드비트농축액","계피가지추출액","천연향료(Pepper, black)","","","노니발효초 1g","그라비올라추출물100mg","황기추출물 100mg","바나바잎추출물 50mg","50mg","레드비트발표추출물 100mg","계피추출물 5mg","흑후추추출물 3mg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5036","품목보고번호2013062007157","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명당땡길때","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2","3","4","5","6","7","8",NA,NA,"정제수","포도당","라임농축액","구아검","구연산","기타가공품","비타민 C(고시형)","혼합제제비타민B",NA,NA,"","","","","","수용성커큐민","","비타민B믹스DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5035","품목보고번호2001043909842","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명당몰샘휴웰","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5034","품목보고번호2011036207619","업소명명인힐링푸드","품목유형혼합음료","유통/소비기한365","제품명당스마트백","분류식품","업체명","명인힐링푸드","소재지","경기도 김포시 하성면 월하로671번길 23-19(나동 2층)","1","2","3","4","5","6","7","8",NA,NA,"여주","제주조릿대","양파","귀리","보리","계피가지","생강","뽕나무잎",NA,NA,"국산","국산","국산","","국산","","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5033","품목보고번호20110445029112","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명당하수","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","음료베이스",NA,NA,NA,NA,NA,NA,NA,NA,"","브로콜리싹원액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
